Country,impVal,hs_code,hs2_code
Benin,2200.0,0106199195,01
Benin,61048.0,0106200000,01
Cameroon,10025.0,0106200000,01
Congo (Brazzaville),51924.0,0301110090,03
Central African Republic,3804.0,0301190000,03
Cabo Verde,2052.0,0301990390,03
Cameroon,2015.0,0303820000,03
Cameroon,23481.0,0305310100,03
British Indian Ocean Territories,110377.0,0306170005,03
Cameroon,18738.0,0601109080,06
Cameroon,33494.0,0710300000,07
Cameroon,10729.0,0710809765,07
Cameroon,44086.0,0712908580,07
Cameroon,2380.0,0713606000,07
Cameroon,3120.0,0713608000,07
Cameroon,16019.0,0714101000,07
Cameroon,2280.0,0714302000,07
Cameroon,4200.0,0714305000,07
Benin,6420.0,0801310000,08
Burkina Faso,156532.0,0801310000,08
Benin,12600177.0,0801320000,08
Burkina Faso,397264.0,0801320000,08
Algeria,2023555.0,0804102010,08
Algeria,3170291.0,0804102090,08
Algeria,2203418.0,0804104000,08
Algeria,7072733.0,0804106000,08
Burkina Faso,3168682.0,0804508010,08
Cameroon,9585.0,0809402000,08
Cameroon,3500.0,0809404000,08
Cameroon,13848.0,0811908097,08
Cameroon,22330.0,0813409000,08
Burundi,3159515.0,0901110025,09
Cameroon,175715.0,0901110025,09
Burundi,62878.0,0901110045,09
Angola,69550.0,0901110055,09
Burundi,95814.0,0901110055,09
Burundi,32380.0,0901120025,09
Algeria,2930.0,0901210035,09
Algeria,11340.0,0901210045,09
Cabo Verde,11270.0,0901210045,09
Algeria,2964.0,0901210065,09
Cameroon,4290.0,0904110040,09
Burundi,6080.0,0905100000,09
Comoros,1027913.0,0905100000,09
Comoros,289283.0,0907100000,09
Comoros,67334.0,0907200000,09
Burkina Faso,5634.0,0910120000,09
Algeria,7719.0,0910910000,09
Cameroon,4475.0,1006309085,10
Algeria,2923.0,1101000020,11
Cabo Verde,25477.0,1102200000,11
Cameroon,33060.0,1106100000,11
Cameroon,90287.0,1106209000,11
Benin,234068.0,1208900000,12
Algeria,3192.0,1211908980,12
Cameroon,6429.0,1211908990,12
Algeria,10830.0,1212920000,12
Cameroon,35548.0,1212999200,12
Chad,3818463.0,1301200000,13
Congo (Brazzaville),736794.0,1302194140,13
Algeria,56344.0,1509202090,15
Algeria,104425.0,1509302090,15
Algeria,8715.0,1509402090,15
Cameroon,2430.0,1511100000,15
Cameroon,25733.0,1511900000,15
Algeria,8776.0,1512190035,15
Cameroon,3596.0,1513290000,15
Burkina Faso,5920.0,1515500000,15
Burkina Faso,61382.0,1515902100,15
Burkina Faso,33564.0,1515906000,15
Benin,3530.0,1515908190,15
Algeria,2627.0,1516209100,15
Algeria,15436.0,1517100000,15
Algeria,2855.0,1517902040,15
Cameroon,425013.0,1521904000,15
Algeria,4550.0,1604141091,16
Cabo Verde,1766239.0,1604141099,16
Algeria,4753.0,1604143059,16
Algeria,31777.0,1604143091,16
Cabo Verde,13030.0,1604143091,16
Cabo Verde,267615.0,1604150000,16
Cabo Verde,18669.0,1604192500,16
Angola,4500.0,1604201000,16
Angola,55849.0,1605104030,16
Cameroon,31659.0,1605401090,16
Cameroon,2478.0,1801000000,18
Cameroon,12972270.0,1803100000,18
Cameroon,35004644.0,1803200000,18
Cameroon,10026380.0,1804000000,18
Algeria,10251.0,1806209900,18
Algeria,2733.0,1806909090,18
Cameroon,47612.0,1806909090,18
Algeria,2232.0,1901208000,19
Cameroon,2610.0,1901909195,19
Algeria,3787.0,1902400000,19
Algeria,10719.0,1904900140,19
Algeria,2292.0,1905310041,19
Algeria,10788.0,1905310049,19
Algeria,12689.0,1905320029,19
Algeria,13525.0,1905320049,19
Algeria,5639.0,1905901050,19
Cabo Verde,353939.0,1905901090,19
Algeria,3977.0,2001100000,20
Cameroon,13155.0,2004908595,20
Algeria,4554.0,2005701800,20
Algeria,15951.0,2005702542,20
Algeria,32127.0,2005702546,20
Algeria,12117.0,2005705030,20
Algeria,8102.0,2005706060,20
Algeria,49290.0,2005707510,20
Algeria,17776.0,2005707515,20
Algeria,4345.0,2005709300,20
Cameroon,18984.0,2005999700,20
Algeria,2209.0,2006009000,20
Algeria,2373.0,2007911000,20
Algeria,8708.0,2007992000,20
Benin,65631.0,2007996520,20
Benin,140634.0,2007996535,20
Benin,217250.0,2008191040,20
Cameroon,4275.0,2008199090,20
Benin,11020.0,2008996500,20
Cameroon,126296.0,2008996500,20
Cameroon,218062.0,2008999190,20
Algeria,4421.0,2009122500,20
Cameroon,2615.0,2009124500,20
Cameroon,19570.0,2009212000,20
Cameroon,2772.0,2009311020,20
Cabo Verde,2678.0,2009494040,20
Cabo Verde,2911.0,2009892000,20
Cabo Verde,6047.0,2009897070,20
Cabo Verde,45568.0,2009897091,20
Cameroon,27864.0,2009897091,20
Cameroon,3105.0,2009904000,20
Algeria,8048.0,2103902000,21
Algeria,4352.0,2103909091,21
Algeria,3180.0,2104100020,21
Algeria,3456.0,2106909971,21
Cameroon,2860.0,2106909972,21
Cameroon,2588.0,2106909998,21
Algeria,11036.0,2202100045,22
Cameroon,17077.0,2202100045,22
Algeria,99777.0,2202100055,22
Cameroon,127728.0,2202100055,22
Cameroon,3952.0,2202100065,22
Algeria,4704.0,2202100075,22
Cameroon,31645.0,2202910020,22
Algeria,9525.0,2202999120,22
Cameroon,6268.0,2202999120,22
Cameroon,55542.0,2203000030,22
Botswana,2500.0,2204215040,22
Cameroon,4800.0,2206009040,22
Cabo Verde,502497.0,2208404000,22
Cabo Verde,55594.0,2208700030,22
Cameroon,15614.0,2208908010,22
Benin,28944925.0,2304000010,23
Cameroon,707937.0,2401206040,24
Cameroon,5769.0,2507000000,25
Algeria,6601819.0,2523100000,25
Algeria,13524388.0,2523210000,25
Algeria,64075212.0,2523290000,25
Cameroon,7590.0,2530908050,25
Angola,636048250.0,2709001000,27
Cameroon,45994000.0,2709001000,27
Angola,144848866.0,2709002010,27
Algeria,328046478.0,2709002090,27
Angola,878798910.0,2709002090,27
Cameroon,86557199.0,2709002090,27
Chad,76437992.0,2709002090,27
Angola,59116962.0,2710122500,27
Algeria,23426761.0,2710190630,27
Algeria,1608074329.0,2710190635,27
Algeria,48404663.0,2710191150,27
Algeria,51720.0,2710990500,27
Angola,4202.0,2710994500,27
Algeria,6142061.0,2711120010,27
Angola,30084142.0,2711120010,27
Algeria,21594574.0,2804290010,28
Angola,3180600.0,2804691000,28
Angola,971280.0,2804695000,28
Algeria,43314917.0,2814100000,28
Algeria,32316.0,2827200000,28
Burundi,3750.0,2836910050,28
Cameroon,5364.0,2933597000,29
Cameroon,9572.0,2933599500,29
Comoros,61962.0,3002120090,30
Cameroon,6141.0,3002150011,30
Cameroon,277596.0,3004909221,30
Cameroon,3912.0,3004909291,30
Cameroon,87769.0,3005105000,30
Algeria,155808155.0,3102100010,31
Algeria,78792.0,3102100050,31
Algeria,13665932.0,3102800000,31
Algeria,13860.0,3104200010,31
Algeria,39680.0,3105300000,31
Algeria,228641.0,3105400050,31
Cameroon,8810.0,3213900000,32
Comoros,6650.0,3301295116,33
Comoros,221587.0,3301295143,33
Comoros,62310.0,3301295150,33
Comoros,2674.0,3302901010,33
Cameroon,8073.0,3303003000,33
Burkina Faso,3067.0,3304995000,33
Cameroon,7420.0,3304995000,33
Central African Republic,3283.0,3304995000,33
Algeria,3194.0,3305900000,33
Burkina Faso,14800.0,3305900000,33
Chad,10933.0,3305900000,33
Congo (Brazzaville),3587.0,3506915000,35
Cameroon,18134.0,3821000090,38
Algeria,2533.0,3825900100,38
Central African Republic,108184.0,3903300000,39
Cameroon,480.0,3916100000,39
Cameroon,23776.0,3917320020,39
Botswana,6113.0,3917320050,39
Cameroon,9558.0,3920515090,39
Cameroon,600.0,3923109000,39
Congo (Brazzaville),5400.0,3923109000,39
Algeria,3461.0,3924104000,39
British Indian Ocean Territories,963.0,3924104000,39
Cabo Verde,1800.0,3924104000,39
Cameroon,47695.0,3924104000,39
Comoros,2308.0,3924901010,39
Algeria,310.0,3924905650,39
Cabo Verde,1944.0,3924905650,39
Cameroon,39665.0,3926100000,39
Cameroon,36300.0,3926201010,39
Botswana,300.0,3926400090,39
Cameroon,356.0,3926906090,39
Algeria,1795.0,3926909930,39
Algeria,12760.0,3926909985,39
British Indian Ocean Territories,360.0,3926909985,39
Cameroon,110488.0,3926909985,39
Cabo Verde,1350.0,3926909989,39
Cameroon,7424.0,3926909989,39
Cameroon,3286853.0,4001100000,40
Cameroon,2631635.0,4001220010,40
Chad,249299.0,4001220025,40
Cameroon,898987.0,4001290000,40
Algeria,979.0,4009210000,40
Algeria,26396.0,4011101010,40
Algeria,111873.0,4011101020,40
Algeria,375320.0,4011101030,40
Algeria,576937.0,4011101040,40
Algeria,491400.0,4011101050,40
Algeria,262766.0,4011101060,40
Algeria,79792.0,4011101070,40
Algeria,51450.0,4011201005,40
Algeria,803.0,4016935010,40
Botswana,257.0,4016935050,40
Cameroon,1530.0,4016935050,40
Cameroon,2700.0,4016996050,40
Burkina Faso,260.0,4202124000,42
Cameroon,14464.0,4202219000,42
Cameroon,522.0,4202316000,42
Cameroon,1158.0,4202919030,42
Cameroon,4227.0,4202919090,42
Cameroon,23478.0,4202920807,42
Cameroon,331.0,4202924500,42
Cameroon,1150.0,4202929100,42
Cameroon,3245.0,4202929700,42
Congo (Brazzaville),4306.0,4202999000,42
Burundi,741.0,4203104010,42
Algeria,2791.0,4203104030,42
Algeria,5006.0,4203104060,42
Algeria,3090.0,4203104095,42
Burundi,363.0,4203104095,42
Angola,6160.0,4401220000,44
Benin,8606.0,4402200000,44
Cameroon,9635.0,4403490200,44
Central African Republic,51593.0,4407110053,44
Congo (Brazzaville),184718.0,4407190092,44
Cameroon,14222.0,4407210000,44
Congo (Brazzaville),32859.0,4407210000,44
Benin,121743.0,4407230100,44
Cameroon,11291606.0,4407270000,44
Central African Republic,184229.0,4407270000,44
Congo (Brazzaville),14712477.0,4407270000,44
Cameroon,1141815.0,4407280000,44
Congo (Brazzaville),562571.0,4407280000,44
Angola,108243.0,4407290206,44
Cameroon,3233224.0,4407290206,44
Congo (Brazzaville),2067558.0,4407290206,44
Cameroon,132907.0,4407290240,44
Congo (Brazzaville),79573.0,4407290240,44
Cameroon,22645.0,4407290260,44
Congo (Brazzaville),48211.0,4407290260,44
Congo (Brazzaville),44459.0,4407290285,44
Angola,88876.0,4407290296,44
Cameroon,7319682.0,4407290296,44
Congo (Brazzaville),4552316.0,4407290296,44
Congo (Brazzaville),17058.0,4407910022,44
Cameroon,9564.0,4407990261,44
Cameroon,103601.0,4407990295,44
Cameroon,934769.0,4408390210,44
Cameroon,8560522.0,4408390291,44
Central African Republic,58730.0,4408390291,44
Congo (Brazzaville),78658.0,4408390291,44
Cameroon,8800.0,4408900145,44
Cameroon,111512.0,4408900151,44
Congo (Brazzaville),19323.0,4408900187,44
Cameroon,59633.0,4408900197,44
Congo (Brazzaville),26746.0,4408900197,44
Cameroon,508068.0,4409225090,44
Cameroon,5447.0,4409299100,44
Cameroon,690449.0,4412925215,44
Cameroon,31051.0,4412995800,44
Cameroon,6632.0,4412999700,44
Cameroon,47151.0,4414900000,44
Central African Republic,101480.0,4414900000,44
Benin,3176.0,4418218060,44
Cameroon,43355.0,4419909100,44
Cameroon,2500.0,4420110000,44
Cameroon,27247.0,4420190000,44
Central African Republic,5799.0,4420190000,44
Cameroon,2160.0,4421917040,44
Botswana,7040.0,4602114500,46
Cabo Verde,15782.0,4602196000,46
Botswana,2972.0,4821104000,48
Cameroon,3343.0,4821104000,48
Algeria,2178.0,4823690040,48
British Indian Ocean Territories,14422.0,4823690040,48
Benin,4466.0,4901990010,49
Burkina Faso,2207.0,4901990010,49
Cameroon,21267.0,4901990010,49
Chad,7638.0,4901990010,49
Congo (Brazzaville),6662.0,4901990010,49
Angola,3619.0,4901990050,49
Botswana,2880.0,4901990050,49
Algeria,9839.0,4901990070,49
Cameroon,4195.0,4901990070,49
Botswana,2385.0,4901990093,49
Burkina Faso,3300.0,4901990093,49
Cameroon,3709.0,4901990093,49
Chad,2362.0,4901990093,49
Congo (Brazzaville),3321.0,4901990093,49
Burundi,16232.0,4907000000,49
Botswana,14868.0,4909004000,49
Algeria,39000.0,4911911000,49
Burkina Faso,2398.0,5208514040,52
Benin,1374.0,5209490090,52
Burkina Faso,2032.0,5209513000,52
Cameroon,603.0,5408249020,54
Congo (Brazzaville),23390.0,5607504000,56
Cameroon,11138.0,5705002090,57
Burkina Faso,1095.0,5801275010,58
Cameroon,343.0,6006241000,60
Burundi,61776.0,6101200010,61
Burundi,6159.0,6102200010,61
Algeria,1265.0,6104191500,61
Cameroon,897.0,6104191500,61
Burundi,83111.0,6104320000,61
Cabo Verde,432.0,6104320000,61
Benin,53315.0,6104420020,61
Cameroon,899.0,6104432010,61
Cameroon,1455.0,6104442010,61
Benin,1023919.0,6104622026,61
Benin,92766.0,6104622060,61
Comoros,980.0,6104632006,61
Burundi,1531.0,6105100010,61
Benin,125033.0,6105100030,61
Benin,1414673.0,6106100030,61
Burundi,1490.0,6107120010,61
Burundi,2175.0,6107292000,61
Burundi,9567.0,6109100004,61
Burundi,1174.0,6109100012,61
Cameroon,331.0,6109100012,61
Burundi,1135.0,6109100040,61
Burundi,5208.0,6109901007,61
Burkina Faso,253.0,6110110030,61
Burundi,6565.0,6110201010,61
Burundi,1650.0,6110202041,61
Benin,40247.0,6110202069,61
Burundi,60650.0,6110202069,61
Burundi,21289.0,6110202079,61
Benin,37697.0,6111201000,61
Benin,2662.0,6111203000,61
Burundi,9624.0,6111206070,61
Cameroon,2915.0,6112410030,61
Cameroon,5830.0,6114301020,61
Cameroon,1061.0,6114303060,61
Chad,468.0,6114303070,61
Cameroon,1329.0,6114909010,61
Burundi,315.0,6201405011,62
Burundi,3035.0,6201901900,62
Burundi,782.0,6203430100,62
Cameroon,628.0,6203439011,62
Cameroon,3091.0,6203490945,62
Central African Republic,8096.0,6204322040,62
Algeria,1591.0,6204335010,62
Benin,2175.0,6204423030,62
Burundi,1513.0,6204423050,62
Cameroon,324.0,6204423050,62
Chad,300.0,6204423050,62
Burundi,9119.0,6204434010,62
Burundi,1330.0,6204434030,62
Chad,2315.0,6204434040,62
Cameroon,289.0,6204444010,62
Burkina Faso,3921.0,6204495060,62
Burundi,335.0,6204630100,62
Comoros,266.0,6204639011,62
Burundi,3528.0,6205202067,62
Burundi,30394.0,6205302050,62
Burundi,7298.0,6205302073,62
Burkina Faso,900.0,6206303045,62
Burundi,4430.0,6206403010,62
Burundi,1959.0,6207110000,62
Angola,900.0,6210109010,62
Cameroon,2648.0,6210401500,62
Burkina Faso,3942.0,6211329081,62
Burkina Faso,600.0,6214900010,62
Cameroon,76404.0,6301400020,63
Algeria,418.0,6302100015,63
Cameroon,772.0,6302931000,63
Burundi,266.0,6304191000,63
Cameroon,1032.0,6306120000,63
Cameroon,295.0,6306192120,63
Cameroon,2000.0,6307909887,63
Comoros,71730.0,6307909891,63
Cameroon,707.0,6309000010,63
Burkina Faso,800.0,6402994920,64
Cameroon,9980.0,6403194090,64
Burkina Faso,350.0,6403200000,64
British Indian Ocean Territories,680.0,6403996075,64
Cameroon,598.0,6403996075,64
Cabo Verde,280.0,6404119020,64
Cameroon,6545.0,6505002590,65
Cameroon,4477.0,6601910000,66
Cameroon,7200.0,6701003000,67
Cameroon,2295.0,6701006000,67
Cameroon,51322.0,6702102000,67
Cameroon,38224.0,6702903500,67
Cameroon,775.0,6704110000,67
Cameroon,2700.0,6704200000,67
Angola,29081.0,6802930025,68
Angola,9441.0,6802930060,68
Burkina Faso,3520.0,6805301000,68
Central African Republic,3794.0,6805301000,68
Cabo Verde,3852.0,6810990080,68
Cameroon,3775.0,6909900000,69
Cameroon,4887.0,6910100015,69
Cameroon,5450.0,6910100030,69
Algeria,6453.0,6912001000,69
Algeria,5704.0,6912004810,69
Cameroon,3000.0,6912004890,69
Algeria,2801.0,6913905000,69
Algeria,29095.0,7005290410,70
Algeria,66736.0,7005291450,70
Algeria,8958.0,7005291810,70
Algeria,973157.0,7005291850,70
Algeria,70969.0,7005292500,70
Botswana,7283.0,7009921090,70
Cameroon,4455.0,7013998090,70
Botswana,4354.0,7013999090,70
Cabo Verde,5464.0,7013999090,70
Comoros,7728.0,7016100000,70
Botswana,3140.0,7018905000,70
Cameroon,2508.0,7019110000,70
Cameroon,3200.0,7019901100,70
Botswana,4029.0,7102100000,71
Botswana,5500.0,7102211010,71
Botswana,2206.0,7102211020,71
Botswana,5250.0,7102213000,71
Angola,68586.0,7102214000,71
Botswana,580416.0,7102214000,71
Botswana,97525.0,7102290050,71
Angola,8701952.0,7102310000,71
Botswana,62372240.0,7102310000,71
Central African Republic,63289.0,7102310000,71
Botswana,12209018.0,7102390010,71
Angola,91908819.0,7102390050,71
Botswana,327043978.0,7102390050,71
Cameroon,2272.0,7102390050,71
Botswana,82612.0,7103910030,71
Botswana,37814.0,7103991000,71
Congo (Brazzaville),14568.0,7103991000,71
Botswana,10488.0,7103995000,71
Botswana,6952.0,7104911000,71
Botswana,86864.0,7104915000,71
Botswana,33635.0,7104991000,71
Cameroon,4376.0,7106911010,71
Central African Republic,220000.0,7108121020,71
Cameroon,60000.0,7112910100,71
Chad,2500.0,7112910100,71
Algeria,6002770.0,7112920100,71
Botswana,4743.0,7113115000,71
Cameroon,2061.0,7113115000,71
Botswana,2748.0,7113191000,71
Botswana,28992.0,7113192900,71
Botswana,360803.0,7113195090,71
British Indian Ocean Territories,35519.0,7113195090,71
Congo (Brazzaville),6385.0,7113195090,71
Chad,7215.0,7114190000,71
Congo (Brazzaville),7058.0,7114190000,71
Cameroon,5691.0,7116200500,71
Congo (Brazzaville),2430.0,7116205000,71
Cameroon,16435.0,7117199000,71
Cameroon,2412.0,7117907500,71
Burkina Faso,2020.0,7117909000,71
Cameroon,2070.0,7118100000,71
Chad,6590.0,7118900019,71
Congo (Brazzaville),12725.0,7118900019,71
Cameroon,23257.0,7118900055,71
Chad,18125.0,7118900055,71
Congo (Brazzaville),4316.0,7118900055,71
Angola,11327661.0,7201100000,72
Angola,285000.0,7202300000,72
Algeria,26556740.0,7213913093,72
Algeria,50201882.0,7214200000,72
Cabo Verde,32873.0,7308909590,73
Angola,15639.0,7317005501,73
Angola,2108009.0,7317005502,73
Angola,147242.0,7317005503,73
Angola,171321.0,7317005505,73
Angola,842430.0,7317005507,73
Angola,113542.0,7317005520,73
Angola,4409.0,7317005540,73
British Indian Ocean Territories,8503.0,7318152095,73
Central African Republic,2920.0,7318158085,73
Cameroon,83301.0,7323930080,73
Cameroon,18867.0,7323995060,73
Angola,32576.0,7326908688,73
Cameroon,21423.0,7326908688,73
Chad,5000.0,7326908688,73
Congo (Brazzaville),12909682.0,7403110000,74
Cameroon,3000.0,7609000000,76
Cameroon,26306.0,7610100010,76
Cameroon,30057.0,7610900080,76
Cameroon,24875.0,7615107180,76
Cameroon,2446.0,7616995190,76
Cameroon,2009.0,8205598000,82
Central African Republic,6106.0,8206000000,82
Algeria,15129.0,8207200070,82
Algeria,8189.0,8207907585,82
Algeria,3660.0,8301600000,83
Cameroon,21066.0,8302303060,83
Algeria,4011.0,8302423065,83
Cameroon,12844.0,8302423065,83
Cameroon,20895.0,8303000000,83
Burkina Faso,6623.0,8306210000,83
Burkina Faso,4933.0,8306290000,83
Congo (Brazzaville),3226.0,8306290000,83
Comoros,5034.0,8307106000,83
Burkina Faso,91684.0,8408202000,84
Botswana,5982.0,8408909020,84
Burkina Faso,9110.0,8408909030,84
Cameroon,2980.0,8409915085,84
Cameroon,2278.0,8409919990,84
Cameroon,24640.0,8409999190,84
Congo (Brazzaville),3228.0,8409999190,84
Congo (Brazzaville),7705.0,8409999290,84
Cameroon,53426.0,8409999990,84
Congo (Brazzaville),4224.0,8409999990,84
Algeria,62900.0,8411919085,84
British Indian Ocean Territories,2876.0,8411919085,84
Central African Republic,32536.0,8412210030,84
Central African Republic,2584.0,8412310080,84
Algeria,2194.0,8413301000,84
Botswana,21557.0,8413301000,84
Cameroon,21982.0,8413301000,84
Congo (Brazzaville),12874.0,8413301000,84
Cameroon,6329.0,8413309090,84
Congo (Brazzaville),2237.0,8413309090,84
Botswana,3762.0,8413500080,84
Burkina Faso,2039.0,8413500080,84
Cabo Verde,276210.0,8413702004,84
Algeria,47330.0,8413810040,84
Cameroon,19265.0,8413919096,84
Cameroon,10400.0,8414596560,84
Algeria,103133.0,8414596590,84
Cameroon,15502.0,8414800500,84
Congo (Brazzaville),4455.0,8414800500,84
Burundi,2477.0,8414909180,84
