Country,impVal,hs_code,hs2_code
Bahrain,60000.0,0101290090,01
Israel,48308.0,0101290090,01
Jordan,32183.0,0101290090,01
Saudi Arabia,12000.0,0101290090,01
United Arab Emirates,108451.0,0101290090,01
Israel,17000.0,0106199120,01
Jordan,2500.0,0106199120,01
Lebanon,11500.0,0106199120,01
United Arab Emirates,13760.0,0106199120,01
Kuwait,40950.0,0106199195,01
United Arab Emirates,3100.0,0106199195,01
Kuwait,10025.0,0106200000,01
Lebanon,20300.0,0106200000,01
Saudi Arabia,30975.0,0106200000,01
Bahrain,8890.0,0106390100,01
Kuwait,6200.0,0106390100,01
United Arab Emirates,9180.0,0106390100,01
Israel,2230437.0,0106490090,01
Israel,2976318.0,0106900180,01
Lebanon,66077.0,0202308000,02
Israel,453663.0,0301110010,03
Israel,39983.0,0301110020,03
Israel,737733.0,0301110090,03
Israel,41817.0,0301190000,03
Oman,15612.0,0301190000,03
Israel,293728.0,0301990390,03
Oman,268909.0,0302320000,03
Jordan,3296.0,0302895072,03
Oman,87239.0,0303530000,03
United Arab Emirates,96921.0,0303890070,03
Oman,1653552.0,0303890080,03
Oman,216400.0,0304490190,03
Oman,1064243.0,0304870000,03
Oman,328696.0,0304891090,03
Oman,396903.0,0304895055,03
United Arab Emirates,1044920.0,0304895091,03
Oman,38119.0,0304999190,03
Oman,155520.0,0305204065,03
Oman,5250.0,0305396110,03
United Arab Emirates,340600.0,0305410000,03
United Arab Emirates,16164.0,0305420060,03
Oman,3270.0,0305440100,03
United Arab Emirates,35800.0,0305540000,03
United Arab Emirates,9000.0,0305691042,03
Oman,4695.0,0305720000,03
United Arab Emirates,1103114.0,0306110010,03
Oman,774870.0,0306110020,03
United Arab Emirates,1094721.0,0306110020,03
United Arab Emirates,1543334.0,0306120070,03
Bahrain,3044737.0,0306144090,03
Saudi Arabia,455949.0,0306170008,03
Saudi Arabia,1409046.0,0306170010,03
Saudi Arabia,335998.0,0306170011,03
Saudi Arabia,433249.0,0306170013,03
Saudi Arabia,442910.0,0306170014,03
Saudi Arabia,5191070.0,0306170041,03
Oman,30540.0,0307430060,03
Oman,131550.0,0307490160,03
Israel,3596.0,0308900100,03
United Arab Emirates,26127.0,0401202000,04
United Arab Emirates,137644.0,0401204000,04
Bahrain,1009030.0,0401400500,04
Bahrain,841826.0,0401402500,04
Saudi Arabia,2175.0,0401402500,04
United Arab Emirates,46200.0,0401500500,04
Saudi Arabia,7194.0,0401502500,04
United Arab Emirates,17289.0,0401502500,04
United Arab Emirates,44576.0,0402101000,04
Oman,27600.0,0402213000,04
United Arab Emirates,288292.0,0402213000,04
Jordan,3600.0,0402215000,04
United Arab Emirates,112848.0,0402215000,04
Yemen,12215.0,0402215000,04
Oman,106067.0,0402219000,04
Saudi Arabia,10416.0,0402219000,04
United Arab Emirates,186034.0,0402219000,04
United Arab Emirates,4496.0,0402295000,04
Kuwait,54954.0,0402913000,04
Oman,449589.0,0402917000,04
Saudi Arabia,171406.0,0402917000,04
United Arab Emirates,69430.0,0402917000,04
Yemen,230524.0,0402917000,04
Jordan,2789.0,0402919000,04
Kuwait,865292.0,0402919000,04
United Arab Emirates,197355.0,0402919000,04
Saudi Arabia,14195.0,0402991000,04
Saudi Arabia,89121.0,0402994500,04
United Arab Emirates,132512.0,0402994500,04
Jordan,21470.0,0402995500,04
United Arab Emirates,43333.0,0402999000,04
Jordan,3625.0,0403205000,04
Israel,14580.0,0403209000,04
Syria,2821.0,0403209000,04
United Arab Emirates,18335.0,0403209000,04
United Arab Emirates,71890.0,0403904500,04
Israel,1042390.0,0404100500,04
Jordan,32850.0,0404101500,04
Israel,55984.0,0405102000,04
Syria,9648.0,0405208000,04
Syria,23721.0,0405901020,04
Syria,21715.0,0405901040,04
United Arab Emirates,88906.0,0405901040,04
Syria,3276.0,0405902020,04
Lebanon,70200.0,0405902040,04
United Arab Emirates,247186.0,0405902040,04
Israel,262489.0,0406108400,04
Jordan,52978.0,0406108400,04
United Arab Emirates,50416.0,0406108400,04
Bahrain,855578.0,0406108800,04
Jordan,52370.0,0406108800,04
Saudi Arabia,11855.0,0406108800,04
Jordan,10800.0,0406109500,04
Saudi Arabia,15715.0,0406109500,04
Israel,315182.0,0406205400,04
Israel,3600213.0,0406205500,04
Syria,2170.0,0406205500,04
Bahrain,996238.0,0406302800,04
Jordan,169524.0,0406305500,04
United Arab Emirates,39434.0,0406308900,04
Bahrain,1676328.0,0406309100,04
Jordan,91166.0,0406309100,04
Jordan,763461.0,0406309500,04
Saudi Arabia,117638.0,0406309500,04
Bahrain,183784.0,0406901200,04
Jordan,9500.0,0406901200,04
Saudi Arabia,33993.0,0406901200,04
Israel,59277.0,0406902500,04
Saudi Arabia,2738.0,0406903200,04
Jordan,4420.0,0406903300,04
Jordan,3660.0,0406904800,04
Israel,238746.0,0406905600,04
Syria,2900.0,0406905600,04
West Bank Administered by Israel,49500.0,0406905600,04
Israel,581918.0,0406905700,04
Jordan,35395.0,0406905700,04
Israel,1475288.0,0406905900,04
Jordan,124406.0,0406905900,04
Israel,380298.0,0406909000,04
Jordan,2050.0,0406909000,04
Saudi Arabia,8700.0,0406909700,04
Israel,1685170.0,0406909900,04
Jordan,126970.0,0406909900,04
Israel,4486.0,0409000005,04
Israel,25718.0,0409000010,04
Jordan,4930.0,0409000010,04
United Arab Emirates,347271.0,0409000010,04
Israel,57272.0,0409000056,04
Jordan,2101.0,0409000056,04
