Country,impVal,hs_code,hs2_code
Belgium,834817.0,0101210010,01
Czech Republic,215000.0,0101210010,01
Denmark,44013.0,0101210010,01
Austria,46904.0,0101210020,01
Belgium,2753685.0,0101210020,01
Denmark,599843.0,0101210020,01
Austria,41050.0,0101290090,01
Belgium,73445865.0,0101290090,01
Bulgaria,16983.0,0101290090,01
Czech Republic,785598.0,0101290090,01
Denmark,2400808.0,0101290090,01
Estonia,13503.0,0101290090,01
Austria,17936.0,0106199120,01
Azerbaijan,3000.0,0106199120,01
Belgium,216944.0,0106199120,01
Bulgaria,83529.0,0106199120,01
Croatia,786647.0,0106199120,01
Czech Republic,807249.0,0106199120,01
Denmark,17196.0,0106199120,01
Austria,2500.0,0106199195,01
Belgium,8784.0,0106199195,01
Bulgaria,19795.0,0106199195,01
Czech Republic,546376.0,0106199195,01
Denmark,29116.0,0106199195,01
Estonia,9729.0,0106199195,01
Austria,14802.0,0106200000,01
Belgium,12487.0,0106200000,01
Czech Republic,312604.0,0106200000,01
Austria,45705.0,0106390100,01
Belgium,1192304.0,0106390100,01
Belgium,1404092.0,0106490090,01
Belgium,126666.0,0106900110,01
Belgium,2501534.0,0106900180,01
Czech Republic,198800.0,0106900180,01
Denmark,1687198.0,0203229000,02
Denmark,4423736.0,0203292000,02
Denmark,114144448.0,0203294000,02
Denmark,7738536.0,0206490000,02
Denmark,181032.0,0210190090,02
Czech Republic,215180.0,0301110090,03
Czech Republic,26992.0,0301190000,03
Bulgaria,12600.0,0301920000,03
Armenia,47665.0,0302110090,03
Belgium,3023.0,0302140003,03
Denmark,1626096.0,0302140003,03
Armenia,8000.0,0302190000,03
Belgium,2395.0,0302230000,03
Albania,887568.0,0302350100,03
Croatia,1022149.0,0302350100,03
Estonia,41140.0,0302410000,03
Denmark,93564.0,0302451100,03
Denmark,322638.0,0302455000,03
Cyprus,484177.0,0302845000,03
Cyprus,114256.0,0302855000,03
Armenia,5675.0,0302895031,03
Armenia,16169.0,0302895049,03
Belgium,10340.0,0302895077,03
Denmark,4242.0,0302895077,03
Denmark,27156.0,0303110000,03
Belarus,7747.0,0303190100,03
Denmark,552553.0,0303310030,03
Croatia,75355.0,0303450110,03
Croatia,106135.0,0303450150,03
Estonia,167054.0,0303510000,03
Austria,2739.0,0303530000,03
Denmark,46931.0,0303550000,03
Denmark,657774.0,0303630010,03
Belarus,38761.0,0303890001,03
Estonia,136975.0,0303890001,03
Estonia,167619.0,0303890004,03
Armenia,14987.0,0303890013,03
Armenia,3700.0,0303890037,03
Belgium,62153.0,0303890040,03
Denmark,74980.0,0303914020,03
Denmark,30900.0,0303914095,03
Belgium,2704.0,0304410010,03
Denmark,68102754.0,0304410010,03
Denmark,61676.0,0304530090,03
Denmark,55477.0,0304715000,03
Denmark,340996.0,0304721000,03
Denmark,22768650.0,0304815010,03
Denmark,125425.0,0304825000,03
Croatia,210230.0,0304870000,03
Estonia,1340669.0,0304895003,03
Estonia,48359.0,0304895006,03
Estonia,428704.0,0304895009,03
Denmark,97290.0,0304895091,03
Belarus,5321.0,0305204040,03
Denmark,768148.0,0305204065,03
Bulgaria,89418.0,0305396110,03
Belarus,38612.0,0305396180,03
Denmark,22023853.0,0305410000,03
Armenia,16931.0,0305430000,03
Denmark,920641.0,0305430000,03
Denmark,51600.0,0305492000,03
Armenia,26071.0,0305494045,03
Belarus,7806.0,0305540000,03
Belarus,29257.0,0305614000,03
Armenia,33075.0,0305696001,03
Belarus,12074.0,0305696001,03
Bulgaria,94628.0,0306144020,03
Denmark,3384222.0,0306144020,03
Albania,394565.0,0306144090,03
Denmark,31224.0,0306160040,03
Denmark,21433.0,0307220000,03
Belgium,106985.0,0401500200,04
Belgium,99891.0,0401502500,04
Denmark,912210.0,0402213000,04
Denmark,1238679.0,0402215000,04
Austria,2589.0,0402919000,04
Belarus,236978.0,0402994500,04
Bulgaria,123921.0,0403201000,04
Albania,2709.0,0403209000,04
Bulgaria,41072.0,0403209000,04
Albania,6040.0,0403902000,04
Denmark,22532403.0,0404100500,04
Denmark,66640.0,0404101500,04
Denmark,1059019.0,0404901000,04
Belgium,533473.0,0405101000,04
Denmark,1010630.0,0405101000,04
Belarus,145482.0,0405102000,04
Belgium,1482002.0,0405102000,04
Czech Republic,26785.0,0405102000,04
Denmark,221954.0,0405102000,04
Austria,89013.0,0405204000,04
Armenia,13551.0,0405208000,04
Croatia,70132.0,0405208000,04
Belgium,86418.0,0405901020,04
Cyprus,78484.0,0405901040,04
Bulgaria,22549.0,0406108400,04
Cyprus,839484.0,0406108400,04
Denmark,3385089.0,0406108400,04
Albania,3370.0,0406108800,04
Belarus,238375.0,0406108800,04
Bosnia and Herzegovina,97634.0,0406108800,04
Cyprus,594174.0,0406108800,04
Czech Republic,336850.0,0406108800,04
Armenia,2460.0,0406109500,04
Belarus,81502.0,0406109500,04
Belgium,4068128.0,0406109500,04
Bulgaria,40899.0,0406109500,04
Estonia,23030.0,0406109500,04
Denmark,357071.0,0406305100,04
Albania,60920.0,0406305500,04
Bulgaria,26399.0,0406305500,04
Austria,34952.0,0406309100,04
Bulgaria,2034.0,0406309100,04
Cyprus,13200.0,0406309100,04
Albania,5757.0,0406309500,04
Austria,236104.0,0406309500,04
Belarus,8163.0,0406309500,04
Bulgaria,28210.0,0406309500,04
Denmark,4779055.0,0406405400,04
Denmark,1649915.0,0406405800,04
Belgium,3522.0,0406407000,04
Croatia,7923.0,0406407000,04
Denmark,1671755.0,0406407000,04
Denmark,53319.0,0406900500,04
Belgium,141149.0,0406901600,04
Estonia,181898.0,0406901600,04
Belgium,885550.0,0406901800,04
Estonia,28056.0,0406901800,04
Bulgaria,58772.0,0406902000,04
Bulgaria,40148.0,0406904300,04
Belgium,105924.0,0406904600,04
Estonia,2583224.0,0406904600,04
Belarus,2778.0,0406904800,04
Albania,58798.0,0406905600,04
Austria,52618.0,0406905600,04
Bulgaria,5202497.0,0406905600,04
Cyprus,4837280.0,0406905600,04
Albania,442572.0,0406905700,04
Armenia,94695.0,0406905700,04
Bulgaria,8481198.0,0406905700,04
Cyprus,4452.0,0406905700,04
Albania,181741.0,0406905900,04
Bulgaria,28119.0,0406905900,04
Cyprus,35491.0,0406905900,04
Czech Republic,17280.0,0406905900,04
Denmark,5453.0,0406908600,04
Austria,7611.0,0406909300,04
Denmark,45312.0,0406909300,04
Armenia,447076.0,0406909500,04
Austria,9127676.0,0406909500,04
Belgium,1997116.0,0406909500,04
Bulgaria,1585025.0,0406909500,04
Cyprus,2684750.0,0406909500,04
Denmark,20603721.0,0406909500,04
Estonia,840058.0,0406909500,04
Albania,64751.0,0406909700,04
Armenia,13585.0,0406909700,04
Belarus,151808.0,0406909700,04
Belgium,246725.0,0406909700,04
Bosnia and Herzegovina,50384.0,0406909700,04
Croatia,14873.0,0406909700,04
Cyprus,143591.0,0406909700,04
Denmark,227267.0,0406909700,04
Albania,356263.0,0406909900,04
Armenia,1020876.0,0406909900,04
Austria,7982.0,0406909900,04
Belgium,109807.0,0406909900,04
Bulgaria,536732.0,0406909900,04
Croatia,83846.0,0406909900,04
Cyprus,1969607.0,0406909900,04
Denmark,2328106.0,0406909900,04
Austria,78546.0,0407110000,04
Belgium,5185241.0,0407110000,04
Czech Republic,73865.0,0407110000,04
Belgium,87065.0,0407190000,04
Armenia,19720.0,0409000005,04
Bulgaria,17062.0,0409000005,04
Armenia,168319.0,0409000010,04
Austria,62250.0,0409000010,04
Belarus,149479.0,0409000010,04
Bulgaria,344123.0,0409000010,04
Cyprus,6539.0,0409000010,04
Estonia,14800.0,0409000010,04
Croatia,78365.0,0409000035,04
Albania,2500.0,0409000045,04
Bulgaria,196376.0,0409000045,04
Cyprus,2529.0,0409000045,04
Albania,11910.0,0409000056,04
Austria,599439.0,0409000056,04
Bulgaria,53557.0,0409000056,04
Albania,10380.0,0409000065,04
Armenia,123585.0,0409000065,04
Austria,4659.0,0409000065,04
Bulgaria,85424.0,0409000065,04
Czech Republic,12650.0,0410100000,04
Bulgaria,172493.0,0410900000,04
Denmark,13011650.0,0504000020,05
Azerbaijan,37175.0,0504000060,05
Czech Republic,39390.0,0507900010,05
Austria,16551.0,0507900090,05
Czech Republic,166342.0,0507900090,05
Belgium,7617.0,0508000000,05
Denmark,5400.0,0510004040,05
Denmark,1252302.0,0511100010,05
Denmark,10487813.0,0511910090,05
Estonia,28810.0,0511910090,05
Azerbaijan,299422.0,0511992000,05
Azerbaijan,1179312.0,0511993060,05
Belgium,4484464.0,0511993060,05
Czech Republic,540187.0,0511993060,05
Denmark,5541913.0,0511993060,05
Estonia,260606.0,0511993060,05
Belgium,70286.0,0511994040,05
Denmark,73174.0,0511994040,05
Armenia,5100.0,0511994070,05
Austria,2432.0,0511994070,05
Azerbaijan,323116.0,0511994070,05
Belgium,88292.0,0511994070,05
Bulgaria,329275.0,0511994070,05
Denmark,150545.0,0511994070,05
Belgium,238144.0,0601101500,06
Belgium,16859.0,0601104500,06
Belgium,7591.0,0601108500,06
Belgium,4087.0,0601109020,06
Belgium,22318.0,0601109040,06
Belgium,519829.0,0601109060,06
Belgium,156629.0,0601109080,06
Belgium,2860.0,0602100000,06
Belgium,28696.0,0602904000,06
Czech Republic,7147.0,0602904000,06
Denmark,152699.0,0602904000,06
Denmark,121551.0,0602906090,06
Belgium,37667.0,0602909090,06
Czech Republic,31397.0,0602909090,06
Denmark,5428.0,0602909090,06
Belgium,21240.0,0603190145,06
Belgium,10212.0,0603190195,06
Czech Republic,30000.0,0603190195,06
Belgium,2292.0,0603900000,06
Bulgaria,34050.0,0603900000,06
Denmark,24584.0,0604200072,06
Denmark,161741.0,0604901000,06
Belarus,52151.0,0604903000,06
Belgium,58878.0,0604903000,06
Bulgaria,10425.0,0604903000,06
Denmark,106225.0,0604903000,06
Bulgaria,14601.0,0604906000,06
Czech Republic,11920.0,0604906000,06
Belgium,45723.0,0703103000,07
Belgium,3000.0,0703900040,07
Belgium,7371.0,0704102000,07
Belgium,29092.0,0704104000,07
Belgium,1732363.0,0705210000,07
Belgium,14028.0,0706904040,07
Belgium,15029.0,0708102060,07
Austria,29456.0,0709209010,07
Belgium,7215.0,0709209010,07
Belgium,323835.0,0709530000,07
Bosnia and Herzegovina,3327.0,0709530000,07
Bulgaria,79357.0,0709530000,07
Belgium,6860.0,0709560000,07
Bulgaria,331981.0,0709591100,07
Croatia,1961449.0,0709591100,07
Belgium,42171.0,0709599100,07
Bosnia and Herzegovina,2083.0,0709599100,07
Bulgaria,4421.0,0709599100,07
Belgium,50502.0,0709994500,07
Belgium,11956.0,0709999080,07
Belgium,208901.0,0710100000,07
Belgium,3292605.0,0710212000,07
Belgium,9650669.0,0710214000,07
Belgium,12927.0,0710221000,07
Belgium,3475.0,0710221500,07
Belgium,8457670.0,0710222500,07
Belgium,2001402.0,0710223700,07
Belgium,6212943.0,0710224010,07
Belgium,259901.0,0710224090,07
Belgium,2373965.0,0710300000,07
Belgium,431410.0,0710400000,07
Belgium,44943.0,0710802000,07
Belgium,15976853.0,0710806500,07
Belgium,765838.0,0710807040,07
Armenia,57856.0,0710807060,07
Belgium,183380.0,0710807060,07
Belgium,562398.0,0710808500,07
Belgium,17025.0,0710809726,07
Belgium,2768235.0,0710809730,07
Belgium,2580072.0,0710809765,07
Belgium,13159591.0,0710909100,07
Belgium,15524.0,0711591000,07
Belgium,37453.0,0712204000,07
Bulgaria,12344.0,0712311000,07
Bulgaria,8127.0,0712341000,07
Bulgaria,18687.0,0712391100,07
Armenia,11165.0,0712392100,07
Albania,432727.0,0712906000,07
Croatia,2469.0,0712906000,07
Austria,93276.0,0712906500,07
Albania,332384.0,0712907000,07
Armenia,2100.0,0712907000,07
Denmark,199620.0,0712907400,07
Albania,3066.0,0712908580,07
Armenia,19207.0,0712908580,07
Austria,132485.0,0712908580,07
Belgium,170259.0,0712908580,07
Belgium,111648.0,0713104020,07
Belgium,52047.0,0713104080,07
Armenia,14685.0,0713332030,07
Albania,7271.0,0713332090,07
Armenia,12555.0,0713332090,07
Armenia,10395.0,0713334030,07
Albania,2264.0,0713334090,07
Bulgaria,2277.0,0713334090,07
Albania,9702.0,0713392160,07
Albania,2970.0,0713392170,07
Armenia,4000.0,0713392170,07
Belgium,356933.0,0713392170,07
Armenia,10802.0,0713394150,07
Albania,58935.0,0713394160,07
Albania,5684.0,0713394170,07
Belgium,524661.0,0713394170,07
Armenia,3622.0,0713402085,07
Belgium,6925.0,0713501000,07
Belgium,143592.0,0713502000,07
Denmark,1032565.0,0713502000,07
Belgium,82528.0,0714201000,07
Albania,11530.0,0714906100,07
