Country,impVal,hs_code,hs2_code,detail_code
Bahrain,60000.0,101290090,1,112A00
Israel,48308.0,101290090,1,112A00
Jordan,32183.0,101290090,1,112A00
Saudi Arabia,12000.0,101290090,1,112A00
United Arab Emirates,108451.0,101290090,1,112A00
Israel,17000.0,106199120,1,112A00
Jordan,2500.0,106199120,1,112A00
Lebanon,11500.0,106199120,1,112A00
United Arab Emirates,13760.0,106199120,1,112A00
Kuwait,40950.0,106199195,1,112A00
United Arab Emirates,3100.0,106199195,1,112A00
Kuwait,10025.0,106200000,1,112A00
Lebanon,20300.0,106200000,1,112A00
Saudi Arabia,30975.0,106200000,1,112A00
Bahrain,8890.0,106390100,1,112A00
Kuwait,6200.0,106390100,1,112A00
United Arab Emirates,9180.0,106390100,1,112A00
Israel,2230437.0,106490090,1,112A00
Israel,2976318.0,106900180,1,112A00
Lebanon,66077.0,202308000,2,31161A
Israel,453663.0,301110010,3,112A00
Israel,39983.0,301110020,3,112A00
Israel,737733.0,301110090,3,112A00
Israel,41817.0,301190000,3,112A00
Oman,15612.0,301190000,3,112A00
Israel,293728.0,301990390,3,112A00
Oman,268909.0,302320000,3,114000
Jordan,3296.0,302895072,3,114000
Oman,87239.0,303530000,3,114000
United Arab Emirates,96921.0,303890070,3,114000
Oman,1653552.0,303890080,3,114000
Oman,216400.0,304490190,3,114000
Oman,1064243.0,304870000,3,311700
Oman,328696.0,304891090,3,114000
Oman,396903.0,304895055,3,114000
United Arab Emirates,1044920.0,304895091,3,114000
Oman,38119.0,304999190,3,114000
Oman,155520.0,305204065,3,311700
Oman,5250.0,305396110,3,311700
United Arab Emirates,340600.0,305410000,3,311700
United Arab Emirates,16164.0,305420060,3,311700
Oman,3270.0,305440100,3,311700
United Arab Emirates,35800.0,305540000,3,311700
United Arab Emirates,9000.0,305691042,3,311700
Oman,4695.0,305720000,3,311700
United Arab Emirates,1103114.0,306110010,3,114000
Oman,774870.0,306110020,3,114000
United Arab Emirates,1094721.0,306110020,3,114000
United Arab Emirates,1543334.0,306120070,3,114000
Bahrain,3044737.0,306144090,3,114000
Saudi Arabia,455949.0,306170008,3,112A00
Saudi Arabia,1409046.0,306170010,3,112A00
Saudi Arabia,335998.0,306170011,3,112A00
Saudi Arabia,433249.0,306170013,3,112A00
Saudi Arabia,442910.0,306170014,3,112A00
Saudi Arabia,5191070.0,306170041,3,112A00
Oman,30540.0,307430060,3,114000
Oman,131550.0,307490160,3,114000
Israel,3596.0,308900100,3,114000
United Arab Emirates,26127.0,401202000,4,31151A
United Arab Emirates,137644.0,401204000,4,31151A
Bahrain,1009030.0,401400500,4,31151A
Bahrain,841826.0,401402500,4,31151A
