Country,iso3,detail_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Afghanistan,AFG,1111A0,19862.0,Asia,RoAsia,RoAsia,1.758440931246732e-05,0.00027613765530240606,1129523298.0,71927894.0
Afghanistan,AFG,1111B0,102319.0,Asia,RoAsia,RoAsia,4.486823095704887e-05,0.0010342385219123443,2280433122.0,98931724.0
Afghanistan,AFG,111200,23322.0,Asia,RoAsia,RoAsia,2.3654616597678027e-06,0.00023183211847617292,9859386181.0,100598658.0
Afghanistan,AFG,111300,3425823.0,Asia,RoAsia,RoAsia,0.00012104640609284402,0.001616866257762529,28301732456.0,2118804189.0
Afghanistan,AFG,111400,18177.0,Asia,RoAsia,RoAsia,2.2141617350193184e-06,0.00013205238524006968,8209427393.0,137649918.0
Afghanistan,AFG,111900,5350.0,Asia,RoAsia,RoAsia,2.436718287166569e-06,1.1494690212630735e-05,2195575922.0,465432291.0
Afghanistan,AFG,112A00,2250.0,Asia,RoAsia,RoAsia,2.0810152469026376e-07,6.804004600388908e-07,10812030346.0,3306876071.0
Afghanistan,AFG,113000,54963.0,Asia,RoAsia,RoAsia,1.745142612177616e-05,3.072563658058169e-05,3149484725.0,1788831937.0
Afghanistan,AFG,115000,28527.0,Asia,RoAsia,RoAsia,5.564141091380909e-05,0.0008536673717270286,512693685.0,33416997.0
Afghanistan,AFG,2123A0,15399.0,Asia,RoAsia,RoAsia,6.511671882399275e-06,8.521793836108323e-05,2364830458.0,180701391.0
Afghanistan,AFG,311210,6877.0,Asia,RoAsia,RoAsia,1.9307737146775437e-06,4.331690847328787e-06,3561784557.0,1587601757.0
Afghanistan,AFG,311224,87419.0,Asia,RoAsia,RoAsia,6.1395378884778685e-06,2.7465731678563368e-05,14238693789.0,3182838929.0
Afghanistan,AFG,311300,342098.0,Asia,RoAsia,RoAsia,2.5482653411525422e-05,0.00028318379506663113,13424740135.0,1208042289.0
Afghanistan,AFG,311410,86477.0,Asia,RoAsia,RoAsia,1.2813329459977994e-05,0.00037038098427869627,6748987472.0,233481209.0
Afghanistan,AFG,311420,6231648.0,Asia,RoAsia,RoAsia,0.000529575723055604,0.003055566229502759,11767246361.0,2039441312.0
Afghanistan,AFG,311514,33892.0,Asia,RoAsia,RoAsia,1.3896972824607414e-05,4.1923566176772876e-05,2438804510.0,808423593.0
Afghanistan,AFG,31151A,3000.0,Asia,RoAsia,RoAsia,2.943656940222976e-06,1.6680899366035746e-05,1019140498.0,179846418.0
Afghanistan,AFG,311810,45157.0,Asia,RoAsia,RoAsia,4.392807641039245e-06,6.432977957113336e-05,10279758116.0,701961056.0
Afghanistan,AFG,311910,1101872.0,Asia,RoAsia,RoAsia,0.0005818033098854675,0.002375160711921633,1893890910.0,463914713.0
Afghanistan,AFG,311920,5400.0,Asia,RoAsia,RoAsia,1.1636929736869918e-06,1.2160786185638752e-05,4640399248.0,444050238.0
Afghanistan,AFG,311940,1913032.0,Asia,RoAsia,RoAsia,0.00048599613704874316,0.0014341486882255546,3936311123.0,1333914688.0
Afghanistan,AFG,311990,140550.0,Asia,RoAsia,RoAsia,2.6385006080352844e-05,9.795285918677694e-05,5326889051.0,1434873889.0
Afghanistan,AFG,312110,779974.0,Asia,RoAsia,RoAsia,0.00020528693282286366,0.0015647919857189113,3799433258.0,498452195.0
