Country,iso3,summary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Afghanistan,AFG,111CA,3597103.0,Asia,RoAsia,RoAsia,5.459437011293862e-05,0.0005706705750737635,65887801115.0,6303291526.0
Afghanistan,AFG,113FF,83490.0,Asia,RoAsia,RoAsia,5.083393169053818e-06,1.647865927648082e-05,16424068968.0,5066552964.0
Afghanistan,AFG,212,15399.0,Asia,RoAsia,RoAsia,2.5941878591139926e-06,1.9324565463791422e-05,5935961787.0,796861385.0
Afghanistan,AFG,311FT,11165229.0,Asia,RoAsia,RoAsia,7.41368147670498e-05,0.0003813208330449482,150603030830.0,29280406504.0
Afghanistan,AFG,313TT,4089098.0,Asia,RoAsia,RoAsia,0.00012009043826637074,0.0003624699735472447,34050154692.0,11281204785.0
Afghanistan,AFG,315AL,102387.0,Asia,RoAsia,RoAsia,8.239787960998066e-07,1.6877098694902854e-06,124259265511.0,60666232894.0
Afghanistan,AFG,322,18531.0,Asia,RoAsia,RoAsia,6.965960609103825e-07,5.593129362826526e-06,26602217612.0,3313172072.0
Afghanistan,AFG,323,16000.0,Asia,RoAsia,RoAsia,2.3561315750830453e-06,1.596982077567204e-05,6790792233.0,1001889766.0
Afghanistan,AFG,325,30017.0,Asia,RoAsia,RoAsia,7.64808842182624e-08,4.7142963385904565e-07,392477156963.0,63672280748.0
Afghanistan,AFG,326,10725.0,Asia,RoAsia,RoAsia,1.395539553346817e-07,5.240849121934944e-07,76851995877.0,20464241100.0
Afghanistan,AFG,327,6750.0,Asia,RoAsia,RoAsia,2.2423533401860806e-07,1.3536630525593847e-06,30102303143.0,4986469851.0
Afghanistan,AFG,331,23075.0,Asia,RoAsia,RoAsia,1.7239786182908072e-07,1.3423781843437818e-06,133847367683.0,17189641689.0
Afghanistan,AFG,332,83154.0,Asia,RoAsia,RoAsia,8.407823448572518e-07,4.023987144058984e-06,98900744656.0,20664578942.0
Afghanistan,AFG,333,31588.0,Asia,RoAsia,RoAsia,1.2599275008822378e-07,7.167455612854327e-07,250712838460.0,44071427444.0
Afghanistan,AFG,334,74226.0,Asia,RoAsia,RoAsia,1.375397014256641e-07,3.158639605699546e-07,539669631609.0,234993570859.0
Afghanistan,AFG,335,48834.0,Asia,RoAsia,RoAsia,2.3888926691593736e-07,9.301749386795772e-07,204421071865.0,52499801886.0
Afghanistan,AFG,3361MV,13504.0,Asia,RoAsia,RoAsia,3.221252018596897e-08,2.3261389808437533e-07,419215880100.0,58053281043.0
Afghanistan,AFG,337,94883.0,Asia,RoAsia,RoAsia,1.9912244657024324e-06,4.799656265880874e-06,47650579648.0,19768707329.0
Afghanistan,AFG,339,1112493.0,Asia,RoAsia,RoAsia,7.154580320878943e-06,3.053328646078884e-05,155493816563.0,36435416195.0
Afghanistan,AFG,Other,1971873.0,Asia,RoAsia,RoAsia,1.3374337201241402e-05,9.291240663714001e-05,147437063260.0,21222924595.0
Albania,ALB,111CA,17960340.0,Europe,Europe,Europe,0.00027258976162601296,0.0047890873616399056,65887801115.0,3750263598.0
Albania,ALB,113FF,1320785.0,Europe,Europe,Europe,8.041764818288116e-05,0.0006148645743649289,16424068968.0,2148090905.0
Albania,ALB,212,36615.0,Europe,Europe,Europe,6.16833485690362e-06,6.84370541638528e-05,5935961787.0,535017184.0
Albania,ALB,311FT,6862452.0,Europe,Europe,Europe,4.556649333137461e-05,0.0001855950300731199,150603030830.0,36975408217.0
Albania,ALB,313TT,130579.0,Europe,Europe,Europe,3.8349018141371096e-06,2.8848796736282396e-05,34050154692.0,4526323964.0
Albania,ALB,315AL,13873209.0,Europe,Europe,Europe,0.0001116472799267583,0.0012142780808640842,124259265511.0,11425067469.0
Albania,ALB,321,154854.0,Europe,Europe,Europe,6.656096896207549e-06,5.0072267451390744e-05,23264985834.0,3092610099.0
Albania,ALB,322,2713926.0,Europe,Europe,Europe,0.00010201878804178245,0.00051345664000555,26602217612.0,5285599189.0
Albania,ALB,323,35015.0,Europe,Europe,Europe,5.156246693845802e-06,2.7780710053828812e-05,6790792233.0,1260406949.0
Albania,ALB,325,4713651.0,Europe,Europe,Europe,1.2010000878711956e-05,1.9972352011422474e-05,392477156963.0,236008808442.0
Albania,ALB,326,992072.0,Europe,Europe,Europe,1.2908864482684228e-05,9.486873580489885e-05,76851995877.0,10457312323.0
Albania,ALB,327,109794.0,Europe,Europe,Europe,3.6473621130724523e-06,1.4448161264364323e-05,30102303143.0,7599167672.0
Albania,ALB,331,64834468.0,Europe,Europe,Europe,0.0004843910576825983,0.0019074482111964516,133847367683.0,33990159009.0
Albania,ALB,332,6367644.0,Europe,Europe,Europe,6.43841866120236e-05,0.00027310406244508977,98900744656.0,23315815748.0
Albania,ALB,333,248539.0,Europe,Europe,Europe,9.91329369196437e-07,2.913172933235839e-06,250712838460.0,85315566805.0
Albania,ALB,334,209693.0,Europe,Europe,Europe,3.885580876115079e-07,3.9634786218139196e-06,539669631609.0,52906302773.0
Albania,ALB,335,1352420.0,Europe,Europe,Europe,6.6158541664097145e-06,4.876371003320523e-05,204421071865.0,27734149003.0
Albania,ALB,3361MV,1055527.0,Europe,Europe,Europe,2.517860248395681e-06,1.4554544319474347e-05,419215880100.0,72522160559.0
