Country,iso3,usummary_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Afghanistan,AFG,111,3594853.0,Asia,RoAsia,RoAsia,6.916360588559873e-05,0.0012009485680765943,51976078372.0,2993344674.0
Afghanistan,AFG,112,2250.0,Asia,RoAsia,RoAsia,1.617341030701707e-07,6.797692230739178e-07,13911722743.0,3309946852.0
Afghanistan,AFG,113FF,83490.0,Asia,RoAsia,RoAsia,5.083393169053818e-06,1.647865927648082e-05,16424068968.0,5066552964.0
Afghanistan,AFG,212,15399.0,Asia,RoAsia,RoAsia,2.5941878591139926e-06,1.9324565463791422e-05,5935961787.0,796861385.0
Afghanistan,AFG,311,9997422.0,Asia,RoAsia,RoAsia,8.483322320598465e-05,0.00035909371676919,117847956522.0,27840704343.0
Afghanistan,AFG,3121,779974.0,Asia,RoAsia,RoAsia,2.530276048316648e-05,0.0005669705242464755,30825648471.0,1375687036.0
Afghanistan,AFG,3122,387833.0,Asia,RoAsia,RoAsia,0.00020100954002099847,0.006058458840781768,1929425837.0,64015125.0
Afghanistan,AFG,313TT,4089098.0,Asia,RoAsia,RoAsia,0.00012009043826637074,0.0003624699735472447,34050154692.0,11281204785.0
Afghanistan,AFG,315AL,102387.0,Asia,RoAsia,RoAsia,8.239787960998066e-07,1.6877098694902854e-06,124259265511.0,60666232894.0
Afghanistan,AFG,322,18531.0,Asia,RoAsia,RoAsia,6.965960609103825e-07,5.593129362826526e-06,26602217612.0,3313172072.0
Afghanistan,AFG,323,16000.0,Asia,RoAsia,RoAsia,2.3561315750830453e-06,1.596982077567204e-05,6790792233.0,1001889766.0
Afghanistan,AFG,3251,2402.0,Asia,RoAsia,RoAsia,3.7359691645759545e-08,2.5742168284920177e-07,64293892540.0,9330993308.0
Afghanistan,AFG,3254,6000.0,Asia,RoAsia,RoAsia,2.3811154381218265e-08,1.5313803770521992e-07,251982743211.0,39180337491.0
Afghanistan,AFG,325X,21615.0,Asia,RoAsia,RoAsia,3.9751708190459543e-07,2.197728370245174e-06,54375021814.0,9835155378.0
Afghanistan,AFG,326,10725.0,Asia,RoAsia,RoAsia,1.395539553346817e-07,5.240849121934944e-07,76851995877.0,20464241100.0
Afghanistan,AFG,327,6750.0,Asia,RoAsia,RoAsia,2.2423533401860806e-07,1.3536630525593847e-06,30102303143.0,4986469851.0
Afghanistan,AFG,3313NF,23075.0,Asia,RoAsia,RoAsia,2.425939264126655e-07,2.40351754658575e-06,95117797635.0,9600512396.0
Afghanistan,AFG,332,83154.0,Asia,RoAsia,RoAsia,8.407823448572518e-07,4.023987144058984e-06,98900744656.0,20664578942.0
Afghanistan,AFG,33311,4822.0,Asia,RoAsia,RoAsia,3.11769292720469e-07,1.997230489106815e-06,15466564901.0,2414343275.0
Afghanistan,AFG,33312,3732.0,Asia,RoAsia,RoAsia,1.1408093122361587e-07,1.0678196158074294e-06,32713617955.0,3494972320.0
Afghanistan,AFG,3332OM,23034.0,Asia,RoAsia,RoAsia,1.1554676423077017e-07,6.091976492881791e-07,199347858448.0,37810388840.0
Afghanistan,AFG,3341,6919.0,Asia,RoAsia,RoAsia,4.4930405348258436e-08,1.2260670121522052e-07,153993714198.0,56432478253.0
Afghanistan,AFG,3342,19714.0,Asia,RoAsia,RoAsia,1.6247651530829913e-07,3.989296330792119e-07,121334458476.0,49417236438.0
Afghanistan,AFG,3344,20000.0,Asia,RoAsia,RoAsia,1.521371628208547e-07,2.3103359719628678e-07,131460319288.0,86567495995.0
Afghanistan,AFG,3345,27593.0,Asia,RoAsia,RoAsia,3.708651401375422e-07,2.098546151122534e-06,74401708367.0,13148626722.0
Afghanistan,AFG,335,48834.0,Asia,RoAsia,RoAsia,2.3888926691593736e-07,9.301749386795772e-07,204421071865.0,52499801886.0
Afghanistan,AFG,3362BP,13504.0,Asia,RoAsia,RoAsia,8.781440869210536e-08,6.713309192181674e-07,153778863869.0,20115265979.0
Afghanistan,AFG,337,94883.0,Asia,RoAsia,RoAsia,1.9912244657024324e-06,4.799656265880874e-06,47650579648.0,19768707329.0
Afghanistan,AFG,3399,1112493.0,Asia,RoAsia,RoAsia,1.1380248594711923e-05,4.145077549547809e-05,97756476121.0,26838894730.0
Afghanistan,AFG,S003,1971873.0,Asia,RoAsia,RoAsia,1.3374337201241402e-05,9.291240663714001e-05,147437063260.0,21222924595.0
Albania,ALB,111,17935550.0,Europe,Europe,Europe,0.0003450731675374349,0.012018358763605007,51976078372.0,1492346031.0
Albania,ALB,112,24790.0,Europe,Europe,Europe,1.7819504067153474e-06,1.097914306629778e-05,13911722743.0,2257917567.0
