Country,naics_2024,naics_2022_mapped,impVal,continent,hs_code_count,manual_bea_2024,manual_bea_2022,bea_2024,bea_2024_match_level,bea_2022,bea_2022_match_level,mapping_discrepancy
Afghanistan,111120,111120,19862.0,Asia,2,,,1111A0,level_5,1111A0,level_5,both_mapped_same
Afghanistan,111130,111130,102319.0,Asia,3,,,1111B0,level_5,1111B0,level_5,both_mapped_same
Afghanistan,111219,111219,23322.0,Asia,1,,,111200,level_4,111200,level_4,both_mapped_same
Afghanistan,111320,111320,2198.0,Asia,1,,,111300,level_4,111300,level_4,both_mapped_same
Afghanistan,111334,111334,10560.0,Asia,1,,,111300,level_4,111300,level_4,both_mapped_same
Afghanistan,111335,111335,592265.0,Asia,9,,,111300,level_4,111300,level_4,both_mapped_same
Afghanistan,111335,115114,6824.0,Asia,1,,,111300,level_4,115000,level_3,both_mapped_different
Afghanistan,111339,111339,2712722.0,Asia,4,,,111300,level_4,111300,level_4,both_mapped_same
Afghanistan,111422,111422,18177.0,Asia,2,,,111400,level_4,111400,level_4,both_mapped_same
Afghanistan,111998,111998,5350.0,Asia,1,,,111900,level_4,111900,level_4,both_mapped_same
Afghanistan,112910,112910,2250.0,Asia,1,,,112A00,level_4,112A00,level_4,both_mapped_same
Afghanistan,113210,113210,54963.0,Asia,2,,,113000,level_3,113000,level_3,both_mapped_same
Afghanistan,115114,115114,21703.0,Asia,2,,,115000,level_3,115000,level_3,both_mapped_same
Afghanistan,212323,212325,7211.0,Asia,1,,,2123A0,level_5,2123A0,level_5,both_mapped_same
Afghanistan,212390,212393,8188.0,Asia,1,,,2123A0,level_5,2123A0,level_5,both_mapped_same
Afghanistan,311211,311211,4605.0,Asia,2,,,311210,level_5,311210,level_5,both_mapped_same
Afghanistan,311212,311212,2272.0,Asia,1,,,311210,level_5,311210,level_5,both_mapped_same
Afghanistan,311224,311224,87419.0,Asia,2,,,311224,exact,311224,exact,both_mapped_same
Afghanistan,31131X,31131X,30372.0,Asia,4,,,311300,level_4,311300,level_4,both_mapped_same
Afghanistan,311340,311340,311726.0,Asia,6,,,311300,level_4,311300,level_4,both_mapped_same
Afghanistan,311411,311411,86477.0,Asia,5,,,311410,level_5,311410,level_5,both_mapped_same
Afghanistan,311421,311421,799645.0,Asia,21,,,311420,level_5,311420,level_5,both_mapped_same
Afghanistan,311423,311423,5432003.0,Asia,17,,,311420,level_5,311420,level_5,both_mapped_same
Afghanistan,311511,311511,3000.0,Asia,1,,,31151A,exact,31151A,exact,both_mapped_same
Afghanistan,311514,311514,33892.0,Asia,2,,,311514,exact,311514,exact,both_mapped_same
Afghanistan,31181X,31181X,45157.0,Asia,2,,,311810,exact,311810,exact,both_mapped_same
Afghanistan,311911,311911,1098341.0,Asia,5,,,311910,level_5,311910,level_5,both_mapped_same
Afghanistan,311919,311919,3531.0,Asia,1,,,311910,level_5,311910,level_5,both_mapped_same
Afghanistan,311920,311920,5400.0,Asia,1,,,311920,level_5,311920,level_5,both_mapped_same
Afghanistan,311941,311941,74790.0,Asia,2,,,311940,level_5,311940,level_5,both_mapped_same
Afghanistan,311942,311942,1838242.0,Asia,8,,,311940,level_5,311940,level_5,both_mapped_same
Afghanistan,311991,311991,28395.0,Asia,1,,,311990,level_5,311990,level_5,both_mapped_same
