Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
Belgium,834817.0,0101210010,1,0101210010,112920,112920,direct_2022
Czech Republic,215000.0,0101210010,1,0101210010,112920,112920,direct_2022
Denmark,44013.0,0101210010,1,0101210010,112920,112920,direct_2022
Austria,46904.0,0101210020,1,0101210020,112920,112920,direct_2022
Belgium,2753685.0,0101210020,1,0101210020,112920,112920,direct_2022
Denmark,599843.0,0101210020,1,0101210020,112920,112920,direct_2022
Austria,41050.0,0101290090,1,0101290090,112920,112920,direct_2022
Belgium,73445865.0,0101290090,1,0101290090,112920,112920,direct_2022
Bulgaria,16983.0,0101290090,1,0101290090,112920,112920,direct_2022
Czech Republic,785598.0,0101290090,1,0101290090,112920,112920,direct_2022
Denmark,2400808.0,0101290090,1,0101290090,112920,112920,direct_2022
Estonia,13503.0,0101290090,1,0101290090,112920,112920,direct_2022
Austria,17936.0,0106199120,1,0106199120,112990,112990,direct_2022
Azerbaijan,3000.0,0106199120,1,0106199120,112990,112990,direct_2022
Belgium,216944.0,0106199120,1,0106199120,112990,112990,direct_2022
Bulgaria,83529.0,0106199120,1,0106199120,112990,112990,direct_2022
Croatia,786647.0,0106199120,1,0106199120,112990,112990,direct_2022
Czech Republic,807249.0,0106199120,1,0106199120,112990,112990,direct_2022
Denmark,17196.0,0106199120,1,0106199120,112990,112990,direct_2022
Austria,2500.0,0106199195,1,0106199195,112990,112990,direct_2022
Belgium,8784.0,0106199195,1,0106199195,112990,112990,direct_2022
Bulgaria,19795.0,0106199195,1,0106199195,112990,112990,direct_2022
Czech Republic,546376.0,0106199195,1,0106199195,112990,112990,direct_2022
Denmark,29116.0,0106199195,1,0106199195,112990,112990,direct_2022
Estonia,9729.0,0106199195,1,0106199195,112990,112990,direct_2022
Austria,14802.0,0106200000,1,0106200000,112990,112990,direct_2022
Belgium,12487.0,0106200000,1,0106200000,112990,112990,direct_2022
Czech Republic,312604.0,0106200000,1,0106200000,112990,112990,direct_2022
Austria,45705.0,0106390100,1,0106390100,112990,112990,direct_2022
Belgium,1192304.0,0106390100,1,0106390100,112990,112990,direct_2022
Belgium,1404092.0,0106490090,1,0106490090,112990,112990,direct_2022
Belgium,126666.0,0106900110,1,0106900110,112990,112990,direct_2022
Belgium,2501534.0,0106900180,1,0106900180,112990,112990,direct_2022
Czech Republic,198800.0,0106900180,1,0106900180,112990,112990,direct_2022
Denmark,1687198.0,0203229000,2,0203229000,311611,311611,direct_2022
Denmark,4423736.0,0203292000,2,0203292000,311611,311611,direct_2022
Denmark,114144448.0,0203294000,2,0203294000,311611,311611,direct_2022
Denmark,7738536.0,0206490000,2,0206490000,311611,311611,direct_2022
Denmark,181032.0,0210190090,2,0210190090,311611,311611,direct_2022
Czech Republic,215180.0,0301110090,3,0301110090,112511,112511,direct_2022
Czech Republic,26992.0,0301190000,3,0301190000,112511,112511,direct_2022
Bulgaria,12600.0,0301920000,3,0301920000,112511,112511,direct_2022
Armenia,47665.0,0302110090,3,0302110090,114111,114111,direct_2022
Belgium,3023.0,0302140003,3,0302140003,112511,112511,direct_2022
Denmark,1626096.0,0302140003,3,0302140003,112511,112511,direct_2022
Armenia,8000.0,0302190000,3,0302190000,114111,114111,direct_2022
Belgium,2395.0,0302230000,3,0302230000,114111,114111,direct_2022
Albania,887568.0,0302350100,3,0302350100,114111,114111,direct_2022
Croatia,1022149.0,0302350100,3,0302350100,114111,114111,direct_2022
Estonia,41140.0,0302410000,3,0302410000,114111,114111,direct_2022
Denmark,93564.0,0302451100,3,0302451100,114111,114111,direct_2022
Denmark,322638.0,0302455000,3,0302455000,114111,114111,direct_2022
Cyprus,484177.0,0302845000,3,0302845000,114111,114111,direct_2022
Cyprus,114256.0,0302855000,3,0302855000,114111,114111,direct_2022
Armenia,5675.0,0302895031,3,0302895031,114111,114111,direct_2022
Armenia,16169.0,0302895049,3,0302895049,114111,114111,direct_2022
Belgium,10340.0,0302895077,3,0302895077,114111,114111,direct_2022
Denmark,4242.0,0302895077,3,0302895077,114111,114111,direct_2022
Denmark,27156.0,0303110000,3,0303110000,114111,114111,direct_2022
Belarus,7747.0,0303190100,3,0303190100,114111,114111,direct_2022
Denmark,552553.0,0303310030,3,0303310030,114111,114111,direct_2022
