hs_commodity,naics_2023,naics_2022,overlap_type
1206000061,,111120,only_2022
1206000069,,111120,only_2022
1207400000,,111120,only_2022
1204000090,,111120,only_2022
713202010,,111130,only_2022
713202090,,111130,only_2022
713402030,,111130,only_2022
713402080,,111130,only_2022
701901000,,111211,only_2022
701905015,,111211,only_2022
701905025,,111211,only_2022
701905035,,111211,only_2022
701905040,,111211,only_2022
701905045,,111211,only_2022
701905055,,111211,only_2022
701905065,,111211,only_2022
707004000,,111219,only_2022
707004010,,111219,only_2022
707004020,,111219,only_2022
707005010,,111219,only_2022
707005090,,111219,only_2022
707006010,,111219,only_2022
707006050,,111219,only_2022
703104020,,111219,only_2022
703104040,,111219,only_2022
709932010,,111219,only_2022
709932040,,111219,only_2022
709932050,,111219,only_2022
709602090,,111219,only_2022
709604015,,111219,only_2022
709604025,,111219,only_2022
709604065,,111219,only_2022
709604085,,111219,only_2022
702002035,,111219,only_2022
702002045,,111219,only_2022
702002065,,111219,only_2022
702002080,,111219,only_2022
702002091,,111219,only_2022
709999090,,111219,only_2022
702004035,,111219,only_2022
702004046,,111219,only_2022
702004065,,111219,only_2022
702004080,,111219,only_2022
702004091,,111219,only_2022
702006035,,111219,only_2022
702006045,,111219,only_2022
702006065,,111219,only_2022
702006080,,111219,only_2022
702006091,,111219,only_2022
704904040,,111219,only_2022
704904050,,111219,only_2022
707002000,,111219,only_2022
707002010,,111219,only_2022
707002020,,111219,only_2022
806102000,,111332,only_2022
806104000,,111332,only_2022
806106000,,111332,only_2022
810904690,,111339,only_2022
804102000,,111339,only_2022
707005040,,111419,only_2022
707006020,,111419,only_2022
702002015,,111419,only_2022
702002025,,111419,only_2022
702002031,,111419,only_2022
702004015,,111419,only_2022
702004025,,111419,only_2022
702004031,,111419,only_2022
702006015,,111419,only_2022
702006025,,111419,only_2022
702006031,,111419,only_2022
603190160,,111422,only_2022
1702204090,,111998,only_2022
1006202000,,311212,only_2022
1702304040,,311221,only_2022
1702304080,,311221,only_2022
1702604020,,311221,only_2022
1512190020,,311224,only_2022
2304000000,,311224,only_2022
1512110020,,311224,only_2022
1509104050,,311224,only_2022
710809750,,311411,only_2022
2004908580,,311411,only_2022
201205055,,311611,only_2022
201205085,,311611,only_2022
202205055,,311611,only_2022
202205065,,311611,only_2022
202205075,,311611,only_2022
202205085,,311611,only_2022
2202999100,,312111,only_2022
2202100040,,312111,only_2022
2202100060,,312111,only_2022
2202910000,,312120,only_2022
2206009000,,312130,only_2022
2206009010,,312130,only_2022
2206009020,,312130,only_2022
2208908000,,312140,only_2022
7019594010,,313210,only_2022
7019594021,,313210,only_2022
7019594096,,313210,only_2022
7019599010,,313210,only_2022
7019599021,,313210,only_2022
7019599096,,313210,only_2022
5603110090,,313230,only_2022
5603120090,,313230,only_2022
5603130090,,313230,only_2022
5603920090,,313230,only_2022
5703201000,,314110,only_2022
9404901000,,314120,only_2022
9404902000,,314120,only_2022
9404909600,,314120,only_2022
7019593000,,314994,only_2022
7019597000,,314994,only_2022
6307909845,,314999,only_2022
6201110010,,315220,only_2022
6201110020,,315220,only_2022
4412314865,,321211,only_2022
4412315265,,321211,only_2022
3824992990,,325194,only_2022
2923202000,,325199,only_2022
2931490000,,325199,only_2022
2903591000,,325199,only_2022
3824999380,,325411,only_2022
3402114000,,325613,only_2022
3824992940,,325998,only_2022
7007211010,,327211,only_2022
7007211090,,327211,only_2022
7007215000,,327211,only_2022
6810990010,,327991,only_2022
7019395000,,327993,only_2022
7419995010,,332913,only_2022
7419995050,,332999,only_2022
8479909540,,333120,only_2022
8479909440,,333999,only_2022
8703220100,,336111,only_2022
8703800010,,336111,only_2022
8703800090,,336111,only_2022
9403200081,,337215,only_2022
9403999041,,337215,only_2022
4015121000,,339113,only_2022
7419991500,,339910,only_2022
1206000065,111120,,only_2023
1206000070,111120,,only_2023
1206000075,111120,,only_2023
1206000080,111120,,only_2023
1207400010,111120,,only_2023
1207400090,111120,,only_2023
1204000055,111120,,only_2023
1204000075,111120,,only_2023
713202015,111130,,only_2023
713202025,111130,,only_2023
713202075,111130,,only_2023
713402035,111130,,only_2023
713402050,111130,,only_2023
713402065,111130,,only_2023
713402085,111130,,only_2023
701901010,111211,,only_2023
701901060,111211,,only_2023
701905043,111211,,only_2023
701905046,111211,,only_2023
701905056,111211,,only_2023
701905066,111211,,only_2023
701905076,111211,,only_2023
707004015,111219,,only_2023
707004035,111219,,only_2023
707004055,111219,,only_2023
705192020,111219,,only_2023
705192040,111219,,only_2023
705192060,111219,,only_2023
705192080,111219,,only_2023
705194020,111219,,only_2023
705194040,111219,,only_2023
705194060,111219,,only_2023
705194080,111219,,only_2023
706904020,111219,,only_2023
706904040,111219,,only_2023
703104025,111219,,only_2023
703104045,111219,,only_2023
703104065,111219,,only_2023
703104085,111219,,only_2023
709404020,111219,,only_2023
709404040,111219,,only_2023
709406020,111219,,only_2023
709406040,111219,,only_2023
709932022,111219,,only_2023
709932025,111219,,only_2023
709932028,111219,,only_2023
709932032,111219,,only_2023
709932035,111219,,only_2023
709932038,111219,,only_2023
709932055,111219,,only_2023
709932060,111219,,only_2023
709932065,111219,,only_2023
709932070,111219,,only_2023
709932075,111219,,only_2023
709932080,111219,,only_2023
709932085,111219,,only_2023
709932090,111219,,only_2023
708102020,111219,,only_2023
708102040,111219,,only_2023
708102060,111219,,only_2023
708104020,111219,,only_2023
708104040,111219,,only_2023
708104060,111219,,only_2023
807197020,111219,,only_2023
807197040,111219,,only_2023
807198020,111219,,only_2023
807198040,111219,,only_2023
709602020,111219,,only_2023
709602030,111219,,only_2023
709602040,111219,,only_2023
709602050,111219,,only_2023
709602060,111219,,only_2023
709602070,111219,,only_2023
709999030,111219,,only_2023
709999080,111219,,only_2023
704904022,111219,,only_2023
704904024,111219,,only_2023
704904045,111219,,only_2023
704904055,111219,,only_2023
707002015,111219,,only_2023
707002035,111219,,only_2023
707002055,111219,,only_2023
805503020,111320,,only_2023
805503040,111320,,only_2023
806102005,111332,,only_2023
806102015,111332,,only_2023
806102025,111332,,only_2023
806102035,111332,,only_2023
806102045,111332,,only_2023
806104005,111332,,only_2023
806104015,111332,,only_2023
806104025,111332,,only_2023
806104035,111332,,only_2023
806104045,111332,,only_2023
806106005,111332,,only_2023
806106015,111332,,only_2023
806106025,111332,,only_2023
806106035,111332,,only_2023
806106045,111332,,only_2023
810904620,111339,,only_2023
810904630,111339,,only_2023
810904640,111339,,only_2023
810904650,111339,,only_2023
810904660,111339,,only_2023
810904670,111339,,only_2023
810904680,111339,,only_2023
804102010,111339,,only_2023
804102090,111339,,only_2023
804504065,111339,,only_2023
804504075,111339,,only_2023
804506065,111339,,only_2023
804506075,111339,,only_2023
707005030,111419,,only_2023
707005050,111419,,only_2023
707005060,111419,,only_2023
707006024,111419,,only_2023
707006026,111419,,only_2023
707006028,111419,,only_2023
604200005,111422,,only_2023
604200011,111422,,only_2023
604200015,111422,,only_2023
604200065,111422,,only_2023
604200070,111422,,only_2023
604200074,111422,,only_2023
604200078,111422,,only_2023
604200082,111422,,only_2023
604200084,111422,,only_2023
604200086,111422,,only_2023
603190107,111422,,only_2023
603190109,111422,,only_2023
603190111,111422,,only_2023
603190113,111422,,only_2023
603190115,111422,,only_2023
603190117,111422,,only_2023
603190118,111422,,only_2023
603190119,111422,,only_2023
603190127,111422,,only_2023
603190129,111422,,only_2023
603190131,111422,,only_2023
603190135,111422,,only_2023
603190141,111422,,only_2023
603190142,111422,,only_2023
603190143,111422,,only_2023
603190195,111422,,only_2023
1702204040,111998,,only_2023
1702204050,111998,,only_2023
1702204060,111998,,only_2023
1702204070,111998,,only_2023
604200072,113210,,only_2023
2702200000,212114,212111,both_years
2702100000,212114,212111,both_years
2701110000,212114,212113,both_years
2701190010,212115,212112,both_years
2701190050,212115,212112,both_years
2701120010,212115,212112,both_years
2701120050,212115,212112,both_years
2616900010,212220,212221,both_years
2616900020,212220,212221,both_years
2616900030,212220,212221,both_years
2616900040,212220,212221,both_years
2616900050,212220,212221,both_years
2616100010,212220,212222,both_years
2616100020,212220,212222,both_years
2616100030,212220,212222,both_years
2616100040,212220,212222,both_years
2616100080,212220,212222,both_years
2612100000,212290,212291,both_years
2615906090,212290,212291,both_years
2609000000,212290,212299,both_years
2606000030,212290,212299,both_years
2606000060,212290,212299,both_years
2606000090,212290,212299,both_years
2614003000,212290,212299,both_years
2614006020,212290,212299,both_years
2614006040,212290,212299,both_years
2613100000,212290,212299,both_years
2611003000,212290,212299,both_years
2611006000,212290,212299,both_years
2613900000,212290,212299,both_years
2612200000,212290,212299,both_years
2605000000,212290,212299,both_years
2615100000,212290,212299,both_years
2602000040,212290,212299,both_years
2602000060,212290,212299,both_years
2610000020,212290,212299,both_years
2610000040,212290,212299,both_years
2610000060,212290,212299,both_years
2615903000,212290,212299,both_years
2615906030,212290,212299,both_years
2615906060,212290,212299,both_years
2617100000,212290,212299,both_years
2617900030,212290,212299,both_years
2617900060,212290,212299,both_years
2507000000,212323,212324,both_years
2529300010,212323,212325,both_years
2529300050,212323,212325,both_years
2508600000,212323,212325,both_years
2519100000,212323,212325,both_years
2508100000,212323,212325,both_years
2508500000,212323,212325,both_years
2529100000,212323,212325,both_years
2508400110,212323,212325,both_years
2508400120,212323,212325,both_years
2508400150,212323,212325,both_years
2508300000,212323,212325,both_years
2508700000,212323,212325,both_years
2528000005,212390,212391,both_years
2528000010,212390,212391,both_years
2528000050,212390,212391,both_years
2530201000,212390,212391,both_years
2530202000,212390,212391,both_years
2510200000,212390,212392,both_years
2510100000,212390,212392,both_years
2501000000,212390,212393,both_years
2511105000,212390,212393,both_years
2530908010,212390,212393,both_years
2530908015,212390,212393,both_years
2529210000,212390,212393,both_years
2503000010,212390,212393,both_years
2529220000,212390,212393,both_years
2502000000,212390,212393,both_years
2511200000,212390,212393,both_years
2512000000,212390,212399,both_years
2714900000,212390,212399,both_years
2530100000,212390,212399,both_years
2513201000,212390,212399,both_years
2530901000,212390,212399,both_years
2530902000,212390,212399,both_years
2703000000,212390,212399,both_years
2530908050,212390,212399,both_years
2524100000,212390,212399,both_years
2513100010,212390,212399,both_years
2524900010,212390,212399,both_years
2524900030,212390,212399,both_years
2524900040,212390,212399,both_years
2524900045,212390,212399,both_years
2524900055,212390,212399,both_years
2524900060,212390,212399,both_years
2526100000,212390,212399,both_years
2520100000,212390,212399,both_years
2504900000,212390,212399,both_years
2525100010,212390,212399,both_years
2525100050,212390,212399,both_years
1109009010,311211,,only_2023
1109009020,311211,,only_2023
1006202010,311212,,only_2023
1006202090,311212,,only_2023
1702304045,311221,,only_2023
1702304065,311221,,only_2023
1702304075,311221,,only_2023
1702304085,311221,,only_2023
1702604030,311221,,only_2023
1702604050,311221,,only_2023
1512190025,311224,,only_2023
1512190035,311224,,only_2023
2304000010,311224,,only_2023
2304000090,311224,,only_2023
1512110025,311224,,only_2023
1512110035,311224,,only_2023
701905037,311421,,only_2023
701905041,311421,,only_2023
2009896515,311421,,only_2023
2009896520,311421,,only_2023
2009896530,311421,,only_2023
2009896540,311421,,only_2023
2009896550,311421,,only_2023
2206009015,312130,,only_2023
2206009025,312130,,only_2023
9404901030,314120,,only_2023
9404901060,314120,,only_2023
9404901090,314120,,only_2023
9404902030,314120,,only_2023
9404902060,314120,,only_2023
9404902090,314120,,only_2023
9404909605,314120,,only_2023
9404909622,314120,,only_2023
9404909623,314120,,only_2023
9404909636,314120,,only_2023
9404909670,314120,,only_2023
6307909842,314999,,only_2023
6307909844,314999,,only_2023
6115298010,315120,315110,both_years
6115298020,315120,315110,both_years
6115298040,315120,315110,both_years
6115956000,315120,315110,both_years
6115301000,315120,315110,both_years
6115959000,315120,315110,both_years
6115309010,315120,315110,both_years
6115309030,315120,315110,both_years
6115966010,315120,315110,both_years
6115966020,315120,315110,both_years
6115969010,315120,315110,both_years
6115969020,315120,315110,both_years
6115991410,315120,315110,both_years
6115991420,315120,315110,both_years
6115991910,315120,315110,both_years
