naics_code,in_bea,in_naics_definition
11111,True,True
11112,True,True
11113,True,True
11114,True,True
11115,True,True
11116,True,True
11119,True,True
1112,True,True
1113,True,True
1114,True,True
1119,True,True
11211,True,True
11212,True,True
11213,True,True
1122,True,True
1123,True,True
1124,True,True
1125,True,True
1129,True,True
113,True,True
114,True,True
115,True,True
211,True,True
2121,True,True
21221,True,True
21222,True,True
21223,True,True
21229,True,True
21231,True,True
21232,True,True
21239,True,True
213111,True,True
213112,True,True
213113,True,True
213114,True,True
213115,True,True
2211,True,True
2212,True,True
2213,True,True
23,True,True
311111,True,True
311119,True,True
31121,True,True
311221,True,True
311224,True,True
311225,True,True
31123,True,True
3113,True,True
31141,True,True
31142,True,True
311511,True,True
311512,True,True
311513,True,True
311514,True,True
31152,True,True
311611,True,True
311612,True,True
311613,True,True
311615,True,True
3117,True,True
31181,True,True
31182,True,True
31183,True,True
31191,True,True
31192,True,True
31193,True,True
31194,True,True
31199,True,True
31211,True,True
31212,True,True
31213,True,True
31214,True,True
3122,True,True
3131,True,True
3132,True,True
3133,True,True
31411,True,True
31412,True,True
3149,True,True
315,True,True
316,True,True
3211,True,True
3212,True,True
32191,True,True
32192,True,True
32199,True,True
32211,True,True
32212,True,True
32213,True,True
32221,True,True
32222,True,True
32223,True,True
322291,True,True
322299,True,True
32311,True,True
32312,True,True
32411,True,True
324121,True,True
324122,True,True
32419,True,True
32511,True,True
32512,True,True
32513,True,True
32518,True,True
32519,True,True
325211,True,True
325212,True,True
32522,True,True
32531,True,True
32532,True,True
325411,True,True
325412,True,True
325413,True,True
325414,True,True
32551,True,True
32552,True,True
32561,True,True
32562,True,True
32591,True,True
32592,True,True
32599,True,True
32611,True,True
32612,True,True
32613,True,True
32614,True,True
32615,True,True
32616,True,True
32619,True,True
32621,True,True
32622,True,True
32629,True,True
3271,True,True
3272,True,True
32731,True,True
32732,True,True
32733,True,True
32739,True,True
3274,True,True
32791,True,True
327991,True,True
327992,True,True
327993,True,True
327999,True,True
3311,True,True
3312,True,True
331313,True,True
331314,True,True
331315,True,True
331318,True,True
331410,True,True
33142,True,True
33149,True,True
33151,True,True
33152,True,True
332111,True,True
332112,True,True
332114,True,True
332117,True,True
332119,True,True
3322,True,True
33231,True,True
33232,True,True
33241,True,True
33242,True,True
33243,True,True
3325,True,True
3326,True,True
33271,True,True
33272,True,True
3328,True,True
332911,True,True
332912,True,True
332913,True,True
332919,True,True
332991,True,True
332992,True,True
332993,True,True
332994,True,True
332996,True,True
332999,True,True
333111,True,True
333112,True,True
33312,True,True
33313,True,True
333241,True,True
333242,True,True
333243,True,True
333244,True,True
333249,True,True
333314,True,True
333316,True,True
333318,True,True
333413,True,True
333414,True,True
333415,True,True
333511,True,True
333514,True,True
333515,True,True
333517,True,True
333519,True,True
333611,True,True
333612,True,True
333613,True,True
333618,True,True
333912,True,True
333914,True,True
33392,True,True
333991,True,True
333992,True,True
333993,True,True
333994,True,True
333995,True,True
333996,True,True
333997,True,True
333999,True,True
