hs_code,hs10_description,matched_bea_detail,match_level,mapping_strength,modal_count,total_matches,impVal,match_type
2007996525,"Peaches Pastes And Purees, Cooked W/n Sweetened (kg)",311420,hs8,1.0,2,2,6042006.0,primary
2007996535,"Fruit Or Nut Pastes And Purees, Cookd W/n Sw Nesoi (kg)",311420,hs8,1.0,2,2,47726347.0,primary
2812190010,Arsenic Trichloride (kg),325180,hs8,1.0,1,1,28078.0,primary
2812190090,Other Chlorides And Chloride Oxides (kg),325180,hs8,1.0,1,1,17571529.0,primary
2915901810,Perfluorooctanoic Acids And Their Salts (kg),325190,hs8,1.0,1,1,254005.0,primary
2915901890,"Sat Acyc Monocarbxy Acids, Etc(exc Fatty Acid Etc) (kg)",325190,hs8,1.0,1,1,58017523.0,primary
2921196140,Trichlormethine (inn) (tris(2-chloroethyl)amine) (kg),325190,hs8,1.0,2,2,2070.0,primary
2921196195,"Acyclic Monoamines And Their Derivatives, Nesoi (kg)",325190,hs8,1.0,2,2,119741937.0,primary
2929905015,"N,n-dimethylphosphoramidic Dichloride (kg)",325190,hs8,1.0,3,3,2250.0,primary
2929905018,"N,n-dialkyl Phosphoramidic Dihalides, Nesoi (kg)",325190,hs8,1.0,3,3,15431.0,primary
2929905095,"Compounds With Other Nitrogen Function, Nesoi (kg)",325190,hs8,1.0,3,3,74661908.0,primary
2930909222,"N,n-dialkyl Amionoethane-2-thiols & Protnatd Salts (kg)",325190,hs8,0.875,7,8,17100.0,primary
2930909222,"N,n-dialkyl Amionoethane-2-thiols & Protnatd Salts (kg)",325411,hs8,0.875,1,8,0.0,alternative
2930909231,Other Non-arom Org-sulf Cmpds Used Prin For Rub Pr (kg),325190,hs8,0.875,7,8,36667317.0,primary
2930909231,Other Non-arom Org-sulf Cmpds Used Prin For Rub Pr (kg),325411,hs8,0.875,1,8,0.0,alternative
2930909251,Non-aromatic Organo-sulfur Compounds Nesoi (kg),325190,hs8,0.875,7,8,201051902.0,primary
2930909251,Non-aromatic Organo-sulfur Compounds Nesoi (kg),325411,hs8,0.875,1,8,0.0,alternative
2931490005,"Non-hal,o-alkyl,n,n-dialkyl Phosphoramidocyanidate (kg)",325190,hs8,1.0,3,3,3750.0,primary
2931490008,"[o-2-ethyl]hydr Alkyl Phsphnt,o-alkyl Ester (kg)",325190,hs8,1.0,3,3,50021.0,primary
2931490025,Bis(1-methylpentyl) Methylphosphonate (kg),325190,hs8,1.0,3,3,2390.0,primary
2931490055,"Con Phsphr Atom,1 Meth/eth/prp Grp Is Bnd,nonhal (kg)",325190,hs8,1.0,3,3,14941201.0,primary
2931490080,Non-halogenated Organo-phosphorous Derivatvs Nesoi (kg),325190,hs8,1.0,3,3,66508005.0,primary
2931590010,"O-alkyl, Alkyl, Phosphonofluoridates (kg)",325190,hs8,1.0,1,1,662726.0,primary
2931590060,"Cont Phsphrs Atom,one Meth/eth/prp Grp Is Bnded (kg)",325190,hs8,1.0,1,1,11454336.0,primary
2931590080,"Halogenated Organo-phosphorous Derivatives, Nesoi (kg)",325190,hs8,1.0,1,1,3974866.0,primary
2931909035,Bis(2-chlorovinyl)chloroarsine (kg),325190,hs8,1.0,5,5,111000.0,primary
2931909040,Tris(2-chlorovinyl)arsine (kg),325190,hs8,1.0,5,5,430280.0,primary
2931909052,"Non-aromatic Organo-inorganic Compounds, Nesoi (kg)",325190,hs8,1.0,5,5,184751658.0,primary
2933396120,"1-[n,n-dialkyl(&lt;=c10)-n-(n-(hydroxyl,cyano,acetoxy (kg)",325190,hs8,1.0,2,2,48200.0,primary
2933396191,"Prod In Usn 3,sec 6 Cont Unfus Pyridine Ring Nesoi (kg)",325190,hs8,1.0,2,2,210673268.0,primary
2939800050,"Other Alkaloids,natral/reprdcd By Synthes&salts (kg)",325190,hs8,1.0,1,1,7247101.0,primary
3002490010,Ricin (kg),325414,hs8,1.0,1,1,7100469.0,primary
3002490050,"Vaccines,toxins,cultures Of Micro-organism Etc Nes (kg)",325414,hs8,1.0,1,1,1183421927.0,primary
3004105055,"Containing Amoxicillin Or Its Salts,oral Suspenion (kg)",325412,hs8,1.0,3,3,43766132.0,primary
3004105065,"Containing Amoxicillin Or Its Salts, Nesoi (kg)",325412,hs8,1.0,3,3,50074486.0,primary
3004105075,"Combination Antibiotics, Nesoi (kg)",325412,hs8,1.0,3,3,72124021.0,primary
3004200045,"Meds Cont Oth Antibtcs,cont Azithromycin,its Salts (kg)",325412,hs8,1.0,4,4,23104793.0,primary
3004200055,"Meds Cont Othr Antibtcs,cont Clindamycin,its Salts (kg)",325412,hs8,1.0,4,4,87099356.0,primary
3004200065,"Meds Cont Oth Antibtcs,cont Doxycycline, Its Salts (kg)",325412,hs8,1.0,4,4,65874210.0,primary
3004200075,"Medicaments Containing Other Antibiotics, Nesoi (kg)",325412,hs8,1.0,4,4,2690506311.0,primary
3004909201,"Medicaments For Veterinary Use In Doses/pkg,nesoi (kg)",325412,hs8,1.0,25,25,560693649.0,primary
3004909202,"Antivirals, In Doses Or Packaged For Retail (kg)",325412,hs8,1.0,25,25,5744257565.0,primary
3004909204,"Antifngls,cont Fluconazole, Its Salts,in Dses/pkg (kg)",325412,hs8,1.0,25,25,15600165.0,primary
3004909206,"Antifungals, In Doses Or Packaged For Retail,nesoi (kg)",325412,hs8,1.0,25,25,212559305.0,primary
3004909208,"Antiprozls,cont Metronidazole,its Salts,dses/pkg (kg)",325412,hs8,1.0,25,25,26868043.0,primary
3004909212,"Antiprotozoals, In Doses/packagd For Retail, Nesoi (kg)",325412,hs8,1.0,25,25,71303376.0,primary
3004909216,"Crdiovsclr Meds,cont Metoprolol,its Salts,dses/pkg (kg)",325412,hs8,1.0,25,25,94925789.0,primary
3004909217,"Crdiovsclr Med,cont  Amiodarone,its Salts,dses/pkg (kg)",325412,hs8,1.0,25,25,24533535.0,primary
3004909218,"Crdiovsclr Meds,cont Diltiazem,its Salts, Dses/pkg (kg)",325412,hs8,1.0,25,25,123258736.0,primary
3004909219,"Crdiovsclr Med,cont Hydralazine,its Salts,dses/pkg (kg)",325412,hs8,1.0,25,25,20340243.0,primary
3004909221,"Cardiovascular Medicaments, Nesoi (kg)",325412,hs8,1.0,25,25,10240099569.0,primary
3004909223,Tolmetin Sodium Dihydrate (kg),325412,hs8,1.0,25,25,158433.0,primary
3004909225,Tolmetin Sodium (anhydrous) (kg),325412,hs8,1.0,25,25,19480833.0,primary
3004909227,"Analgesic,cont Ibuprofen,its Salts,oral Suspension (kg)",325412,hs8,1.0,25,25,17355762.0,primary
3004909229,"Analgesic, Cont Ibuprofen Or Its Salts, Other (kg)",325412,hs8,1.0,25,25,306797592.0,primary
3004909231,"Analgesic,cont Acetaminophen,its Slts,oral Suspen (kg)",325412,hs8,1.0,25,25,725721336.0,primary
3004909232,"Analgesic,cont Acetaminophen Or Its Salts,oth (kg)",325412,hs8,1.0,25,25,90201908.0,primary
3004909234,"Analgesics, Antipyretics,nonhormonl Anti-infl,neso (kg)",325412,hs8,1.0,25,25,2967155073.0,primary
3004909236,"Anticonvulsants, Hypnotics & Sedatives Fr Rtl Sale (kg)",325412,hs8,1.0,25,25,2029736871.0,primary
3004909237,"Antidepressant,containing Lorazepam Or Its Salts (kg)",325412,hs8,1.0,25,25,27370733.0,primary
3004909238,"Antidepressant,containing Olanzapine Or Its Salts (kg)",325412,hs8,1.0,25,25,27410270.0,primary
3004909239,"Antidepressants, Tranquilizers,other Psych Agt,nes (kg)",325412,hs8,1.0,25,25,9586000159.0,primary
3004909242,"Derm Agnts,lcl Ansthtcs Cont Lidocaine,its Salts (kg)",325412,hs8,1.0,25,25,83525330.0,primary
3004909244,Dermatological Agents And Local Anesthetics Etc. (kg),325412,hs8,1.0,25,25,344883385.0,primary
3004909256,"Meds Affect Digest, Cont Famotidine Or Its Salts (kg)",325412,hs8,1.0,25,25,27406826.0,primary
3004909257,"Meds Affect Digest, Cont Pantoprazole Or Its Salts (kg)",325412,hs8,1.0,25,25,119786340.0,primary
3004909259,Medicaments Primarily Affect Digest System Nesoi (kg),325412,hs8,1.0,25,25,1497857000.0,primary
3004909263,"Diuretics, Cont Furosemide And Its Salts (kg)",325412,hs8,1.0,25,25,24135554.0,primary
3004909266,"Diuretics, Cont Hydrochlorothiazide Or Its Salts (kg)",325412,hs8,1.0,25,25,22404591.0,primary
3004909268,Diuretics In Measured Dose/pack For Retail Sale (kg),325412,hs8,1.0,25,25,121621873.0,primary
3004909284,Meds Affect Eyes/ears/resp Cont Albuterol Sulfate (kg),325412,hs8,1.0,25,25,434363249.0,primary
3004909289,Medicaments Affect Eyes/ears/respiratory Sys Nesoi (kg),325412,hs8,1.0,25,25,991607219.0,primary
3926909987,Rigid Tubes/pipes Suitable For Electrical Conduit (kg),326190,hs8,1.0,7,7,42054056.0,primary
