usummary_code,CAN,CHN,Europe,JPN,MEX,RoAsia,RoWorld,sum_7_regions,world_denominator,difference
111,6458818120.0,498107291.0,1492346031.0,18894801.0,19669911382.0,2993344674.0,20844656073.0,51976078372.0,51976078372.0,0.0
112,3298750364.0,15789620.0,2257917567.0,24676408.0,1423060890.0,3309946852.0,3581581042.0,13911722743.0,13911722743.0,0.0
113FF,3149356815.0,1588204872.0,2148090905.0,263976186.0,874260169.0,5066552964.0,3333627057.0,16424068968.0,16424068968.0,0.0
211,106246484961.0,3368270.0,3117983849.0,2950.0,12110468180.0,27171898.0,54963976987.0,176469457095.0,176469457095.0,0.0
212,1573727580.0,151619834.0,535017184.0,11623113.0,371452416.0,796861385.0,2495660275.0,5935961787.0,5935961787.0,0.0
311,30372263900.0,4783783235.0,23125187264.0,979812768.0,14112022485.0,27840704343.0,16634182527.0,117847956522.0,117847956522.0,0.0
3121,1497433012.0,84693598.0,13708129221.0,256876597.0,12967674168.0,1375687036.0,935154839.0,30825648471.0,30825648471.0,0.0
3122,56872595.0,13797242.0,142091732.0,52492.0,114565796.0,64015125.0,1538030855.0,1929425837.0,1929425837.0,0.0
313TT,989430054.0,13610020714.0,4526323964.0,502187598.0,2071044506.0,11281204785.0,1069943071.0,34050154692.0,34050154692.0,0.0
315AL,871121019.0,30626664293.0,11425067469.0,113759721.0,5306808706.0,60666232894.0,15249611409.0,124259265511.0,124259265511.0,0.0
321,11065405905.0,1928346531.0,3092610099.0,37753358.0,553494060.0,3442189735.0,3145186146.0,23264985834.0,23264985834.0,0.0
322,9562926505.0,3285555504.0,5285599189.0,280174514.0,2029471819.0,3313172072.0,2845318009.0,26602217612.0,26602217612.0,0.0
323,832631970.0,2674333107.0,1260406949.0,222466458.0,674956489.0,1001889766.0,124107494.0,6790792233.0,6790792233.0,0.0
324,15694192264.0,405864269.0,15684368941.0,451765067.0,4171256326.0,11278541643.0,14482611495.0,62168600005.0,62168600005.0,0.0
3251,9356424695.0,8666382079.0,28317647887.0,2565310422.0,1998244157.0,9330993308.0,4058889992.0,64293892540.0,64293892540.0,0.0
3252,5766246535.0,1249608562.0,5793650253.0,1542985774.0,1502684867.0,5325794571.0,644528836.0,21825499398.0,21825499398.0,0.0
