usummary_code,HS_total_imports,TiVA_total_imports,difference,usummary_name
111,6458818120.0,5207000000,1251818120.0,Crop production
112,3298750364.0,2801000000,497750364.0,Animal production and aquaculture
113FF,3149356815.0,2651000000,498356815.0,"Forestry, fishing, and related activities"
211,106246484961.0,101836000000,4410484961.0,Oil and gas extraction
212,1573727580.0,1723000000,-149272420.0,"Mining, except oil and gas"
213,0.0,190000000,-190000000.0,Support activities for mining
2211,0.0,3288000000,-3288000000.0,"Electric power generation, transmission, and distribution"
2212NW,0.0,0,0.0,"Natural gas distribution and water, sewage and other systems"
23EH,0.0,0,0.0,"Education, hospital, and health structures"
23MR,0.0,0,0.0,Maintenance and repair construction
23OC,0.0,0,0.0,Office and commercial structures
23OR,0.0,0,0.0,Other residential construction
23OT,0.0,0,0.0,Other nonresidential structures
23PC,0.0,0,0.0,Power and communication structures
23SF,0.0,0,0.0,Single-family residential structures
23TH,0.0,0,0.0,Transportation structures and highways and streets
311,30372263900.0,29688000000,684263900.0,Food manufacturing
3121,1497433012.0,1272000000,225433012.0,Beverage manufacturing
3122,56872595.0,19000000,37872595.0,Tobacco manufacturing
313TT,989430054.0,802000000,187430054.0,Textile mills and textile product mills
315AL,871121019.0,319000000,552121019.0,Apparel and leather and allied products
321,11065405905.0,11078000000,-12594095.0,Wood products
322,9562926505.0,9487000000,75926505.0,Paper products
323,832631970.0,380000000,452631970.0,Printing and related support activities
324,15694192264.0,15181000000,513192264.0,Petroleum and coal products
3251,9356424695.0,12389000000,-3032575305.0,Basic chemical manufacturing
3252,5766246535.0,5099000000,667246535.0,"Resin, rubber, and artificial fibers manufacturing"
3254,5957027078.0,4895000000,1062027078.0,Pharmaceutical and medicine manufacturing
325X,8849595589.0,7871000000,978595589.0,Other chemical manufacturing
326,10807028265.0,8515000000,2292028265.0,Plastics and rubber products
327,2358852793.0,2074000000,284852793.0,Nonmetallic mineral products
3311IS,7687615796.0,8026000000,-338384204.0,Iron and steel mills and manufacturing from purchased steel
3313NF,24507375125.0,15587000000,8920375125.0,Nonferrous metal production and processing and foundries
332,8337624868.0,6223000000,2114624868.0,Fabricated metal products
33311,1880556022.0,1657000000,223556022.0,Agricultural implement manufacturing
33312,2970958524.0,1327000000,1643958524.0,Construction machinery manufacturing
33313,583961221.0,407000000,176961221.0,Mining and oil and gas field machinery manufacturing
3332OM,16024647439.0,12419000000,3605647439.0,Other machinery
3341,636406860.0,0,636406860.0,Computer and peripheral equipment manufacturing
3342,1533191611.0,399000000,1134191611.0,Communications equipment manufacturing
3344,1304657790.0,197000000,1107657790.0,Semiconductor and other electronic component manufacturing
3345,3563050126.0,1554000000,2009050126.0,"Navigational, measuring, electromedical, and control instruments manufacturing"
334X,512456662.0,85000000,427456662.0,Other computer and electronic product manufacturing
335,8190969498.0,3683000000,4507969498.0,"Electrical equipment, appliances, and components"
336111,27444882278.0,13146000000,14298882278.0,Automobile manufacturing
