usummary_code,HS_total_imports,TiVA_total_imports,difference,usummary_name
111,498107291.0,693000000,-194892709.0,Crop production
112,15789620.0,39000000,-23210380.0,Animal production and aquaculture
113FF,1588204872.0,1589000000,-795128.0,"Forestry, fishing, and related activities"
211,3368270.0,0,3368270.0,Oil and gas extraction
212,151619834.0,170000000,-18380166.0,"Mining, except oil and gas"
213,0.0,32000000,-32000000.0,Support activities for mining
2211,0.0,24000000,-24000000.0,"Electric power generation, transmission, and distribution"
2212NW,0.0,0,0.0,"Natural gas distribution and water, sewage and other systems"
23EH,0.0,0,0.0,"Education, hospital, and health structures"
23MR,0.0,0,0.0,Maintenance and repair construction
23OC,0.0,0,0.0,Office and commercial structures
23OR,0.0,0,0.0,Other residential construction
23OT,0.0,0,0.0,Other nonresidential structures
23PC,0.0,0,0.0,Power and communication structures
23SF,0.0,0,0.0,Single-family residential structures
23TH,0.0,0,0.0,Transportation structures and highways and streets
311,4783783235.0,4787000000,-3216765.0,Food manufacturing
3121,84693598.0,81000000,3693598.0,Beverage manufacturing
3122,13797242.0,11000000,2797242.0,Tobacco manufacturing
313TT,13610020714.0,15025000000,-1414979286.0,Textile mills and textile product mills
315AL,30626664293.0,40290000000,-9663335707.0,Apparel and leather and allied products
321,1928346531.0,2568000000,-639653469.0,Wood products
322,3285555504.0,4832000000,-1546444496.0,Paper products
323,2674333107.0,1193000000,1481333107.0,Printing and related support activities
324,405864269.0,356000000,49864269.0,Petroleum and coal products
3251,8666382079.0,9303000000,-636617921.0,Basic chemical manufacturing
3252,1249608562.0,1552000000,-302391438.0,"Resin, rubber, and artificial fibers manufacturing"
3254,9734595715.0,6182000000,3552595715.0,Pharmaceutical and medicine manufacturing
325X,3558471936.0,3326000000,232471936.0,Other chemical manufacturing
326,19003162721.0,21894000000,-2890837279.0,Plastics and rubber products
327,7097630438.0,8427000000,-1329369562.0,Nonmetallic mineral products
3311IS,1153613460.0,2079000000,-925386540.0,Iron and steel mills and manufacturing from purchased steel
3313NF,2104242704.0,1513000000,591242704.0,Nonferrous metal production and processing and foundries
332,24814680726.0,27616000000,-2801319274.0,Fabricated metal products
33311,1789335814.0,3126000000,-1336664186.0,Agricultural implement manufacturing
33312,2163895824.0,3190000000,-1026104176.0,Construction machinery manufacturing
33313,394957022.0,426000000,-31042978.0,Mining and oil and gas field machinery manufacturing
3332OM,28085493185.0,29542000000,-1456506815.0,Other machinery
3341,42493366133.0,42906000000,-412633867.0,Computer and peripheral equipment manufacturing
3342,52077951109.0,54624000000,-2546048891.0,Communications equipment manufacturing
3344,12384386911.0,9076000000,3308386911.0,Semiconductor and other electronic component manufacturing
3345,4401187478.0,4679000000,-277812522.0,"Navigational, measuring, electromedical, and control instruments manufacturing"
334X,10193695223.0,11088000000,-894304777.0,Other computer and electronic product manufacturing
335,55927779290.0,56646000000,-718220710.0,"Electrical equipment, appliances, and components"
336111,2609008402.0,985000000,1624008402.0,Automobile manufacturing
336112,934239.0,1075000000,-1074065761.0,Light truck and utility vehicle manufacturing
33612,46356330.0,42000000,4356330.0,Heavy duty truck manufacturing
3362BP,12874426874.0,18308000000,-5433573126.0,"Motor vehicle body, trailer, and parts manufacturing"
3364,802878675.0,939000000,-136121325.0,Aerospace product and parts manufacturing
3365AO,3579081260.0,2831000000,748081260.0,All other transportation equipment manufacturing
337,13262839144.0,17142000000,-3879160856.0,Furniture and related products
3391,7416662880.0,6064000000,1352662880.0,Medical equipment and supplies manufacturing
3399,40087510435.0,41758000000,-1670489565.0,Other miscellaneous manufacturing
4231,0.0,0,0.0,Motor vehicle and motor vehicle parts and supplies
4234,0.0,0,0.0,Professional and commercial equipment and supplies
4236,0.0,0,0.0,Household appliances and electrical and electronic goods
4238,0.0,0,0.0,"Machinery, equipment, and supplies"
423X,0.0,0,0.0,Other durable goods merchant wholesalers
4242,0.0,0,0.0,Drugs and druggists' sundries
4244,0.0,0,0.0,Grocery and related product wholesalers
4247,0.0,0,0.0,Petroleum and petroleum products
424X,0.0,0,0.0,Other nondurable goods merchant wholesalers
425,0.0,0,0.0,Wholesale electronic markets and agents and brokers
42ID,0.0,0,0.0,Customs duties
441,0.0,0,0.0,Motor vehicle and parts dealers
444,0.0,0,0.0,Building material and garden equipment and supplies dealers
445,0.0,0,0.0,Food and beverage stores
446,0.0,0,0.0,Health and personal care stores
447,0.0,0,0.0,Gasoline stations
448,0.0,0,0.0,Clothing and clothing accessories stores
452,0.0,0,0.0,General merchandise stores
454,0.0,0,0.0,Nonstore retailers
481,0.0,109000000,-109000000.0,Air transportation
482,0.0,0,0.0,Rail transportation
483,0.0,0,0.0,Water transportation
484,0.0,0,0.0,Truck transportation
485,0.0,0,0.0,Transit and ground passenger transportation
486,0.0,0,0.0,Pipeline transportation
48A,0.0,0,0.0,Scenic and sightseeing transportation and support activities
492,0.0,0,0.0,Couriers and messengers
493,0.0,0,0.0,Warehousing and storage
4A0X,0.0,0,0.0,All other retail
5111,0.0,986000000,-986000000.0,"Newspaper, periodical, book, and directory publishers"
5112,0.0,16000000,-16000000.0,Software publishers
512,0.0,660000000,-660000000.0,Motion picture and sound recording industries
515,0.0,0,0.0,Broadcasting (except internet)
5171,0.0,15000000,-15000000.0,Wired telecommunications carriers
5172,0.0,0,0.0,Wireless telecommunications carriers (except satellite)
5174OT,0.0,0,0.0,"Other telecommunications, including satellite"
518,0.0,10000000,-10000000.0,"Data processing, hosting, and related services"
519,0.0,13000000,-13000000.0,Other information services
521CI,0.0,338000000,-338000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,4000000,-4000000.0,"Securities, commodity contracts, and investments"
524113,0.0,0,0.0,Direct life insurance carriers
