usummary_code,HS_total_imports,TiVA_total_imports,difference,usummary_name
111,1492346031.0,1651000000,-158653969.0,Crop production
112,2257917567.0,2365000000,-107082433.0,Animal production and aquaculture
113FF,2148090905.0,2369000000,-220909095.0,"Forestry, fishing, and related activities"
211,3117983849.0,2388000000,729983849.0,Oil and gas extraction
212,535017184.0,570000000,-34982816.0,"Mining, except oil and gas"
213,0.0,173000000,-173000000.0,Support activities for mining
2211,0.0,39000000,-39000000.0,"Electric power generation, transmission, and distribution"
2212NW,0.0,0,0.0,"Natural gas distribution and water, sewage and other systems"
23EH,0.0,0,0.0,"Education, hospital, and health structures"
23MR,0.0,0,0.0,Maintenance and repair construction
23OC,0.0,0,0.0,Office and commercial structures
23OR,0.0,0,0.0,Other residential construction
23OT,0.0,0,0.0,Other nonresidential structures
23PC,0.0,0,0.0,Power and communication structures
23SF,0.0,0,0.0,Single-family residential structures
23TH,0.0,0,0.0,Transportation structures and highways and streets
311,23125187264.0,22088000000,1037187264.0,Food manufacturing
3121,13708129221.0,13987000000,-278870779.0,Beverage manufacturing
3122,142091732.0,125000000,17091732.0,Tobacco manufacturing
313TT,4526323964.0,4752000000,-225676036.0,Textile mills and textile product mills
315AL,11425067469.0,13849000000,-2423932531.0,Apparel and leather and allied products
321,3092610099.0,3598000000,-505389901.0,Wood products
322,5285599189.0,5231000000,54599189.0,Paper products
323,1260406949.0,393000000,867406949.0,Printing and related support activities
324,15684368941.0,18252000000,-2567631059.0,Petroleum and coal products
3251,28317647887.0,27968000000,349647887.0,Basic chemical manufacturing
3252,5793650253.0,6124000000,-330349747.0,"Resin, rubber, and artificial fibers manufacturing"
3254,185653062994.0,134155000000,51498062994.0,Pharmaceutical and medicine manufacturing
325X,16244447308.0,14700000000,1544447308.0,Other chemical manufacturing
326,10457312323.0,10389000000,68312323.0,Plastics and rubber products
327,7599167672.0,8972000000,-1372832328.0,Nonmetallic mineral products
3311IS,9484364302.0,11507000000,-2022635698.0,Iron and steel mills and manufacturing from purchased steel
3313NF,24505794707.0,11370000000,13135794707.0,Nonferrous metal production and processing and foundries
332,23315815748.0,20072000000,3243815748.0,Fabricated metal products
33311,5873138635.0,7412000000,-1538861365.0,Agricultural implement manufacturing
33312,10385600235.0,12217000000,-1831399765.0,Construction machinery manufacturing
33313,1287808170.0,1575000000,-287191830.0,Mining and oil and gas field machinery manufacturing
3332OM,67769019765.0,61632000000,6137019765.0,Other machinery
3341,3914608258.0,2650000000,1264608258.0,Computer and peripheral equipment manufacturing
3342,4142138664.0,2178000000,1964138664.0,Communications equipment manufacturing
3344,10426562313.0,6612000000,3814562313.0,Semiconductor and other electronic component manufacturing
3345,32103434572.0,26860000000,5243434572.0,"Navigational, measuring, electromedical, and control instruments manufacturing"
