usummary_code,HS_total_imports,TiVA_total_imports,difference,usummary_name
111,2993344674.0,2147000000,846344674.0,Crop production
112,3309946852.0,543000000,2766946852.0,Animal production and aquaculture
113FF,5066552964.0,6749000000,-1682447036.0,"Forestry, fishing, and related activities"
211,27171898.0,4000000,23171898.0,Oil and gas extraction
212,796861385.0,652000000,144861385.0,"Mining, except oil and gas"
213,0.0,249000000,-249000000.0,Support activities for mining
2211,0.0,37000000,-37000000.0,"Electric power generation, transmission, and distribution"
2212NW,0.0,0,0.0,"Natural gas distribution and water, sewage and other systems"
23EH,0.0,0,0.0,"Education, hospital, and health structures"
23MR,0.0,0,0.0,Maintenance and repair construction
23OC,0.0,0,0.0,Office and commercial structures
23OR,0.0,0,0.0,Other residential construction
23OT,0.0,0,0.0,Other nonresidential structures
23PC,0.0,0,0.0,Power and communication structures
23SF,0.0,0,0.0,Single-family residential structures
23TH,0.0,0,0.0,Transportation structures and highways and streets
311,27840704343.0,27727000000,113704343.0,Food manufacturing
3121,1375687036.0,1620000000,-244312964.0,Beverage manufacturing
3122,64015125.0,90000000,-25984875.0,Tobacco manufacturing
313TT,11281204785.0,11450000000,-168795215.0,Textile mills and textile product mills
315AL,60666232894.0,70514000000,-9847767106.0,Apparel and leather and allied products
321,3442189735.0,3262000000,180189735.0,Wood products
322,3313172072.0,3868000000,-554827928.0,Paper products
323,1001889766.0,599000000,402889766.0,Printing and related support activities
324,11278541643.0,20734000000,-9455458357.0,Petroleum and coal products
3251,9330993308.0,9605000000,-274006692.0,Basic chemical manufacturing
3252,5325794571.0,5417000000,-91205429.0,"Resin, rubber, and artificial fibers manufacturing"
3254,39180337491.0,29781000000,9399337491.0,Pharmaceutical and medicine manufacturing
325X,9835155378.0,6771000000,3064155378.0,Other chemical manufacturing
326,20464241100.0,18513000000,1951241100.0,Plastics and rubber products
327,4986469851.0,4977000000,9469851.0,Nonmetallic mineral products
3311IS,7589129293.0,9167000000,-1577870707.0,Iron and steel mills and manufacturing from purchased steel
3313NF,9600512396.0,6920000000,2680512396.0,Nonferrous metal production and processing and foundries
332,20664578942.0,18539000000,2125578942.0,Fabricated metal products
33311,2414343275.0,2641000000,-226656725.0,Agricultural implement manufacturing
33312,3494972320.0,3623000000,-128027680.0,Construction machinery manufacturing
33313,351723009.0,341000000,10723009.0,Mining and oil and gas field machinery manufacturing
3332OM,37810388840.0,29906000000,7904388840.0,Other machinery
3341,56432478253.0,42654000000,13778478253.0,Computer and peripheral equipment manufacturing
3342,49417236438.0,55176000000,-5758763562.0,Communications equipment manufacturing
3344,86567495995.0,42904000000,43663495995.0,Semiconductor and other electronic component manufacturing
3345,13148626722.0,9845000000,3303626722.0,"Navigational, measuring, electromedical, and control instruments manufacturing"
334X,29427733451.0,9831000000,19596733451.0,Other computer and electronic product manufacturing
335,52499801886.0,37175000000,15324801886.0,"Electrical equipment, appliances, and components"
336111,37901054344.0,17177000000,20724054344.0,Automobile manufacturing
336112,16683982.0,13975000000,-13958316018.0,Light truck and utility vehicle manufacturing
33612,20276738.0,6000000,14276738.0,Heavy duty truck manufacturing
3362BP,20115265979.0,19940000000,175265979.0,"Motor vehicle body, trailer, and parts manufacturing"
3364,3627699548.0,2447000000,1180699548.0,Aerospace product and parts manufacturing
3365AO,2919268747.0,4127000000,-1207731253.0,All other transportation equipment manufacturing
337,19768707329.0,18734000000,1034707329.0,Furniture and related products
3391,9596521465.0,7123000000,2473521465.0,Medical equipment and supplies manufacturing
3399,26838894730.0,17152000000,9686894730.0,Other miscellaneous manufacturing
4231,0.0,0,0.0,Motor vehicle and motor vehicle parts and supplies
4234,0.0,0,0.0,Professional and commercial equipment and supplies
4236,0.0,0,0.0,Household appliances and electrical and electronic goods
4238,0.0,0,0.0,"Machinery, equipment, and supplies"
423X,0.0,0,0.0,Other durable goods merchant wholesalers
4242,0.0,0,0.0,Drugs and druggists' sundries
4244,0.0,0,0.0,Grocery and related product wholesalers
4247,0.0,0,0.0,Petroleum and petroleum products
424X,0.0,0,0.0,Other nondurable goods merchant wholesalers
425,0.0,0,0.0,Wholesale electronic markets and agents and brokers
42ID,0.0,0,0.0,Customs duties
441,0.0,0,0.0,Motor vehicle and parts dealers
444,0.0,0,0.0,Building material and garden equipment and supplies dealers
445,0.0,0,0.0,Food and beverage stores
446,0.0,0,0.0,Health and personal care stores
447,0.0,0,0.0,Gasoline stations
448,0.0,0,0.0,Clothing and clothing accessories stores
452,0.0,0,0.0,General merchandise stores
454,0.0,0,0.0,Nonstore retailers
481,0.0,10030000000,-10030000000.0,Air transportation
482,0.0,0,0.0,Rail transportation
483,0.0,0,0.0,Water transportation
484,0.0,0,0.0,Truck transportation
485,0.0,0,0.0,Transit and ground passenger transportation
486,0.0,0,0.0,Pipeline transportation
48A,0.0,0,0.0,Scenic and sightseeing transportation and support activities
492,0.0,0,0.0,Couriers and messengers
493,0.0,0,0.0,Warehousing and storage
4A0X,0.0,0,0.0,All other retail
5111,0.0,826000000,-826000000.0,"Newspaper, periodical, book, and directory publishers"
5112,0.0,757000000,-757000000.0,Software publishers
512,0.0,2386000000,-2386000000.0,Motion picture and sound recording industries
515,0.0,0,0.0,Broadcasting (except internet)
5171,0.0,22000000,-22000000.0,Wired telecommunications carriers
5172,0.0,0,0.0,Wireless telecommunications carriers (except satellite)
5174OT,0.0,1000000,-1000000.0,"Other telecommunications, including satellite"
518,0.0,329000000,-329000000.0,"Data processing, hosting, and related services"
519,0.0,744000000,-744000000.0,Other information services
521CI,0.0,982000000,-982000000.0,"Federal reserve banks, credit intermediation, and related activities"
523,0.0,5000000,-5000000.0,"Securities, commodity contracts, and investments"
524113,0.0,0,0.0,Direct life insurance carriers
5241X,0.0,1267000000,-1267000000.0,"Insurance carriers, except direct life"
5242,0.0,0,0.0,"Agencies, brokerages, and other insurance related activities"
525,0.0,0,0.0,"Funds, trusts, and other financial vehicles"
532RL,0.0,0,0.0,Rental and leasing services and lessors of intangible assets
5411,0.0,647000000,-647000000.0,Legal services
5412,0.0,2548000000,-2548000000.0,"Accounting, tax preparation, bookkeeping, and payroll services"
5413,0.0,3491000000,-3491000000.0,"Architectural, engineering, and related services"
5415,0.0,14776000000,-14776000000.0,Computer systems design and related services
5416,0.0,10618000000,-10618000000.0,"Management, scientific, and technical consulting services"
5417,0.0,7335000000,-7335000000.0,Scientific research and development services
5418,0.0,1933000000,-1933000000.0,"Advertising, public relations, and related services"
541X,0.0,1065000000,-1065000000.0,"Specialized design services and other professional, scientific, and technical services"
55,0.0,0,0.0,Management of companies and enterprises
5613,0.0,986000000,-986000000.0,Employment services
5617,0.0,0,0.0,Services to buildings and dwellings
561X,0.0,233000000,-233000000.0,Other administrative and support services
562,0.0,134000000,-134000000.0,Waste management and remediation services
61,0.0,410000000,-410000000.0,Educational services
6211,0.0,43000000,-43000000.0,Offices of physicians
6212,0.0,43000000,-43000000.0,Offices of dentists
6213,0.0,43000000,-43000000.0,Offices of other health practitioners
6214,0.0,43000000,-43000000.0,Outpatient care centers
6215OH,0.0,129000000,-129000000.0,Other ambulatory health care services
622,0.0,2786000000,-2786000000.0,Hospitals
623,0.0,87000000,-87000000.0,Nursing and residential care facilities
624,0.0,0,0.0,Social assistance
711AS,0.0,103000000,-103000000.0,"Performing arts, spectator sports, museums, and related activities"
713,0.0,0,0.0,"Amusements, gambling, and recreation industries"
721,0.0,0,0.0,Accommodation
722,0.0,0,0.0,Food services and drinking places
811,0.0,894000000,-894000000.0,Repair and maintenance
812,0.0,0,0.0,Personal and laundry services
813,0.0,0,0.0,"Religious, grantmaking, civic, professional, and similar organizations"
814,0.0,0,0.0,Private households
GFE,0.0,0,0.0,Federal government enterprises
GFGD,0.0,0,0.0,Federal general government (defense)
GFGN,0.0,0,0.0,Federal general government (nondefense)
GSLE,0.0,0,0.0,State and local government enterprises
GSLGE,0.0,0,0.0,State and local government (educational services)
GSLGH,0.0,0,0.0,State and local government (hospitals and health services)
GSLGO,0.0,0,0.0,State and local government (other services)
HSO,0.0,0,0.0,Owner-occupied housing
HST,0.0,0,0.0,Tenant-occupied housing
ORE,0.0,0,0.0,Other real estate
Other,21222924595.0,44939000000,-23716075405.0,Unknown
Used,0.0,2690000000,-2690000000.0,Unknown
