hs_code,matched_bea_detail,match_level,mapping_strength,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source,bea_code_2024,bea_code_2022
2007996525,311420,hs8,1.0,2007996525,311421,311421,new_hs_code_2024,311420,311420
2007996535,311420,hs8,1.0,2007996535,311421,311421,new_hs_code_2024,311420,311420
2812190010,325180,hs8,1.0,2812190010,325180,325180,new_hs_code_2024,325180,325180
2812190090,325180,hs8,1.0,2812190090,325180,325180,new_hs_code_2024,325180,325180
2915901810,325190,hs8,1.0,2915901810,325199,325199,new_hs_code_2024,325190,325190
2915901890,325190,hs8,1.0,2915901890,325199,325199,new_hs_code_2024,325190,325190
2921196140,325190,hs8,1.0,2921196140,325199,325199,new_hs_code_2024,325190,325190
2921196195,325190,hs8,1.0,2921196195,325199,325199,new_hs_code_2024,325190,325190
2929905015,325190,hs8,1.0,2929905015,325199,325199,new_hs_code_2024,325190,325190
2929905018,325190,hs8,1.0,2929905018,325199,325199,new_hs_code_2024,325190,325190
2929905095,325190,hs8,1.0,2929905095,325199,325199,new_hs_code_2024,325190,325190
2930909222,325190,hs8,0.875,2930909222,325199,325199,new_hs_code_2024,325190,325190
2930909231,325190,hs8,0.875,2930909231,325199,325199,new_hs_code_2024,325190,325190
2930909251,325190,hs8,0.875,2930909251,325199,325199,new_hs_code_2024,325190,325190
2931490005,325190,hs8,1.0,2931490005,325199,325199,new_hs_code_2024,325190,325190
2931490008,325190,hs8,1.0,2931490008,325199,325199,new_hs_code_2024,325190,325190
2931490025,325190,hs8,1.0,2931490025,325199,325199,new_hs_code_2024,325190,325190
2931490055,325190,hs8,1.0,2931490055,325199,325199,new_hs_code_2024,325190,325190
2931490080,325190,hs8,1.0,2931490080,325199,325199,new_hs_code_2024,325190,325190
2931590010,325190,hs8,1.0,2931590010,325199,325199,new_hs_code_2024,325190,325190
2931590060,325190,hs8,1.0,2931590060,325199,325199,new_hs_code_2024,325190,325190
2931590080,325190,hs8,1.0,2931590080,325199,325199,new_hs_code_2024,325190,325190
2931909035,325190,hs8,1.0,2931909035,325199,325199,new_hs_code_2024,325190,325190
2931909040,325190,hs8,1.0,2931909040,325199,325199,new_hs_code_2024,325190,325190
2931909052,325190,hs8,1.0,2931909052,325199,325199,new_hs_code_2024,325190,325190
2933396120,325190,hs8,1.0,2933396120,325199,325199,new_hs_code_2024,325190,325190
2933396191,325190,hs8,1.0,2933396191,325199,325199,new_hs_code_2024,325190,325190
2939800050,325190,hs8,1.0,2939800050,325199,325199,new_hs_code_2024,325190,325190
3002490010,325414,hs8,1.0,3002490010,325414,325414,new_hs_code_2024,325414,325414
3002490050,325414,hs8,1.0,3002490050,325414,325414,new_hs_code_2024,325414,325414
3004105055,325412,hs8,1.0,3004105055,325412,325412,new_hs_code_2024,325412,325412
3004105065,325412,hs8,1.0,3004105065,325412,325412,new_hs_code_2024,325412,325412
3004105075,325412,hs8,1.0,3004105075,325412,325412,new_hs_code_2024,325412,325412
3004200045,325412,hs8,1.0,3004200045,325412,325412,new_hs_code_2024,325412,325412
3004200055,325412,hs8,1.0,3004200055,325412,325412,new_hs_code_2024,325412,325412
3004200065,325412,hs8,1.0,3004200065,325412,325412,new_hs_code_2024,325412,325412
3004200075,325412,hs8,1.0,3004200075,325412,325412,new_hs_code_2024,325412,325412
3004909201,325412,hs8,1.0,3004909201,325412,325412,new_hs_code_2024,325412,325412
3004909202,325412,hs8,1.0,3004909202,325412,325412,new_hs_code_2024,325412,325412
3004909204,325412,hs8,1.0,3004909204,325412,325412,new_hs_code_2024,325412,325412
3004909206,325412,hs8,1.0,3004909206,325412,325412,new_hs_code_2024,325412,325412
3004909208,325412,hs8,1.0,3004909208,325412,325412,new_hs_code_2024,325412,325412
3004909212,325412,hs8,1.0,3004909212,325412,325412,new_hs_code_2024,325412,325412
3004909216,325412,hs8,1.0,3004909216,325412,325412,new_hs_code_2024,325412,325412
3004909217,325412,hs8,1.0,3004909217,325412,325412,new_hs_code_2024,325412,325412
3004909218,325412,hs8,1.0,3004909218,325412,325412,new_hs_code_2024,325412,325412
3004909219,325412,hs8,1.0,3004909219,325412,325412,new_hs_code_2024,325412,325412
3004909221,325412,hs8,1.0,3004909221,325412,325412,new_hs_code_2024,325412,325412
3004909223,325412,hs8,1.0,3004909223,325412,325412,new_hs_code_2024,325412,325412
3004909225,325412,hs8,1.0,3004909225,325412,325412,new_hs_code_2024,325412,325412
3004909227,325412,hs8,1.0,3004909227,325412,325412,new_hs_code_2024,325412,325412
