Country,bea_code,impVal_original,impVal_alternative,impVal_difference,impVal_pct_difference,data_source,abs_difference
France,336111,566232223.0,2923242490.0,2357010267.0,416.2621220163233,both,2357010267.0
France,S00300,6661452631.0,4304442364.0,-2357010267.0,-35.382827103375675,both,2357010267.0
United Kingdom,S00300,8024227842.0,6161754122.0,-1862473720.0,-23.210628569786316,both,1862473720.0
United Kingdom,336111,9541205527.0,11403679247.0,1862473720.0,19.520318629857766,both,1862473720.0
Germany,S00300,12440094647.0,10737192847.0,-1702901800.0,-13.688817073515308,both,1702901800.0
Germany,336111,24665225079.0,26368126879.0,1702901800.0,6.904059438119024,both,1702901800.0
Italy,S00300,5426684319.0,4023581518.0,-1403102801.0,-25.855618615725124,both,1403102801.0
Italy,336111,3613519419.0,5016622220.0,1403102801.0,38.82925863418475,both,1403102801.0
Japan,336111,39711877012.0,40363397709.0,651520697.0,1.6406192454794462,both,651520697.0
Japan,S00300,4844504136.0,4192983439.0,-651520697.0,-13.448656017413295,both,651520697.0
Belgium,S00300,2965896409.0,2564445728.0,-401450681.0,-13.53555976472407,both,401450681.0
Belgium,336111,1331524453.0,1732975134.0,401450681.0,30.149703979938852,both,401450681.0
China,335912,383219838.0,5260454.0,-377959384.0,-98.62730123068421,both,377959384.0
China,335911,17884228128.0,18262187512.0,377959384.0,2.1133670477411166,both,377959384.0
Canada,336111,27444882278.0,27801727495.0,356845217.0,1.3002249868859868,both,356845217.0
Canada,S00300,24918152357.0,24561307140.0,-356845217.0,-1.4320693279642587,both,356845217.0
Mexico,336111,48244715337.0,48514694004.0,269978667.0,0.5596025701761101,both,269978667.0
Mexico,S00300,13990369767.0,13720391100.0,-269978667.0,-1.929746472011171,both,269978667.0
Brazil,S00300,3032200427.0,2787002628.0,-245197799.0,-8.086464101009112,both,245197799.0
Brazil,336111,2779745.0,247977544.0,245197799.0,8820.873821159854,both,245197799.0
Netherlands,336111,56323709.0,276031319.0,219707610.0,390.08015256949784,both,219707610.0
Netherlands,S00300,5044069352.0,4824361742.0,-219707610.0,-4.355761086292058,both,219707610.0
"Korea, South",S00300,2265475782.0,2110227571.0,-155248211.0,-6.85278616675144,both,155248211.0
"Korea, South",336111,37344621158.0,37499869369.0,155248211.0,0.4157177290490269,both,155248211.0
China,335999,3365002078.0,3228549479.0,-136452599.0,-4.055052443863602,both,136452599.0
China,339990,10285134729.0,10421587328.0,136452599.0,1.3266972440842977,both,136452599.0
Indonesia,335912,130862550.0,31919.0,-130830631.0,-99.97560875896122,both,130830631.0
Indonesia,335911,11054032.0,141884663.0,130830631.0,1183.5557468985073,both,130830631.0
Singapore,335912,125248023.0,242875.0,-125005148.0,-99.8060847635096,both,125005148.0
Singapore,335911,90866592.0,215871740.0,125005148.0,137.5699751125254,both,125005148.0
China,S00300,11303103196.0,11178487393.0,-124615803.0,-1.1024919514501086,both,124615803.0
China,336111,2609008402.0,2733624205.0,124615803.0,4.776366488681013,both,124615803.0
Japan,335912,106854379.0,11396239.0,-95458140.0,-89.33479459929293,both,95458140.0
Japan,335911,2995555854.0,3091013994.0,95458140.0,3.1866586587772567,both,95458140.0
Belgium,335911,1540339.0,78883728.0,77343389.0,5021.192672522087,both,77343389.0
Belgium,335912,78159613.0,816224.0,-77343389.0,-98.95569595514758,both,77343389.0
India,336111,13267479.0,74132424.0,60864945.0,458.75290249187503,both,60864945.0
India,S00300,1479088098.0,1418223153.0,-60864945.0,-4.115031760603079,both,60864945.0
Israel,335911,8006068.0,65341975.0,57335907.0,716.1556334520267,both,57335907.0
Israel,335912,57347182.0,11275.0,-57335907.0,-99.98033905135915,both,57335907.0
Canada,111200,1041385882.0,1097277584.0,55891702.0,5.367050097957829,both,55891702.0
Vietnam,339990,1036854928.0,1092588044.0,55733116.0,5.37520867142949,both,55733116.0
Vietnam,335999,5456640809.0,5400907693.0,-55733116.0,-1.0213814313757956,both,55733116.0
Canada,311420,1001142290.0,945539024.0,-55603266.0,-5.553982341511116,both,55603266.0
Indonesia,335999,1490694157.0,1438134649.0,-52559508.0,-3.525841149453167,both,52559508.0
Indonesia,339990,483480335.0,536039843.0,52559508.0,10.871074621887153,both,52559508.0
Sweden,S00300,586280569.0,535990963.0,-50289606.0,-8.577737120944903,both,50289606.0
Sweden,336111,3857179275.0,3907468881.0,50289606.0,1.303792290027795,both,50289606.0
Canada,335911,797780674.0,845816213.0,48035539.0,6.0211459822853515,both,48035539.0
Canada,335912,48344230.0,308691.0,-48035539.0,-99.36147292034644,both,48035539.0
Vietnam,335912,44359402.0,58878.0,-44300524.0,-99.8672705281284,both,44300524.0
Vietnam,335911,811020106.0,855320630.0,44300524.0,5.462321300330377,both,44300524.0
Mexico,111200,6752731770.0,6793636269.0,40904499.0,0.605747427755449,both,40904499.0
Mexico,111400,2944483561.0,2903736383.0,-40747178.0,-1.3838480384030916,both,40747178.0
Malaysia,335911,763893641.0,804533666.0,40640025.0,5.320115631123574,both,40640025.0
Malaysia,335912,41022207.0,382182.0,-40640025.0,-99.06835339210296,both,40640025.0
"Korea, South",335912,32606389.0,186592.0,-32419797.0,-99.42774405347369,both,32419797.0
"Korea, South",335911,2894015299.0,2926435096.0,32419797.0,1.1202358540123252,both,32419797.0
France,335911,183325110.0,214233718.0,30908608.0,16.859996974773395,both,30908608.0
France,335912,31588600.0,679992.0,-30908608.0,-97.84734999335203,both,30908608.0
Israel,S00300,1039222379.0,1009275260.0,-29947119.0,-2.881685345230619,both,29947119.0
Israel,336111,537870.0,30484989.0,29947119.0,5567.724357186681,both,29947119.0
Colombia,S00300,806686621.0,780223256.0,-26463365.0,-3.2805012889881557,both,26463365.0
Colombia,336111,19567.0,26482932.0,26463365.0,135244.87657791178,both,26463365.0
Germany,335911,523046627.0,545505115.0,22458488.0,4.293783162088912,both,22458488.0
Germany,335912,25583568.0,3125080.0,-22458488.0,-87.78481562853156,both,22458488.0
Mexico,335912,21812220.0,3087647.0,-18724573.0,-85.84441657016113,both,18724573.0
Mexico,335911,1677035654.0,1695760227.0,18724573.0,1.116528021055419,both,18724573.0
Poland,S00300,632810200.0,614193769.0,-18616431.0,-2.9418664553763514,both,18616431.0
Poland,336111,301192.0,18917623.0,18616431.0,6180.9181518765445,both,18616431.0
United Kingdom,335912,19455925.0,1243027.0,-18212898.0,-93.61106192586577,both,18212898.0
