Country,bea_code,impVal_original,impVal_alternative,impVal_difference,impVal_pct_difference,data_source,abs_difference
France,33DG,29854614367.0,32211630129.0,2357015762.0,7.894979761002519,both,2357015762.0
France,Other,6661452631.0,4304442364.0,-2357010267.0,-35.382827103375675,both,2357010267.0
United Kingdom,33DG,39474540927.0,41337062235.0,1862521308.0,4.71828491037894,both,1862521308.0
United Kingdom,Other,8024227842.0,6161754122.0,-1862473720.0,-23.210628569786316,both,1862473720.0
Germany,33DG,111764770246.0,113467699049.0,1702928803.0,1.5236722620659142,both,1702928803.0
Germany,Other,12440094647.0,10737192847.0,-1702901800.0,-13.688817073515308,both,1702901800.0
Italy,33DG,37459210589.0,38862317328.0,1403106739.0,3.745692226125091,both,1403106739.0
Italy,Other,5426684319.0,4023581518.0,-1403102801.0,-25.855618615725124,both,1403102801.0
Japan,33DG,119532106114.0,120183633058.0,651526944.0,0.5450643891262374,both,651526944.0
Japan,Other,4844504136.0,4192983439.0,-651520697.0,-13.448656017413295,both,651520697.0
Belgium,Other,2965896409.0,2564445728.0,-401450681.0,-13.53555976472407,both,401450681.0
Belgium,33DG,7247288812.0,7648739493.0,401450681.0,5.539322240549891,both,401450681.0
Canada,33DG,166437236199.0,166794187997.0,356951798.0,0.21446630943403316,both,356951798.0
Canada,Other,24918152357.0,24561307140.0,-356845217.0,-1.4320693279642587,both,356845217.0
Mexico,33DG,397307196327.0,397577943265.0,270746938.0,0.06814549056825144,both,270746938.0
Mexico,Other,13990369767.0,13720391100.0,-269978667.0,-1.929746472011171,both,269978667.0
Brazil,Other,3032200427.0,2787002628.0,-245197799.0,-8.086464101009112,both,245197799.0
Brazil,33DG,17860948169.0,18106145968.0,245197799.0,1.372815130977048,both,245197799.0
Netherlands,33DG,9923736548.0,10143445950.0,219709402.0,2.213978584954269,both,219709402.0
Netherlands,Other,5044069352.0,4824361742.0,-219707610.0,-4.355761086292058,both,219707610.0
"Korea, South",33DG,104215301181.0,104370556202.0,155255021.0,0.14897526489930185,both,155255021.0
"Korea, South",Other,2265475782.0,2110227571.0,-155248211.0,-6.85278616675144,both,155248211.0
China,33DG,327690260087.0,327821481079.0,131220992.0,0.040044214913547184,both,131220992.0
China,Other,11303103196.0,11178487393.0,-124615803.0,-1.1024919514501086,both,124615803.0
India,33DG,44793911094.0,44855272488.0,61361394.0,0.13698601551276277,both,61361394.0
India,Other,1479088098.0,1418223153.0,-60864945.0,-4.115031760603079,both,60864945.0
Canada,31ND,100613193481.0,100557483634.0,-55709847.0,-0.055370319808525276,both,55709847.0
Canada,11,12906925299.0,12962528565.0,55603266.0,0.4308017960273468,both,55603266.0
Sweden,Other,586280569.0,535990963.0,-50289606.0,-8.577737120944903,both,50289606.0
Sweden,33DG,12005525574.0,12055815180.0,50289606.0,0.418887167329939,both,50289606.0
Israel,33DG,16297431984.0,16327379103.0,29947119.0,0.18375360626999748,both,29947119.0
Israel,Other,1039222379.0,1009275260.0,-29947119.0,-2.881685345230619,both,29947119.0
Colombia,Other,806686621.0,780223256.0,-26463365.0,-3.2805012889881557,both,26463365.0
Colombia,33DG,3902966680.0,3929430045.0,26463365.0,0.678032050224933,both,26463365.0
Poland,33DG,10795309172.0,10813927175.0,18618003.0,0.17246382390130957,both,18618003.0
Poland,Other,632810200.0,614193769.0,-18616431.0,-2.9418664553763514,both,18616431.0
Thailand,33DG,49322988131.0,49332439353.0,9451222.0,0.019161900683912155,both,9451222.0
Thailand,Other,774973898.0,766058157.0,-8915741.0,-1.1504569409381578,both,8915741.0
Portugal,33DG,1842524211.0,1851435611.0,8911400.0,0.4836517179420662,both,8911400.0
Portugal,Other,188085854.0,179174454.0,-8911400.0,-4.73794270567525,both,8911400.0
China,31ND,97696932975.0,97690327786.0,-6605189.0,-0.006760896989151363,both,6605189.0
Indonesia,33DG,10678050879.0,10683728049.0,5677170.0,0.053166725503855886,both,5677170.0
Indonesia,Other,259654957.0,253978312.0,-5676645.0,-2.1862263157179007,both,5676645.0
United Arab Emirates,33DG,3180623935.0,3186152764.0,5528829.0,0.17382844099109127,both,5528829.0
United Arab Emirates,Other,1320336918.0,1314808089.0,-5528829.0,-0.4187438012696696,both,5528829.0
Venezuela,33DG,26318384.0,30027360.0,3708976.0,14.092719370611812,both,3708976.0
Venezuela,Other,25635889.0,21926913.0,-3708976.0,-14.467904740888837,both,3708976.0
Uruguay,33DG,145781146.0,149031270.0,3250124.0,2.2294542807339437,both,3250124.0
Uruguay,Other,37529680.0,34279556.0,-3250124.0,-8.6601431187263,both,3250124.0
Vietnam,33DG,96743066360.0,96745832699.0,2766339.0,0.002859470041714316,both,2766339.0
Vietnam,Other,1942927359.0,1940241945.0,-2685414.0,-0.13821484305940024,both,2685414.0
Singapore,31ND,25924901675.0,25923496157.0,-1405518.0,-0.005421497900435142,both,1405518.0
Singapore,33DG,12449444190.0,12450849708.0,1405518.0,0.01128980521981038,both,1405518.0
Jordan,33DG,1088824744.0,1090044563.0,1219819.0,0.11203079345154926,both,1219819.0
Jordan,Other,80125592.0,78905773.0,-1219819.0,-1.5223837597355911,both,1219819.0
Russia,Other,12858024.0,11644083.0,-1213941.0,-9.441116302162758,both,1213941.0
Russia,33DG,1133104440.0,1134318381.0,1213941.0,0.1071340784791206,both,1213941.0
Mexico,31ND,60103879452.0,60103080551.0,-798901.0,-0.001329200389865044,both,798901.0
Dominican Republic,33DG,4022440039.0,4023177491.0,737452.0,0.018333449171397332,both,737452.0
Dominican Republic,Other,348425392.0,347687940.0,-737452.0,-0.21165277185079553,both,737452.0
Guatemala,33DG,164691805.0,165425328.0,733523.0,0.445391317436833,both,733523.0
Guatemala,Other,93855441.0,93121918.0,-733523.0,-0.7815455259541106,both,733523.0
Thailand,31ND,12184521176.0,12183985695.0,-535481.0,-0.004394764408590331,both,535481.0
India,31ND,37756860340.0,37756363891.0,-496449.0,-0.0013148577385129053,both,496449.0
Taiwan,31ND,7098361417.0,7098124957.0,-236460.0,-0.00333119132865928,both,236460.0
Taiwan,33DG,106360269103.0,106360505563.0,236460.0,0.00022231985871623786,both,236460.0
Tunisia,31ND,695560083.0,695403156.0,-156927.0,-0.02256124292284898,both,156927.0
Tunisia,33DG,370836427.0,370993354.0,156927.0,0.04231704022970753,both,156927.0
Vietnam,31ND,35059973236.0,35059892311.0,-80925.0,-0.00023081877289314425,both,80925.0
Turkey,31ND,6965270549.0,6965207074.0,-63475.0,-0.0009113070275369715,both,63475.0
Turkey,33DG,8690199594.0,8690263069.0,63475.0,0.0007304205077617,both,63475.0
United Kingdom,31ND,18730016073.0,18729968485.0,-47588.0,-0.0002540734605593843,both,47588.0
