Country,bea_code,impVal_original,impVal_alternative,impVal_difference,impVal_pct_difference,data_source,abs_difference
France,3361MV,1197487515.0,3554497782.0,2357010267.0,196.82963183127634,both,2357010267.0
France,Other,6661452631.0,4304442364.0,-2357010267.0,-35.382827103375675,both,2357010267.0
United Kingdom,Other,8024227842.0,6161754122.0,-1862473720.0,-23.210628569786316,both,1862473720.0
United Kingdom,3361MV,11089635980.0,12952109700.0,1862473720.0,16.794723680370975,both,1862473720.0
Germany,Other,12440094647.0,10737192847.0,-1702901800.0,-13.688817073515308,both,1702901800.0
Germany,3361MV,33293271376.0,34996173176.0,1702901800.0,5.114852730355493,both,1702901800.0
Italy,Other,5426684319.0,4023581518.0,-1403102801.0,-25.855618615725124,both,1403102801.0
Italy,3361MV,4632065078.0,6035167879.0,1403102801.0,30.291085668550704,both,1403102801.0
Japan,Other,4844504136.0,4192983439.0,-651520697.0,-13.448656017413295,both,651520697.0
Japan,3361MV,51939937446.0,52591458143.0,651520697.0,1.2543732800551821,both,651520697.0
Belgium,Other,2965896409.0,2564445728.0,-401450681.0,-13.53555976472407,both,401450681.0
Belgium,3361MV,1434707580.0,1836158261.0,401450681.0,27.981359170068647,both,401450681.0
Canada,3361MV,52318607153.0,52675452370.0,356845217.0,0.6820617681132938,both,356845217.0
Canada,Other,24918152357.0,24561307140.0,-356845217.0,-1.4320693279642587,both,356845217.0
Mexico,Other,13990369767.0,13720391100.0,-269978667.0,-1.929746472011171,both,269978667.0
Mexico,3361MV,163315163346.0,163585142013.0,269978667.0,0.16531145147130177,both,269978667.0
Brazil,Other,3032200427.0,2787002628.0,-245197799.0,-8.086464101009112,both,245197799.0
Brazil,3361MV,635553152.0,880750951.0,245197799.0,38.5802191726051,both,245197799.0
Netherlands,Other,5044069352.0,4824361742.0,-219707610.0,-4.355761086292058,both,219707610.0
Netherlands,3361MV,334259204.0,553966814.0,219707610.0,65.72971136495616,both,219707610.0
"Korea, South",3361MV,46483232344.0,46638480555.0,155248211.0,0.33398755458975576,both,155248211.0
"Korea, South",Other,2265475782.0,2110227571.0,-155248211.0,-6.85278616675144,both,155248211.0
China,339,47504173315.0,47647231103.0,143057788.0,0.30114783189970346,both,143057788.0
China,335,55927779290.0,55791326691.0,-136452599.0,-0.24398000552186774,both,136452599.0
China,3361MV,15530725845.0,15655341648.0,124615803.0,0.8023823499538439,both,124615803.0
China,Other,11303103196.0,11178487393.0,-124615803.0,-1.1024919514501086,both,124615803.0
India,3361MV,2499797467.0,2560662412.0,60864945.0,2.4347950505383884,both,60864945.0
India,Other,1479088098.0,1418223153.0,-60864945.0,-4.115031760603079,both,60864945.0
Vietnam,339,4733638769.0,4789452810.0,55814041.0,1.1790937949367637,both,55814041.0
Vietnam,335,11779408369.0,11723675253.0,-55733116.0,-0.4731401973181731,both,55733116.0
Canada,111CA,9757568484.0,9813210500.0,55642016.0,0.5702446884307207,both,55642016.0
Canada,311FT,31926569507.0,31870966241.0,-55603266.0,-0.17415985136708412,both,55603266.0
Indonesia,339,1544643480.0,1597203513.0,52560033.0,3.4027290880093575,both,52560033.0
Indonesia,335,3107936862.0,3055377354.0,-52559508.0,-1.6911382159217108,both,52559508.0
Sweden,3361MV,4104168963.0,4154458569.0,50289606.0,1.2253298159352606,both,50289606.0
Sweden,Other,586280569.0,535990963.0,-50289606.0,-8.577737120944903,both,50289606.0
Israel,3361MV,85151213.0,115098332.0,29947119.0,35.1693392788192,both,29947119.0
Israel,Other,1039222379.0,1009275260.0,-29947119.0,-2.881685345230619,both,29947119.0
Colombia,Other,806686621.0,780223256.0,-26463365.0,-3.2805012889881557,both,26463365.0
Colombia,3361MV,47501815.0,73965180.0,26463365.0,55.71021865164521,both,26463365.0
Poland,3361MV,1088340701.0,1106957132.0,18616431.0,1.71053338195426,both,18616431.0
Poland,Other,632810200.0,614193769.0,-18616431.0,-2.9418664553763514,both,18616431.0
Malaysia,335,5171800507.0,5154223785.0,-17576722.0,-0.3398569217086006,both,17576722.0
Malaysia,339,2481136559.0,2498713281.0,17576722.0,0.7084141312674923,both,17576722.0
Thailand,3361MV,2360237056.0,2369152797.0,8915741.0,0.3777476917979547,both,8915741.0
Thailand,Other,774973898.0,766058157.0,-8915741.0,-1.1504569409381578,both,8915741.0
Portugal,Other,188085854.0,179174454.0,-8911400.0,-4.73794270567525,both,8911400.0
Portugal,3361MV,61505148.0,70416548.0,8911400.0,14.488868476505415,both,8911400.0
China,313TT,13610020714.0,13603415525.0,-6605189.0,-0.04853180710596235,both,6605189.0
Indonesia,Other,259654957.0,253978312.0,-5676645.0,-2.1862263157179007,both,5676645.0
Indonesia,3361MV,385115295.0,390791940.0,5676645.0,1.4740118280682672,both,5676645.0
United Arab Emirates,3361MV,98712289.0,104241118.0,5528829.0,5.600953089032309,both,5528829.0
United Arab Emirates,Other,1320336918.0,1314808089.0,-5528829.0,-0.4187438012696696,both,5528829.0
Venezuela,3361MV,581460.0,4290436.0,3708976.0,637.8729405290132,both,3708976.0
