"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"March 15, 2024"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
,Name,Crop production,Animal production and aquaculture,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,"Electric power generation, transmission, and distribution","Natural gas distribution and water, sewage and other systems","Education, hospital, and health structures",Maintenance and repair construction,Office and commercial structures,Other residential construction,Other nonresidential structures,Power and communication structures,Single-family residential structures,Transportation structures and highways and streets,Wood products,Nonmetallic mineral products,Iron and steel mills and manufacturing from purchased steel,Nonferrous metal production and processing and foundries,Fabricated metal products,Agricultural implement manufacturing,Construction machinery manufacturing,Mining and oil and gas field machinery manufacturing,Other machinery,Computer and peripheral equipment manufacturing,Communications equipment manufacturing,Semiconductor and other electronic component manufacturing,"Navigational, measuring, electromedical, and control instruments manufacturing",Other computer and electronic product manufacturing,"Electrical equipment, appliances, and components",Automobile manufacturing,Light truck and utility vehicle manufacturing,Heavy duty truck manufacturing,"Motor vehicle body, trailer, and parts manufacturing",Aerospace product and parts manufacturing,All other transportation equipment manufacturing,Furniture and related products,Medical equipment and supplies manufacturing,Other miscellaneous manufacturing,Food manufacturing,Beverage manufacturing,Tobacco product manufacturing,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Basic chemical manufacturing,"Resin, rubber, and artificial fibers manufacturing",Pharmaceutical and medicine manufacturing,Other chemical manufacturing,Plastics and rubber products,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,Professional and commercial equipment and supplies merchant wholesalers,Household appliances and electrical and electronic goods merchant wholesalers,"Machinery, equipment, and supplies merchant wholesalers",Other durable goods merchant wholesalers,Drugs and druggists sundries merchant wholesalers,Grocery and related products merchant wholesalers,Petroleum and petroleum products merchant wholesalers,Other nondurable goods merchant wholesalers,Wholesale electronic markets and agents and brokers,Customs duties,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Building material and garden equipment and supplies dealers,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,Nonstore retailers,All other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation and support activities,Couriers and messengers,Warehousing and storage,"Newspaper, periodical, book, and directory publishers",Software publishers,Motion picture and sound recording industries,Broadcasting (except Internet),Wired telecommunications carriers,Wireless telecommunications carriers (except satellites),"Other telecommunications, including satellite","Data processing, hosting, and related services",Other information services,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Direct life insurance carriers,"Insurance Carriers, except Direct Life Insurance","Agencies, brokerages, and other insurance related activities","Funds, trusts, and other financial vehicles",Owner-occupied housing,Tenant-occupied housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Accounting, tax preparation, bookkeeping, and payroll services","Architectural, engineering, and related services","Management, scientific, and technical consulting services",Scientific research and development services,"Advertising, public relations, and related services","Specialized design services and other professional, scientific, and technical services",Management of companies and enterprises,Employment services,Services to buildings and dwellings,Other administrative and support services,Waste management and remediation services,Educational services,Offices of physicians,Offices of dentists,Offices of other health practitioners,Outpatient care centers,Other ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local government educational services,State and local government hospitals and health services,State and local government other services,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,Imports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total Final Uses,Total Commodity Output
111,Crop production,36500,15566,75,0,40,17,0,0,29,804,83,1071,79,52,449,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,99038,5800,1109,1039,0,0,0,0,20279,0,21,0,0,0,0,0,0,0,0,1,2,37,0,0,352,200,6,0,0,344,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,9,10,7,570,16,0,10,0,1261,2,0,115,0,0,0,0,0,0,0,0,0,57,26,606,0,0,8,0,0,-248,0,803,169,1714,0,188367,97447,0,0,0,0,-19529,51789,-48570,0,0,0,0,0,0,0,0,0,0,0,0,81137,269504
112,Animal production and aquaculture,884,70436,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,201818,3,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,0,0,25,0,0,5,0,126,0,0,0,0,0,0,0,0,0,279,52,5629,0,0,2,0,10,0,0,128,532,1170,0,282853,15988,0,0,0,0,-3883,2502,-9559,0,0,0,0,0,0,0,0,0,0,0,0,5048,287901
113FF,"Forestry, fishing, and related activities",24190,4009,10413,0,139,0,0,0,0,0,0,0,0,0,0,0,17208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,286,8439,108,0,0,161,3799,32,0,202,6,0,165,2288,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,0,35,0,4,0,0,63,0,0,0,0,0,0,0,0,0,341,437,8751,0,0,84,0,0,0,20,125,458,4604,0,88084,9131,0,0,0,0,1418,5389,-24380,0,0,0,0,0,0,0,0,0,0,0,0,-8442,79642
211,Oil and gas extraction,0,0,0,52868,11,3,13854,14640,0,0,0,0,0,0,0,0,20,3,5,2,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,4,0,0,0,8,4,492912,7342,98,19,145,19,2,5,12,5,18,0,3,3,20,3,0,32,10,14,44,5,0,19,9,67,0,0,0,0,0,46,0,0,470,18,795,61,15,3,10,14,6,186,0,0,0,0,0,0,0,0,204,0,0,4,22,19,4,17,15,4,20,12,0,9,28,1454,3,4,4,5,13,7,12,23,12,204,18,13,14,18,65,0,0,0,1194,0,0,0,17968,605259,0,0,0,0,0,8052,150806,-219686,0,0,0,0,0,0,0,0,0,0,0,0,-60828,544431
212,"Mining, except oil and gas",846,400,0,170,8199,87,6980,98,208,3783,1998,3867,1251,439,4431,2784,8,10663,7836,4920,718,66,0,32,47,0,4,0,0,4,102,0,8,0,83,66,2,11,65,40,750,83,45,34,0,1050,0,3718,3182,51,4,2171,120,0,2,0,0,24,0,2,0,4,0,0,0,0,0,0,0,0,4,0,0,0,103,0,7,1,0,1,0,2,20,0,41,121,184,18,44,55,1961,0,0,0,0,0,0,3,13,0,0,0,0,0,1026,0,1076,0,0,37,0,884,450,76,507,0,0,0,0,0,20,32,140,505,1019,149,913,235,1074,253,0,0,3449,0,397,367,1629,4738,93010,154,92,0,0,0,3027,25353,-7196,0,0,0,0,0,0,0,0,0,0,0,0,21430,114440
213,Support activities for mining,0,0,0,21007,2233,1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25022,0,2765,0,0,83010,925,2297,-1538,0,0,0,0,0,0,0,0,0,0,0,0,87459,112481
2211,"Electric power generation, transmission, and distribution",1562,1817,105,12272,4492,309,43660,2717,603,1794,1073,3272,962,449,3204,860,1892,3835,3824,2746,4279,153,145,119,1753,14,75,1335,226,2,782,73,556,52,2733,3135,377,551,455,410,5633,982,419,972,19,5274,1570,10211,5653,2218,597,2107,6030,1237,1329,1627,1837,4908,1518,3239,911,5020,384,0,5293,13806,11609,4166,2649,10839,2768,7153,5006,241,29,80,5735,351,858,954,352,2634,245,880,647,684,2581,4243,196,3915,4937,2262,1523,49,172,265,2,0,1494,34907,1536,974,1242,529,1376,518,2835,689,1036,6897,435,1192,2202,703,769,1774,585,328,1195,365,9299,3794,1644,1160,4318,5636,31804,4009,3644,1866,0,1430,482,2127,3030,962,3028,1823,413129,234797,0,0,0,0,0,3389,-4508,0,0,0,0,0,0,0,0,0,0,0,0,233678,646807
2212NW,"Natural gas distribution and water, sewage and other systems",5938,871,28,5847,229,41,4113,359,16,247,89,425,109,57,307,143,272,905,506,244,1045,37,32,24,308,2,3,80,34,1,168,6,224,18,600,250,88,129,50,93,1717,258,114,147,3,1397,134,4550,2571,551,65,2333,640,28,72,516,78,379,34,245,92,310,21,0,671,318,200,290,97,359,103,182,257,2907,63,69,1498,80,1011,516,277,797,27,160,68,74,52,1335,49,50,76,534,186,13,40,49,995,1,1,9527,771,80,47,93,144,106,86,28,106,251,42,544,516,1205,3731,124,27,7,61,52,859,381,103,121,313,545,2234,476,422,496,0,1607,1312,1204,12350,4179,11337,2396,111481,124086,0,0,0,0,0,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,125355,236836
23EH,"Education, hospital, and health structures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67863,0,0,0,0,0,0,3830,0,0,0,2848,0,0,0,91163,165704,165704
