"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"June 30, 2025"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241X,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
,Name,Crop production,Animal production and aquaculture,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,"Electric power generation, transmission, and distribution","Natural gas distribution and water, sewage and other systems","Education, hospital, and health structures",Maintenance and repair construction,Office and commercial structures,Other residential construction,Other nonresidential structures,Power and communication structures,Single-family residential structures,Transportation structures and highways and streets,Wood products,Nonmetallic mineral products,Iron and steel mills and manufacturing from purchased steel,Nonferrous metal production and processing and foundries,Fabricated metal products,Agricultural implement manufacturing,Construction machinery manufacturing,Mining and oil and gas field machinery manufacturing,Other machinery,Computer and peripheral equipment manufacturing,Communications equipment manufacturing,Semiconductor and other electronic component manufacturing,"Navigational, measuring, electromedical, and control instruments manufacturing",Other computer and electronic product manufacturing,"Electrical equipment, appliances, and components",Automobile manufacturing,Light truck and utility vehicle manufacturing,Heavy duty truck manufacturing,"Motor vehicle body, trailer, and parts manufacturing",Aerospace product and parts manufacturing,All other transportation equipment manufacturing,Furniture and related products,Medical equipment and supplies manufacturing,Other miscellaneous manufacturing,Food manufacturing,Beverage manufacturing,Tobacco product manufacturing,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Basic chemical manufacturing,"Resin, rubber, and artificial fibers manufacturing",Pharmaceutical and medicine manufacturing,Other chemical manufacturing,Plastics and rubber products,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,Professional and commercial equipment and supplies merchant wholesalers,Household appliances and electrical and electronic goods merchant wholesalers,"Machinery, equipment, and supplies merchant wholesalers",Other durable goods merchant wholesalers,Drugs and druggists sundries merchant wholesalers,Grocery and related products merchant wholesalers,Petroleum and petroleum products merchant wholesalers,Other nondurable goods merchant wholesalers,Wholesale electronic markets and agents and brokers,Customs duties,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Building material and garden equipment and supplies dealers,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,Nonstore retailers,All other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation and support activities,Couriers and messengers,Warehousing and storage,"Newspaper, periodical, book, and directory publishers",Software publishers,Motion picture and sound recording industries,Broadcasting (except Internet),Wired telecommunications carriers,Wireless telecommunications carriers (except satellites),"Other telecommunications, including satellite","Data processing, hosting, and related services",Other information services,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Direct life insurance carriers,"Insurance Carriers, except Direct Life Insurance","Agencies, brokerages, and other insurance related activities","Funds, trusts, and other financial vehicles",Owner-occupied housing,Tenant-occupied housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Accounting, tax preparation, bookkeeping, and payroll services","Architectural, engineering, and related services","Management, scientific, and technical consulting services",Scientific research and development services,"Advertising, public relations, and related services","Specialized design services and other professional, scientific, and technical services",Management of companies and enterprises,Employment services,Services to buildings and dwellings,Other administrative and support services,Waste management and remediation services,Educational services,Offices of physicians,Offices of dentists,Offices of other health practitioners,Outpatient care centers,Other ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local government educational services,State and local government hospitals and health services,State and local government other services,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,Imports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total Final Uses,Total Commodity Output
111,Crop production,31128,11866,30,0,29,13,0,0,40,760,91,981,109,53,354,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,87074,4618,1142,1378,0,0,0,0,15189,0,8,0,0,0,0,0,0,0,0,1,1,22,0,0,372,132,5,0,0,166,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,7,4,410,12,0,9,0,1141,1,0,94,0,0,0,0,0,0,0,0,0,75,24,480,0,0,7,0,0,-156,0,772,139,1292,0,160078,101417,0,0,0,0,-1796,49283,-47700,0,0,0,0,0,0,0,0,0,0,0,0,101204,261282
112,Animal production and aquaculture,1117,74885,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,191463,2,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1612,0,0,41,0,0,3,0,101,0,0,0,0,0,0,0,0,0,301,44,5495,0,0,2,0,11,0,0,106,448,808,0,276760,17623,0,0,0,0,-1725,2640,-9793,0,0,0,0,0,0,0,0,0,0,0,0,8745,285505
113FF,"Forestry, fishing, and related activities",24261,3677,8991,0,109,0,0,0,0,0,0,0,0,0,0,0,16813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,234,6651,86,0,0,196,3597,25,0,151,5,0,120,1589,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,30,0,3,0,0,50,0,0,0,0,0,0,0,0,0,324,351,6227,0,0,89,0,0,0,14,101,375,4659,0,79765,9008,0,0,0,0,1962,5536,-19276,0,0,0,0,0,0,0,0,0,0,0,0,-2770,76995
211,Oil and gas extraction,0,0,0,21676,10,3,6073,11003,0,0,0,0,0,0,0,0,24,5,7,2,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,6,0,0,0,10,3,384735,7350,97,21,156,19,2,4,12,6,16,0,3,2,17,5,0,47,10,14,33,7,0,17,8,56,0,0,0,0,0,41,0,0,458,12,341,26,10,3,9,13,6,183,0,0,0,0,0,0,0,0,191,0,0,4,12,15,4,19,15,7,20,6,0,9,59,1198,4,4,4,7,20,8,16,35,16,216,29,17,15,29,105,0,0,0,731,0,0,0,11532,446930,0,0,0,0,0,3325,130556,-175862,0,0,0,0,0,0,0,0,0,0,0,0,-41981,404949
212,"Mining, except oil and gas",939,330,0,83,8183,108,6055,153,275,4123,2600,4459,2184,531,4283,3440,7,10947,10613,6008,466,32,0,26,32,0,2,0,0,2,83,0,5,0,68,94,2,10,51,51,967,89,36,26,0,1003,0,2550,3020,39,3,2148,96,0,2,0,0,17,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,91,0,6,0,0,1,0,1,13,0,14,61,105,12,33,35,1377,0,0,0,0,0,0,4,3,0,0,0,0,0,817,0,866,0,0,31,0,703,340,56,539,0,0,0,0,0,19,33,249,392,785,137,904,144,884,321,0,0,3261,0,274,307,1380,5669,96116,158,131,0,0,0,1272,21982,-6445,0,0,0,0,0,0,0,0,0,0,0,0,17098,113214
213,Support activities for mining,0,0,0,20924,2085,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24815,0,3063,0,0,103546,18,1912,-1522,0,0,0,0,0,0,0,0,0,0,0,0,107017,131832
2211,"Electric power generation, transmission, and distribution",1515,1439,53,7056,3516,276,29931,2162,859,1833,1246,3392,1425,494,2705,961,1815,3184,3028,2554,3652,113,150,140,1669,36,66,1049,240,1,742,37,369,45,2171,4706,415,541,353,400,7112,937,328,663,94,4167,1228,3662,4913,1690,526,1872,4544,1338,981,1376,1863,3527,1329,2608,587,3461,429,0,6281,10670,9532,2478,2765,6088,1963,5103,3370,151,24,99,4810,564,1056,699,256,1990,183,668,433,426,2156,3828,180,2639,5495,4104,1669,74,240,338,5,0,370,31685,1413,549,1228,293,1052,448,2261,483,1040,5674,175,1008,1730,618,986,1901,415,282,1602,471,8370,3556,2048,1289,4019,6278,26420,2191,3993,2228,0,2261,344,2658,3155,1048,2762,2023,346238,239400,0,0,0,0,0,3709,-3474,0,0,0,0,0,0,0,0,0,0,0,0,239635,585873
2212NW,"Natural gas distribution and water, sewage and other systems",6781,791,16,4036,202,37,2829,551,23,250,108,442,174,65,261,167,310,1189,692,397,958,23,26,24,270,5,3,72,37,1,166,4,195,11,475,454,104,139,40,85,2979,345,110,136,13,1664,131,2200,2827,536,74,2047,645,34,53,435,78,277,30,198,64,222,23,0,848,245,166,192,97,198,73,129,175,933,57,87,1425,100,945,343,177,708,19,72,44,65,41,1093,46,39,89,511,242,21,54,62,2768,2,0,9769,845,106,68,61,157,154,102,27,186,221,24,654,552,1796,4574,229,30,6,94,79,1065,527,139,171,344,905,2784,338,585,648,0,2754,1009,1324,14580,4940,11231,3137,115815,116371,0,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,117701,233516
23EH,"Education, hospital, and health structures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82549,0,0,0,0,0,0,4447,0,0,0,3473,0,0,0,118582,209051,209051
23MR,Maintenance and repair construction,1754,312,31,272,3177,1292,5205,452,6,107,53,114,84,35,72,55,532,1205,901,783,1582,58,78,55,798,18,28,376,156,1,236,10,250,15,730,676,189,175,243,158,2722,324,193,126,21,1232,371,7887,1194,454,196,632,1060,966,229,524,843,968,209,466,499,1039,104,0,2527,1366,2883,806,543,2568,570,744,782,334,2949,27,857,631,1333,1212,236,1012,51,102,104,60,501,2493,150,340,1604,7749,2557,342,85,878,126,64758,1676,58531,1814,182,126,154,1513,132,646,72,628,1092,68,406,767,252,731,385,80,65,388,111,2070,913,1189,311,991,5311,5285,779,1262,3696,0,10296,856,923,18247,6802,25600,70882,373045,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,123,373168
