ISO3,HS_Section,2024_imports,2024_duty,2024_tariff,2025_tariff
ABW,1,0.0,0.0,0.0,0.0
ABW,2,0.0,0.0,0.0,0.0
ABW,3,0.0,0.0,0.0,0.0
ABW,4,0.0,0.0,0.0,0.0
ABW,5,0.0,0.0,0.0,0.0
ABW,6,1121496.0,0.0,0.0,10.0
ABW,7,21600.0,113.0,0.5231481481481481,10.523148148148149
ABW,8,6097.0,606.0,9.939314416926358,19.93931441692636
ABW,9,4000.0,128.0,3.2,13.2
ABW,10,18088.0,0.0,0.0,10.0
ABW,11,789.0,107.0,13.561470215462613,23.56147021546261
ABW,12,0.0,0.0,0.0,0.0
ABW,13,47460.0,3538.0,7.454698693636747,17.454698693636743
ABW,14,654678.0,4066.0,0.6210686780371419,10.621068678037142
ABW,15,103468.0,334.0,0.3228051184907411,17.296555456759577
ABW,16,174686.0,512.0,0.2930973289216079,13.486255338149594
ABW,17,49292.0,1125.0,2.28231761746328,25.973788850117668
ABW,18,259083.0,211.0,0.08144108258743336,16.79017920897936
ABW,19,0.0,0.0,0.0,0.0
ABW,20,8759.0,16.0,0.18266925448110516,10.182669254481105
ABW,21,8112133.0,0.0,0.0,10.0
AFG,1,36778.0,15999.0,43.501549839578004,53.501549839578
AFG,2,11027353.0,118751.0,1.0768767445823126,11.076876744582313
AFG,3,87419.0,202.0,0.23107104862787267,10.231071048627872
AFG,4,3745989.0,105414.0,2.8140499077813628,12.814049907781364
AFG,5,15399.0,0.0,0.0,10.0
AFG,6,120661.0,38.0,0.031493191669222036,10.031493191669222
AFG,7,21239.0,750.0,3.5312397005508736,13.531239700550874
AFG,8,28927.0,1263.0,4.36616310021779,14.366163100217788
AFG,9,0.0,0.0,0.0,0.0
AFG,10,33552.0,0.0,0.0,10.0
AFG,11,4159839.0,46260.0,1.11206226971765,11.11206226971765
AFG,12,7508.0,320.0,4.262120404901439,14.262120404901438
AFG,13,6750.0,0.0,0.0,10.0
AFG,14,1174528.0,4758.0,0.40509889930252835,10.405098899302528
AFG,15,111254.0,3168.0,2.8475380660470635,21.12984701673648
AFG,16,141250.0,1558.0,1.103008849557522,11.172247787610619
AFG,17,0.0,0.0,0.0,0.0
AFG,18,14093.0,0.0,0.0,10.0
AFG,19,0.0,0.0,0.0,0.0
AFG,20,91325.0,355.0,0.3887215986860115,13.727128387626609
AFG,21,1965504.0,0.0,0.0,10.0
AGO,1,0.0,0.0,0.0,0.0
AGO,2,69550.0,0.0,0.0,10.0
AGO,3,0.0,0.0,0.0,0.0
AGO,4,60349.0,2792.0,4.62642297304015,14.62642297304015
AGO,5,1381388679.0,1036564.0,0.07503782358708617,6.651076861764262
AGO,6,216619096.0,33511.0,0.015470011932835322,10.015470011932836
AGO,7,0.0,0.0,0.0,0.0
AGO,8,0.0,0.0,0.0,0.0
AGO,9,203279.0,0.0,0.0,9.696968206258394
AGO,10,3619.0,0.0,0.0,10.0
AGO,11,900.0,144.0,16.0,26.0
AGO,12,0.0,0.0,0.0,0.0
