U.Summary,PCE_M_star
111,0.0106195213820168
112,0.00550417068603529
113FF,0.147091474245115
211,0
212,0.0189873417721519
213,0
2211,2.08855472013367E-05
2212NW,0
23EH,0
23MR,0
23OC,0
23OR,0
23OT,0
23PC,0
23SF,0
23TH,0
321,0.144385026737968
327,0.062317552988958
3311IS,0.0348837209302326
3313NF,0
332,0.0666413638232596
33311,0.00211752249867655
33312,0
33313,0
3332OM,0.122241725175527
3341,0.286435191062587
3342,0.238112817483757
3344,0.169054441260745
3345,0.110434956105347
334X,0.229664060849356
335,0.148143063087801
336111,0.160585127996749
336112,0.0299378076864735
33612,0
3362BP,0.0273990941341842
3364,0.00724054706355591
3365AO,0.0772876819271734
337,0.232246388954053
3391,0.0485253566718619
3399,0.160866655512799
311,0.02454222437396
3121,0.0100485742889985
3122,0.000940318556898868
313TT,0.177434386555632
315AL,0.431410737183364
322,0.0152160430018607
323,0.0344646145751118
324,0.00917355247512831
3251,0.0328151986183074
3252,0
3254,0.0814673821705093
325X,0.0241900216160834
326,0.128247191878643
4231,0
4234,0
4236,0
4238,0
423X,0
4242,0
4244,0
4247,0
424X,0
425,0
42ID,0
441,0
445,0
452,0
444,0
446,0
447,0
448,0
454,0
4A0X,0
481,0.0371585089670087
482,0
483,0
484,0
485,0
486,0
48A,0
492,0
493,0
5111,0.0119024579059416
5112,-5.85651537335285E-05
512,0.00906106976099117
515,0
5171,6.21174401880725E-05
5172,0
5174OT,6.27667587245795E-05
518,4.5301139323654E-05
519,0.00626599427969291
521CI,0.000886358813028226
523,3.35606508081405E-06
524113,0
5241X,8.14137631279693E-05
5242,0
525,0
HSO,0
HST,0
ORE,0
532RL,0
5411,0.00157129563240835
5415,0
5412,0.00831197363603076
5413,0
5416,0
5417,0
5418,0.00841346153846154
541X,8.92959650980342E-05
55,0
5613,0.00234329232571763
5617,0
561X,0.00140326858903055
562,0
61,0.000692181612783158
6211,6.5908261830533E-05
6212,0.000248989565600065
6213,0.000297100848464749
6214,0.00018018244520149
6215OH,0.000508390460012669
622,0.00194662910357241
623,0.00027291875369243
624,0
711AS,0.000961307378034126
713,0
721,0
722,0
811,0.000481754853592239
812,0
813,0
814,0
GFGD,0
GFGN,0
GFE,0
GSLGE,0
GSLGH,0
GSLGO,0
GSLE,0
Used,0.0281428510071726
Other,0.12479711225724
