U.Summary,PCE_M_star
111,0.109212459449599
112,0.0264427169040458
113FF,0.122002664298401
211,0
212,0.0569620253164557
213,0
2211,8.35421888053467E-06
2212NW,0
23EH,0
23MR,0
23OC,0
23OR,0
23OT,0
23PC,0
23SF,0
23TH,0
321,0.00860265054638456
327,0.0404239116639167
3311IS,0.00581395348837209
3313NF,0
332,0.0167947623114147
33311,0
33312,0
33313,0
3332OM,0.00401203610832498
3341,0.000936270153611781
3342,0.00184583579444773
3344,0.00286532951289398
3345,0.00019952114924182
334X,0.00250017606873723
335,0.00365209034118212
336111,0.00511986997155628
336112,0.00264305840929253
33612,0
3362BP,0.00892478636292644
3364,0.0209171359613837
3365AO,0.00429376010706519
337,0.00566372867723449
3391,0.0497841985373456
3399,0.0458214823490045
311,0.0142009049712478
3121,0.00664466609811265
3122,0.0303396660909614
313TT,0.0129272765535279
315AL,0.100809280720006
322,0.00583005995451726
323,-0.00342015259142331
324,0.00656597582817838
3251,0.0149683362118595
3252,0
3254,0.0438682545328054
325X,0.0112203715967164
326,0.0203998919211024
4231,0
4234,0
4236,0
4238,0
423X,0
4242,0
4244,0
4247,0
424X,0
425,0
42ID,0
441,0
445,0
452,0
444,0
446,0
447,0
448,0
454,0
4A0X,0
481,0.055990247485361
482,0
483,0
484,0
485,0
486,0
48A,0
492,0
493,0
5111,0.00234178440100639
5112,-9.76085895558809E-06
512,0.00388331561185336
515,0
5171,2.86695877791104E-05
5172,0
5174OT,0
518,2.2650569661827E-05
519,0.00146771037181996
521CI,0.00143315481317803
523,3.35606508081405E-06
524113,0
5241X,0.00202746532692878
5242,0
525,0
HSO,0
HST,0
ORE,0
532RL,0
5411,0.00096108373632744
5415,0
5412,0.00252654705236177
5413,0
5416,0
5417,0
5418,0.00841346153846154
541X,1.27565664425763E-05
55,0
5613,0.000585823081429408
5617,0
561X,0.000359373663044408
562,0
61,0.000727008360596147
6211,7.66375137564337E-06
6212,2.8952275069775E-05
6213,3.45466102865987E-05
6214,2.09514471164523E-05
6215OH,6.45575187317675E-05
622,0.000569455391030693
623,3.53188975366674E-05
624,0
711AS,0.00596576049309414
713,0
721,0
722,0
811,0.000249668573759481
812,0
813,0
814,0
GFGD,0
GFGN,0
GFE,0
GSLGE,0
GSLGH,0
GSLGO,0
GSLE,0
Used,0.0132285358416012
Other,0.275707992053694
