U.Summary,PCE_M_star
111,0.0285356498417425
112,0.0101571809567043
113FF,0.068050621669627
211,0
212,0.151898734177215
213,0
2211,0.00570593149540518
2212NW,0
23EH,0
23MR,0
23OC,0
23OR,0
23OT,0
23PC,0
23SF,0
23TH,0
321,0.00720762613345734
327,0.00780555908110166
3311IS,0.0631229235880399
3313NF,0
332,0.0142012208621944
33311,0.00370566437268396
33312,0
33313,0
3332OM,0.0225050150451354
3341,0
3342,7.3833431777909E-05
3344,0
3345,0.0030925778132482
334X,0.000809916191281076
335,0.00225166472163108
336111,0.122876879317351
336112,0.055375521142169
33612,0
3362BP,0.023784555657199
3364,0.0901045856798069
3365AO,0.0155579099983271
337,0.0150976909413854
3391,0.00107900731327179
3399,0.00324159277229379
311,0.0294293399600838
3121,0.00846156698431533
3122,0.000115141047783535
313TT,0.00264558217839642
315AL,0.00194759635158348
322,0.0408931155675005
323,0.00289397526966588
324,0.00432338465706416
3251,0.00748416810592976
3252,0
3254,0.0176583013167512
325X,0.0234903102470231
326,0.0258617362102907
4231,0
4234,0
4236,0
4238,0
423X,0
4242,0
4244,0
4247,0
424X,0
425,0
42ID,0
441,0
445,0
452,0
444,0
446,0
447,0
448,0
454,0
4A0X,0
481,0.00258604859935119
482,0
483,0
484,0
485,0
486,0
48A,0
492,0.000103831377842384
493,0
5111,0.00429649700019354
5112,0
512,0.00573251352225972
515,0
5171,3.82261170388138E-05
5172,0
5174OT,0
518,2.2650569661827E-05
519,0.00111019117868433
521CI,0.00185011797310962
523,3.35606508081405E-06
524113,0
5241X,3.93937563522432E-05
5242,0
525,0
HSO,0
HST,0
ORE,0
532RL,0
5411,0.000762764870101143
5415,0
5412,0.00219699743683632
5413,0
5416,0
5417,0
5418,0.00600961538461539
541X,2.55131328851526E-05
55,0
5613,0.000585823081429408
5617,0
561X,0.000290921536750235
562,0
61,0.00117104939521176
6211,3.06550055025735E-06
6212,1.158091002791E-05
6213,1.38186441146395E-05
6214,8.38057884658093E-06
6215OH,2.01742246036774E-05
622,0.0005708528275731
623,9.6324266009093E-06
624,0
711AS,0.0060929923519516
713,0
721,0
722,0
811,0.000675160086786203
812,0
813,0
814,0
GFGD,0
GFGN,0
GFE,0.00226551880380607
GSLGE,0
GSLGH,0
GSLGO,0
GSLE,0
Used,0.0386226001803891
Other,0.063639383095926
