U.Summary,PCE_M_star
111,0.000207065876529576
112,0.000680928332293026
113FF,0.0117673179396092
211,0
212,0.00632911392405063
213,0
2211,4.17710944026734E-06
2212NW,0
23EH,0
23MR,0
23OC,0
23OR,0
23OT,0
23PC,0
23SF,0
23TH,0
321,0.000930016275284818
327,0.00634598299276558
3311IS,0.00996677740863787
3313NF,0
332,0.00882436663820097
33311,0
33312,0
33313,0
3332OM,0.0462637913741224
3341,0.0122191189539165
3342,0.00140283520378027
3344,0.0286532951289398
3345,0.0433958499600958
334X,0.00982463553771392
335,0.0371661975698497
336111,0.149695245835026
336112,0.0542447518053238
33612,0
3362BP,0.0153506325442335
3364,0
3365AO,0.0237272068254057
337,0.000150809343476658
3391,0.00602445749910083
3399,0.00797850092019408
311,0.000895491563927772
3121,0.00163150283659016
3122,0
313TT,0.00240507470763311
315AL,0.000326615537222074
322,0.000909654744676452
323,0.00131544330439358
324,0.000699869056757123
3251,0.00518134715025907
3252,0
3254,0.0105371359783004
325X,0.0036609898416903
326,0.0240475547149419
4231,0
4234,0
4236,0
4238,0
423X,0
4242,0
4244,0
4247,0
424X,0
425,0
42ID,0
441,0
445,0
452,0
444,0
446,0
447,0
448,0
454,0
4A0X,0
481,0.0168169669271418
482,0
483,0
484,0
485,0
486,0
48A,0
492,0
493,0
5111,0.000425778982001161
5112,-5.85651537335285E-05
512,0.00448430493273543
515,0
5171,1.43347938895552E-05
5172,0
5174OT,0
518,1.13252848309135E-05
519,9.40839981935872E-05
521CI,0.000776500255920502
523,0
524113,0
5241X,2.62625042348288E-05
5242,0
525,0
HSO,0
HST,0
ORE,0
532RL,0
5411,0.00148739149669723
5415,0
5412,0.000402782863419993
5413,0
5416,0
5417,0
5418,0.00120192307692308
541X,0.000191348496638645
55,0
5613,0
5617,0
561X,3.42260631470865E-05
562,0
61,7.83601825792254E-05
6211,0
6212,0
6213,0
6214,0
6215OH,4.03484492073547E-06
622,8.87372204428197E-05
623,3.21080886696977E-06
624,0
711AS,0.000155505605270226
713,0
721,0
722,0
811,6.32962581362065E-05
812,0
813,0
814,0
GFGD,0
GFGN,0
GFE,0
GSLGE,0
GSLGH,0
GSLGO,0
GSLE,0
Used,0.00424129192973414
Other,0.0341352752066478
