U.Summary,PCE_M_star
111,0.154658489207924
112,0.000453952221528684
113FF,0.0153197158081705
211,0
212,0.0506329113924051
213,0
2211,1.67084377610693E-05
2212NW,0
23EH,0
23MR,0
23OC,0
23OR,0
23OT,0
23PC,0
23SF,0
23TH,0
321,0.00976517089049058
327,0.0382028176164488
3311IS,0.0656146179401993
3313NF,0
332,0.0330518392004301
33311,0.0111169931180519
33312,0
33313,0
3332OM,0.0698345035105316
3341,0.148041767170242
3342,0.0114441819255759
3344,0.0315186246418338
3345,0.030925778132482
334X,0.392422001549405
335,0.0830919200933617
336111,0.225680617635108
336112,0.100114455920681
33612,0
3362BP,0.103549833775854
3364,0
3365AO,0.0309206490826967
337,0.0451590200743993
3391,0.0233784917875554
3399,0.0163125313702526
311,0.0154197214665748
3121,0.0787496755534132
3122,0.000633275762809442
313TT,0.0316567958392208
315AL,0.01924007451673
322,0.0133967335125078
323,0.00762957116548277
324,1.8813684321428E-05
3251,0.0126655152561888
3252,0
3254,0.00263037556134872
325X,0.0271637949345895
326,0.0479600108078898
4231,0
4234,0
4236,0
4238,0
423X,0
4242,0
4244,0
4247,0
424X,0
425,0
42ID,0
441,0
445,0
452,0
444,0
446,0
447,0
448,0
454,0
4A0X,0
481,0.0207546977332544
482,0
483,0
484,0
485,0
486,0
48A,0
492,0
493,0
5111,0.00108380104509386
5112,0
512,0.0100318986639545
515,0
5171,4.77826462985173E-05
5172,0
5174OT,0
518,3.39758544927405E-05
519,0.000188167996387174
521CI,4.99357077762381E-05
523,3.35606508081405E-06
524113,0
5241X,5.25250084696576E-06
5242,0
525,0
HSO,0
HST,0
ORE,0
532RL,0
5411,0.000236457109731354
5415,0
5412,0.000659099231050897
5413,0
5416,0
5417,0
5418,0.00120192307692308
541X,1.27565664425763E-05
55,0
5613,0.00117164616285882
5617,0
561X,0.000188243347308976
562,0
61,0.000171957067326634
6211,0
6212,0
6213,0
6214,0
6215OH,4.03484492073547E-06
622,0.000746929831916333
623,0
624,0
711AS,8.48212392383053E-05
713,0
721,0
722,0
811,0.000288349620398274
812,0
813,0
814,0
GFGD,0
GFGN,0
GFE,0
GSLGE,0
GSLGH,0
GSLGO,0
GSLE,0
Used,0.0146244040716403
Other,0.154144550074888
