U.Summary,PCE_M_star
111,0.682055276728754
112,0.911309084718833
113FF,0.544404973357016
211,0
212,0.632911392405063
213,0
2211,0.994210526315789
2212NW,1
23EH,0
23MR,0
23OC,0
23OR,0
23OT,0
23PC,0
23SF,0
23TH,0
321,0.539874447802837
327,0.561492575199898
3311IS,0.650332225913621
3313NF,1
332,0.592244678495746
33311,0.970354685018528
33312,0
33313,0
3332OM,0.455240722166499
3341,0.0600006347594262
3342,0.103145304193739
3344,0.587392550143266
3345,0.183260175578611
334X,0.0894429185153884
335,0.285192558522688
336111,0.111255587159691
336112,0.687084867456367
33612,0
3362BP,0.761507396416698
3364,0.794046661303298
3365AO,0.708888641052808
337,0.50633399242602
3391,0.629960436398513
3399,0.296804416931571
311,0.8877723927907
3121,0.803507731098669
3122,0.966378814047208
313TT,0.490996001563299
315AL,0.118615875934483
322,0.88964234029357
323,0.895816890292028
324,0.950900046657937
3251,0.490500863557858
3252,0
3254,0.53468929910067
325X,0.782602176602152
326,0.513374763577412
4231,1
4234,1
4236,1
4238,1
423X,1
4242,1
4244,1
4247,1
424X,1
425,1
42ID,0
441,1
445,1
452,1
444,1
446,1
447,1
448,1
454,1
4A0X,1
481,0.759966743517026
482,1
483,1
484,1
485,1
486,1
48A,1
492,0.999896168622158
493,1
5111,0.946932455970583
5112,1.00019521717911
512,0.948083768665341
515,1
5171,0.99969419106369
5172,1
5174OT,0.999811699723826
518,0.999796144873044
519,0.985548697877465
521CI,0.989633347065653
523,0.999979863609515
524113,1
5241X,0.994758004154728
5242,0
525,1
HSO,1
HST,1
ORE,1
532RL,1
5411,0.986544827691416
5415,0
5412,0.972244599047968
5413,0
5416,0
5417,1
5418,0.941105769230769
541X,0.999400441377199
55,0
5613,0.990626830697129
5617,1
561X,0.996235133053821
562,1
61,0.99577072681246
6211,0.999903436732667
6212,0.999635201334121
6213,0.999564712710389
6214,0.999736011766333
6215OH,0.999265658224426
622,0.993005131386984
623,0.999601859700496
624,1
711AS,0.981042453030239
713,0.99999286455862
721,1
722,1
811,0.997584192814468
812,1
813,1
814,1
GFGD,0
GFGN,0
GFE,0.997583446609274
GSLGE,0
GSLGH,0
GSLGO,0
GSLE,1
Used,0.816711763947945
Other,0
