U.Summary,PCE_M_star
111,0.317944723271246
112,0.0886909152811667
113FF,0.455595026642984
211,0
212,0.367088607594937
213,0
2211,0.00578947368421053
2212NW,0
23EH,0
23MR,0
23OC,0
23OR,0
23OT,0
23PC,0
23SF,0
23TH,0
321,0.460125552197163
327,0.438507424800102
3311IS,0.349667774086379
3313NF,0
332,0.407755321504254
33311,0.0296453149814717
33312,0
33313,0
3332OM,0.5447592778335
3341,0.939999365240574
3342,0.896854695806261
3344,0.412607449856734
3345,0.816739824421389
334X,0.910557081484611
335,0.714807441477312
336111,0.888744412840309
336112,0.312915132543633
33612,0
3362BP,0.238492603583302
3364,0.205953338696701
3365AO,0.291111358947192
337,0.49366600757398
3391,0.370039563601487
3399,0.703195583068429
311,0.1122276072093
3121,0.196492268901331
3122,0.0336211859527922
313TT,0.509003998436701
315AL,0.881384124065517
322,0.11035765970643
323,0.104183109707972
324,0.0490999533420629
3251,0.509499136442142
3252,0
3254,0.46531070089933
325X,0.217397823397848
326,0.486625236422588
4231,0
4234,0
4236,0
4238,0
423X,0
4242,0
4244,0
4247,0
424X,0
425,0
42ID,0
441,0
445,0
452,0
444,0
446,0
447,0
448,0
454,0
4A0X,0
481,0.240033256482974
482,0
483,0
484,0
485,0
486,0
48A,0
492,0.000103831377842384
493,0
5111,0.0530675440294175
5112,-0.000195217179111762
512,0.0519162313346586
515,0
5171,0.000305808936310511
5172,0
5174OT,0.000188300276173738
518,0.000203855126956443
519,0.014451302122535
521CI,0.010366652934347
523,2.01363904848843E-05
524113,0
5241X,0.00524199584527183
5242,0
525,0
HSO,0
HST,0
ORE,0
532RL,0
5411,0.0134551723085842
5415,0
5412,0.0277554009520322
5413,0
5416,0
5417,0
5418,0.0588942307692308
541X,0.000599558622801087
55,0
5613,0.00937316930287053
5617,0
561X,0.00376486694617952
562,0
61,0.00422927318753986
6211,9.65632673331065E-05
6212,0.000364798665879165
6213,0.000435287289611143
6214,0.000263988233667299
6215OH,0.000734341775573856
622,0.00699486861301628
623,0.000398140299504251
624,0
711AS,0.0189575469697612
713,7.1354413805652E-06
721,0
722,0
811,0.00241580718553188
812,0
813,0
814,0
GFGD,0
GFGN,0
GFE,0.00241655339072648
GSLGE,0
GSLGH,0
GSLGO,0
GSLE,0
Used,0.183288236052055
Other,1
