NIPA Line,Indented_Description,Description
2,Goods,Goods
3,    Durable goods,Durable goods
4,      Motor vehicles and parts,Motor vehicles and parts
5,        New motor vehicles,New motor vehicles
6,            New autos,New autos
7,              New domestic autos,New domestic autos
8,              New foreign autos,New foreign autos
9,            New light trucks,New light trucks
10,              New domestic light trucks,New domestic light trucks
11,              New foreign light trucks,New foreign light trucks
12,        Net purchases of used motor vehicles,Net purchases of used motor vehicles
13,            Used autos,Used autos
14,              Net transactions in used autos,Net transactions in used autos
15,              Used auto margin,Used auto margin
16,              Employee reimbursement,Employee reimbursement
17,            Used light trucks,Used light trucks
18,              Net transactions in used trucks,Net transactions in used trucks
19,              Used truck margin,Used truck margin
20,        Motor vehicle parts and accessories,Motor vehicle parts and accessories
21,            Tires,Tires
22,            Accessories and parts,Accessories and parts
23,      Furnishings and durable household equipment,Furnishings and durable household equipment
24,        Furniture and furnishings,Furniture and furnishings
25,            Furniture,Furniture
26,"            Clocks, lamps, lighting fixtures, and other household decorative items","Clocks, lamps, lighting fixtures, and other household decorative items"
27,            Carpets and other floor coverings,Carpets and other floor coverings
28,            Window coverings,Window coverings
29,        Household appliances,Household appliances
30,            Major household appliances,Major household appliances
31,            Small electric household appliances,Small electric household appliances
32,"        Glassware, tableware, and household utensils","Glassware, tableware, and household utensils"
33,            Dishes and flatware,Dishes and flatware
34,            Nonelectric cookware and tableware,Nonelectric cookware and tableware
35,        Tools and equipment for house and garden,Tools and equipment for house and garden
36,"            Tools, hardware, and supplies","Tools, hardware, and supplies"
37,            Outdoor equipment and supplies,Outdoor equipment and supplies
38,      Recreational goods and vehicles,Recreational goods and vehicles
39,"        Video, audio, photographic, and information processing equipment and media","Video, audio, photographic, and information processing equipment and media"
40,            Video and audio equipment,Video and audio equipment
41,              Televisions,Televisions
42,              Other video equipment,Other video equipment
43,              Audio equipment,Audio equipment
44,              Recording media,Recording media
45,"                Audio discs, tapes, vinyl, and permanent digital downloads","Audio discs, tapes, vinyl, and permanent digital downloads"
46,"                Video discs, tapes, and permanent digital downloads","Video discs, tapes, and permanent digital downloads"
47,            Photographic equipment,Photographic equipment
48,            Information processing equipment,Information processing equipment
49,              Personal computers/tablets and peripheral equipment,Personal computers/tablets and peripheral equipment
50,              Computer software and accessories,Computer software and accessories
51,"              Calculators, typewriters, and other information processing equipment","Calculators, typewriters, and other information processing equipment"
52,"        Sporting equipment, supplies, guns, and ammunition","Sporting equipment, supplies, guns, and ammunition"
53,        Sports and recreational vehicles,Sports and recreational vehicles
54,            Motorcycles,Motorcycles
55,            Bicycles and accessories,Bicycles and accessories
56,"            Pleasure boats, aircraft, and other recreational vehicles","Pleasure boats, aircraft, and other recreational vehicles"
57,              Pleasure boats,Pleasure boats
58,              Pleasure aircraft,Pleasure aircraft
59,              Other recreational vehicles,Other recreational vehicles
60,        Recreational books,Recreational books
61,        Musical instruments,Musical instruments
62,      Other durable goods,Other durable goods
63,        Jewelry and watches,Jewelry and watches
64,            Jewelry,Jewelry
65,            Watches,Watches
66,        Therapeutic appliances and equipment,Therapeutic appliances and equipment
67,            Therapeutic medical equipment,Therapeutic medical equipment
68,            Corrective eyeglasses and contact lenses,Corrective eyeglasses and contact lenses
69,        Educational books,Educational books
70,        Luggage and similar personal items,Luggage and similar personal items
71,        Telephone and related communication equipment,Telephone and related communication equipment
72,    Nondurable goods,Nondurable goods
73,      Food and beverages purchased for off-premises consumption,Food and beverages purchased for off-premises consumption
74,        Food and nonalcoholic beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption
75,            Food purchased for off-premises consumption,Food purchased for off-premises consumption
76,              Cereals and bakery products,Cereals and bakery products
77,                Cereals,Cereals
78,                Bakery products,Bakery products
79,              Meats and poultry,Meats and poultry
80,                Beef and veal,Beef and veal
81,                Pork,Pork
82,                Other meats,Other meats
83,                Poultry,Poultry
84,              Fish and seafood,Fish and seafood
85,"              Milk, dairy products, and eggs","Milk, dairy products, and eggs"
86,                Fresh milk,Fresh milk
87,                Processed dairy products,Processed dairy products
88,                Eggs,Eggs
89,              Fats and oils,Fats and oils
90,              Fresh fruits and vegetables,Fresh fruits and vegetables
91,                Fruit (fresh),Fruit (fresh)
92,                Vegetables (fresh),Vegetables (fresh)
93,              Processed fruits and vegetables,Processed fruits and vegetables
94,              Sugar and sweets,Sugar and sweets
95,"              Food products, not elsewhere classified","Food products, not elsewhere classified"
96,            Nonalcoholic beverages purchased for off-premises consumption,Nonalcoholic beverages purchased for off-premises consumption
97,"              Coffee, tea, and other beverage materials","Coffee, tea, and other beverage materials"
98,"              Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices"
99,        Alcoholic beverages purchased for off-premises consumption,Alcoholic beverages purchased for off-premises consumption
100,            Spirits,Spirits
101,            Wine,Wine
102,            Beer,Beer
103,        Food produced and consumed on farms,Food produced and consumed on farms
104,      Clothing and footwear,Clothing and footwear
105,        Garments,Garments
106,            Women's and girls' clothing,Women's and girls' clothing
107,            Men's and boys' clothing,Men's and boys' clothing
108,            Children's and infants' clothing,Children's and infants' clothing
109,        Other clothing materials and footwear,Other clothing materials and footwear
110,            Clothing materials,Clothing materials
111,            Standard clothing issued to military personnel,Standard clothing issued to military personnel
112,            Shoes and other footwear,Shoes and other footwear
113,      Gasoline and other energy goods,Gasoline and other energy goods
114,"        Motor vehicle fuels, lubricants, and fluids","Motor vehicle fuels, lubricants, and fluids"
115,            Gasoline and other motor fuel,Gasoline and other motor fuel
116,            Lubricants and fluids,Lubricants and fluids
117,        Fuel oil and other fuels,Fuel oil and other fuels
118,            Fuel oil,Fuel oil
119,            Other fuels,Other fuels
120,      Other nondurable goods,Other nondurable goods
121,        Pharmaceutical and other medical products,Pharmaceutical and other medical products
122,            Pharmaceutical products,Pharmaceutical products
123,              Prescription drugs,Prescription drugs
124,              Nonprescription drugs,Nonprescription drugs
125,            Other medical products,Other medical products
126,        Recreational items,Recreational items
127,"            Games, toys, and hobbies","Games, toys, and hobbies"
128,            Pets and related products,Pets and related products
129,"            Flowers, seeds, and potted plants","Flowers, seeds, and potted plants"
130,            Film and photographic supplies,Film and photographic supplies
131,        Household supplies,Household supplies
132,            Household cleaning products,Household cleaning products
133,            Household paper products,Household paper products
134,            Household linens,Household linens
135,            Sewing items,Sewing items
136,            Miscellaneous household products,Miscellaneous household products
137,        Personal care products,Personal care products
138,"            Hair, dental, shaving, and miscellaneous personal care products except electrical products","Hair, dental, shaving, and miscellaneous personal care products except electrical products"
139,            Cosmetic / perfumes / bath / nail preparations and implements,Cosmetic / perfumes / bath / nail preparations and implements
140,            Electric appliances for personal care,Electric appliances for personal care
141,        Tobacco,Tobacco
142,"        Magazines, newspapers, and stationery","Magazines, newspapers, and stationery"
