Summary,purchPrice_from,purchPrice_to,growth_ratio
111CA,153164,161477,1.0542751560418897
113FF,8820,9016,1.0222222222222221
212,335,322,0.9611940298507463
22,265417,284691,1.0726178051895696
311FT,1083131,1156895,1.06810256561764
313TT,67218,73772,1.0975036448570323
315AL,413130,430510,1.0420690823711665
321,6759,7782,1.1513537505548157
322,59713,62482,1.0463718118332692
323,8499,8300,0.9765854806447818
324,324184,354328,1.092984231177356
325,554973,614515,1.1072881023040761
326,72247,77152,1.0678920924052209
327,21298,20868,0.9798103108273077
331,1416,1219,0.8608757062146892
332,44258,46988,1.06168376338741
333,28857,31036,1.0755102748033407
334,152824,165653,1.083946238810658
335,83751,87850,1.0489426991916515
3361MV,350152,358289,1.0232384792889946
3364OT,37020,37114,1.002539168017288
337,110214,119477,1.084045584045584
339,245077,270374,1.1032206204580601
481,129784,156761,1.2078607532515564
482,1458,1519,1.041838134430727
483,22027,26016,1.1810959277250648
484,11700,12677,1.0835042735042735
485,47460,59465,1.2529498525073746
487OS,17855,19176,1.0739848781853822
493,251,269,1.0717131474103585
4A0,5974,7538,1.2618011382658185
511,149041,169966,1.1403976087116967
512,29446,30201,1.0256401548597434
513,349014,356024,1.0200851541771963
514,46716,69729,1.4926149499100951
521CI,278750,309140,1.1090224215246636
523,225226,237104,1.0527381385808032
524,398566,422129,1.059119443203886
525,170526,166451,0.9761033508086744
532RL,97092,102664,1.0573888682898693
5411,104093,108701,1.0442681064048496
5412OP,72409,80749,1.1151790523277494
561,64488,76754,1.1902059297853864
562,28334,30129,1.0633514505541046
61,360205,383308,1.0641384767007676
621,1050872,1151143,1.0954169489719014
622,1039196,1144708,1.1015323384616569
623,241619,258143,1.068388661487714
624,225279,250523,1.112056605364903
711AS,86974,95434,1.0972704486398235
713,210211,229052,1.0896289918225022
721,163294,175161,1.0726726027900597
722,731850,810433,1.1073758283801325
81,613310,670112,1.0926154799367367
GFE,6914,6717,0.9715070870697137
GSLE,72509,76960,1.0613854831813982
HS,2020853,2208129,1.0926717579160878
ORE,5861,6414,1.0943524995734517
Other,-90776,-73794,0.8129241209130167
Used,209783,221821,1.057383105399389
