Summary,purchPrice_from,purchPrice_to,growth_ratio
22,265417,355771,1.3404228063763812
61,360205,459418,1.2754348218375646
81,613310,865905,1.4118553423228057
212,335,342,1.0208955223880598
321,6759,9528,1.409675987572126
322,59714,73676,1.2338145158589275
323,8500,11992,1.4108235294117648
324,324185,472428,1.4572790227802026
325,554972,798356,1.4385518548683538
326,72246,112808,1.5614428480469507
327,21298,29605,1.390036623157104
331,1416,3059,2.160310734463277
332,44258,84199,1.902458312621447
333,28856,53050,1.8384391461047962
334,152827,227589,1.489193663423348
335,83749,140599,1.678814075391945
337,110214,148156,1.3442575353403379
339,245081,375618,1.5326279882977465
481,129784,235877,1.817458238303643
482,1459,1460,1.0006854009595614
483,22027,28177,1.2792027965678485
484,11700,14002,1.1967521367521368
485,47460,69538,1.4651917404129793
493,251,229,0.9123505976095617
511,149042,241856,1.6227372150132178
512,29446,30771,1.0449976227670992
513,349014,390127,1.1177975668597822
514,46716,141441,3.0276778833804263
523,225226,297968,1.3229733689716108
524,398565,496819,1.246519388305546
525,170526,240778,1.411972367850064
561,64490,95325,1.478136145138781
562,28334,40521,1.4301192913107927
621,1050872,1456340,1.3858395694242496
622,1039196,1431192,1.377210843767682
623,241619,311448,1.2890045898708298
624,225279,337001,1.4959272724044408
713,210212,280291,1.3333729758529484
721,163294,205827,1.2604688476000343
722,731851,1132608,1.5475937041829553
5411,104093,131102,1.259469897111237
111CA,153165,243987,1.592968367446871
113FF,8820,12766,1.4473922902494332
311FT,1083133,1493335,1.3787180337040787
313TT,67220,104507,1.5547009818506397
315AL,413130,518325,1.254629293442742
3361MV,350153,496830,1.4188940263256349
3364OT,37019,60110,1.6237607714957185
487OS,17855,25250,1.4141697003640437
4A0,5974,14437,2.4166387679946433
521CI,278749,400516,1.4368338541124812
532RL,97091,105494,1.086547671771843
5412OP,72410,114273,1.5781383786769783
711AS,86972,113576,1.3058915513038678
GFE,6914,6621,0.957622215794041
GSLE,72509,92239,1.2721041525879546
HS,2020853,2907957,1.4389750268822126
ORE,5861,7416,1.2653130865040096
Other,-90776,-33227,0.3660328721247907
Used,209786,305559,1.4565271276443614
