Summary,detail_to_summary_purchPrice,pce_bridge_purchPrice,difference,pct_difference
111CA,153164,153165,-1,-0.0006528949361468752
113FF,8820,8820,0,0.0
212,335,335,0,0.0
22,265417,265417,0,0.0
311FT,1083131,1083133,-2,-0.0001846498715298519
313TT,67218,67220,-2,-0.0029753934957898183
315AL,413130,413130,0,0.0
321,6759,6759,0,0.0
322,59713,59714,-1,-0.0016746772059685496
323,8499,8500,-1,-0.011766090128250382
324,324184,324185,-1,-0.0003084667966340103
325,554973,554972,1,0.00018018894612891078
326,72247,72246,1,0.0013841405179453817
327,21298,21298,0,0.0
331,1416,1416,0,0.0
332,44258,44258,0,0.0
333,28857,28856,1,0.0034653636899192575
334,152824,152827,-3,-0.0019630424540648065
335,83751,83749,2,0.002388031187687311
3361MV,350152,350153,-1,-0.00028559025794512095
3364OT,37020,37019,1,0.002701242571582928
337,110214,110214,0,0.0
339,245077,245081,-4,-0.0016321401029064336
481,129784,129784,0,0.0
482,1458,1459,-1,-0.06858710562414265
483,22027,22027,0,0.0
484,11700,11700,0,0.0
485,47460,47460,0,0.0
487OS,17855,17855,0,0.0
493,251,251,0,0.0
4A0,5974,5974,0,0.0
511,149041,149042,-1,-0.0006709563140343932
512,29446,29446,0,0.0
513,349014,349014,0,0.0
514,46716,46716,0,0.0
521CI,278750,278749,1,0.00035874439461883406
523,225226,225226,0,0.0
524,398566,398565,1,0.00025089947461650014
525,170526,170526,0,0.0
532RL,97092,97091,1,0.0010299509743336218
5411,104093,104093,0,0.0
5412OP,72409,72410,-1,-0.0013810437928986727
561,64488,64490,-2,-0.0031013521895546453
562,28334,28334,0,0.0
61,360205,360205,0,0.0
621,1050872,1050872,0,0.0
622,1039196,1039196,0,0.0
623,241619,241619,0,0.0
624,225279,225279,0,0.0
711AS,86974,86972,2,0.0022995377929036264
713,210211,210212,-1,-0.00047571249839447027
721,163294,163294,0,0.0
722,731850,731851,-1,-0.00013664002186240348
81,613310,613310,0,0.0
GFE,6914,6914,0,0.0
GSLE,72509,72509,0,0.0
HS,2020853,2020853,0,0.0
ORE,5861,5861,0,0.0
Other,-90776,-90776,0,-0.0
Used,209783,209786,-3,-0.0014300491460223184
