country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
Aruba,ABW,0.28792569659442724,0.2466148887955486,0.3023735810113519,0.22262935502892162,0.003095975232198142,0.990272385227047
Afghanistan,AFG,0.5537879664927854,0.0014992530600822184,0.6888493894129273,2.5667267415135144e-05,0.3882523107793935,0.033992707456020864
Angola,AGO,-0.042895459487824666,0.8793532695538793,0.4301102896395924,0.1095441357332997,-0.13941024333543015,0.6202305866883092
Anguilla,AIA,0.3454545454545455,0.2980892209030388,0.3272727272727273,0.32589494101284167,0.02727272727272728,0.9365584481926122
Albania,ALB,0.7733200031008005,1.321427395419447e-07,0.7752135174278134,1.1770556790261121e-07,0.6218656315466878,0.00011191508279453238
Andorra,AND,0.4308907830342518,0.06550666510185446,0.5430588351581174,0.01627080395487469,0.06055287989687043,0.8054883919588827
United Arab Emirates,ARE,0.3047952335364426,0.05266342021093076,0.36762247499766043,0.01804935229480198,0.23121194489091698,0.14581149728689502
Argentina,ARG,0.41652170044801023,0.006072745990569497,0.43231409079555305,0.004247604982697412,0.3222302108862358,0.03742111878862832
Armenia,ARM,0.4112903225806452,0.021524765639491288,0.5224316993986184,0.0025705448596778603,0.2967741935483871,0.10496842530252788
Antigua and Barbuda,ATG,0.007518796992481202,0.9749025019933399,0.0218127130882573,0.927271203801959,0.006015037593984962,0.9799209119891911
Australia,AUS,0.38204024981598733,0.013705119142343996,0.39441703545761697,0.01071730825560688,0.2472537992875719,0.11910389033332348
Austria,AUT,0.2563209343813333,0.1057373849388387,0.42887727191100306,0.005144378297754324,0.048997403102826305,0.7609627149066067
Azerbaijan,AZE,0.2581086653430601,0.18480159930940424,0.3587076112936719,0.06086237589720143,0.18968112946207913,0.33366796933483245
Burundi,BDI,0.5476190476190477,0.1600256425388966,0.5476190476190477,0.1600256425388966,0.523809523809524,0.18272075053971484
Belgium,BEL,0.43137139286608656,0.004341263601465526,0.4610586110944275,0.0021194173906151537,0.24262612202212167,0.12157902736637442
Benin,BEN,0.510989010989011,0.07432891414402144,0.6538461538461539,0.015348516732105476,0.38461538461538464,0.19441291997748622
Burkina Faso,BFA,0.45738819142680365,0.06489378238879685,0.445125773426085,0.07337866898764774,0.35683636382091116,0.1597230305882632
Bangladesh,BGD,0.7367070535667296,1.5280903299038132e-06,0.7807114569654392,1.3585983067359852e-07,0.5878254887344289,0.00040357231632079057
