country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
Aruba,ABW,0.47794117647058826,0.05232854189081124,0.5245098039215687,0.03065401608794889,0.16176470588235298,0.5350755062766513
Afghanistan,AFG,0.7153804050355775,1.8797105694398532e-05,0.8719211822660098,1.5204570016753973e-09,0.5238095238095238,0.004225433840817226
Angola,AGO,0.2582417582417582,0.39428401739736163,0.8351648351648352,0.0003802080801851202,0.12087912087912088,0.6940473279966857
Anguilla,AIA,0.7939393939393938,0.0060999233136969115,0.7696969696969697,0.009221952722215994,0.33333333333333326,0.34659350708733405
Albania,ALB,0.867224523007896,2.7664067668492637e-10,0.8720637205322367,1.667996790977318e-10,0.698255876116332,1.2562692842423544e-05
Andorra,AND,0.590686274509804,0.012536389668570057,0.7205882352941178,0.0011017357540910224,0.11274509803921569,0.666592049963725
United Arab Emirates,ARE,0.5672540356973149,0.0002042527225181292,0.6638932459543212,5.521028373122901e-06,0.4621867244356089,0.0034851884075105823
Argentina,ARG,0.6315950176696117,1.6193867637638407e-05,0.6899699589958909,1.178357781076608e-06,0.5161519648969073,0.0007696311527334456
Armenia,ARM,0.6137931034482758,0.00039821108721194517,0.7492610837438421,2.9146737121201005e-06,0.4635467980295565,0.011320666761279213
Antigua and Barbuda,ATG,0.28586171310629516,0.25016959354548063,0.3869969040247678,0.11261128878276397,0.26109391124871,0.2953326016338095
Australia,AUS,0.5398481704660414,0.000389706603794312,0.571848174567949,0.00014295508320230624,0.3561519443873697,0.026058435678690227
Austria,AUT,0.34349371491667835,0.03227849488069496,0.5450127280900834,0.000333725348867523,0.11463292608658017,0.48712624688635375
Azerbaijan,AZE,0.4871794871794871,0.01159498555874061,0.6793162393162392,0.0001355055856123116,0.3818803418803418,0.05421290785715785
Burundi,BDI,0.642857142857143,0.11939237342741094,0.642857142857143,0.11939237342741094,0.642857142857143,0.11939237342741094
Belgium,BEL,0.5327595619624543,0.00048020765315951277,0.5876456449473716,8.377910472981209e-05,0.3022785197601076,0.06143799345465567
Benin,BEN,0.7622377622377624,0.003950448972542651,0.8881118881118882,0.00011413359814618011,0.6013986013986015,0.03858845292201944
Burkina Faso,BFA,0.6147058823529412,0.011279474063305006,0.6,0.014007122329599993,0.5294117647058824,0.0349520067895181
Bangladesh,BGD,0.8633934916344596,4.0726156998061783e-10,0.9117854668778669,9.89703254239191e-13,0.70249017395013,1.055469659893225e-05
Bulgaria,BGR,0.7463954933279944,1.7297938142821423e-07,0.7641606844420445,5.8508496548758616e-08,0.5731205133315335,0.0002587648833890396
Bahrain,BHR,0.7005128205128205,6.751836003774529e-05,0.8776068376068377,3.939984240489252e-09,0.4044444444444444,0.04042831577033426
Bahamas,BHS,0.03645320197044334,0.8510854765594947,0.495566502463054,0.006264127989326406,-0.18522167487684724,0.33608364253053824
Bosnia and Herzegovina,BIH,0.7274294919076209,7.79521748329664e-06,0.8175883791538752,6.165201968521407e-08,0.5604138483202971,0.0015676137654821692
Belarus,BLR,0.5984615384615385,0.00157618797568221,0.7884615384615384,2.8512225517544837e-06,0.16846153846153847,0.4208415376807141
Belize,BLZ,0.6774193548387096,3.924763949560777e-05,0.8067638274418801,7.279953827215629e-08,0.3886540600667408,0.03379221869951787
Bermuda,BMU,0.7052137601008074,0.00017114991664626258,0.6933531222294554,0.00024417177226873535,0.5426241826143564,0.0074677943967238515
Bolivia,BOL,0.477350490305723,0.010208233564766417,0.8023002298400448,2.828456605452096e-07,0.22827425969895238,0.24266643280556482
Brazil,BRA,0.33993434057219724,0.031862817393706055,0.43906122641509543,0.004592400617384541,0.22637261995034227,0.16013521457321675
Barbados,BRB,0.4051282051282051,0.04005887676201827,0.590528304065846,0.0014930161154010782,0.26153846153846155,0.19684070497583062
Brunei Darussalam,BRN,0.3571428571428571,0.11198091415054655,0.9363636363636364,4.40676072758876e-10,0.1155844155844156,0.6178368603191975
Bhutan,BTN,0.4230769230769231,0.14974854155496814,0.8571428571428571,0.0001809340887252406,0.04395604395604395,0.8866190227890784
Botswana,BWA,0.5636363636363637,0.07095173447637536,0.5727272727272729,0.06554305260101842,0.5181818181818182,0.10249153979096383
Central African Republic,CAF,0.46153846153846156,0.13094806950717278,0.5744317040374439,0.050765334660570934,0.37762237762237766,0.22620604493502663
Canada,CAN,0.470483392956495,0.0021865799406546866,0.5496836184063819,0.0002388994663057889,0.3434068890540225,0.030046218466120753
Cocos (Keeling) Islands,CCK,0.6794117647058824,0.003793432669159743,0.6705882352941177,0.004467208697738123,0.5352941176470588,0.03261586329402191
Switzerland,CHE,0.5626329835132857,0.00019283902613168044,0.7019747735266552,6.369053355396764e-07,0.335594979726967,0.036743531703446485
Chile,CHL,0.5233195441394549,0.0007480113774472749,0.7539713144419649,4.626645357759449e-08,0.25005477799466846,0.1299957203174145
China,CHN,0.707742921660668,3.270654845332693e-07,0.8323792563596956,2.7777710394981993e-11,0.14500236228162472,0.37200388348462643
Cote d'Ivoire,CIV,0.4323076923076923,0.03091049740592285,0.8384615384615385,1.6680160497400616e-07,0.24153846153846154,0.24475409855765914
Cameroon,CMR,0.6992991477247185,1.7116850926402027e-05,0.8425853873476007,5.220949190556264e-09,0.4189565049842968,0.021201597385471165
DR Congo,COD,0.4891304347826087,0.017853473452397992,0.8537549407114625,2.215383346058291e-07,0.24703557312252966,0.25579111906173746
Congo Republic,COG,0.2911764705882353,0.27388704841914874,0.55,0.027293972709730593,-0.11470588235294117,0.672291046599723
Cook Islands,COK,0.7482517482517484,0.005124081698753058,0.7552447552447553,0.004508435484294225,0.21678321678321683,0.49855598552418856
Colombia,COL,0.7271733079862468,2.330616824680522e-07,0.7679925738126712,1.8258571259269305e-08,0.6198818533300405,3.318402154173983e-05
Comoros,COM,0.9,0.0009430623223403293,0.8833333333333333,0.0015905004234978686,0.6333333333333333,0.06708578689234565
Cabo Verde,CPV,0.6740196078431374,0.0030075378038459965,0.6646230556389479,0.0036082539354311597,0.5147058823529412,0.03450769883204255
Costa Rica,CRI,0.4867024303966736,0.0019446854901504918,0.6477995277558902,1.0995052335124841e-05,0.17587830124745998,0.29086302843733697
Curacao,CUW,0.35397316821465424,0.14955138885906258,0.5255550519680583,0.02509477583992801,0.17234262125902994,0.49407642787678374
Christmas Island,CXR,0.6277749933135156,0.005281044429235895,0.6794012263162718,0.001927513867483918,0.27052146093444257,0.27759649716056095
Cayman Islands,CYM,0.5460869565217391,0.0057695732589104496,0.6043478260869565,0.0017613115382687772,0.27478260869565213,0.19378063586855726
Cyprus,CYP,0.559618735738677,0.000868033147793593,0.684263590079424,1.5712782606253255e-05,0.19264962045900735,0.29080010409957474
Czechia,CZE,0.45458858285499754,0.004704850319467692,0.5904671733484318,0.00011955450659642632,0.03651885329142912,0.8300926854998414
Germany,DEU,0.3545753557928661,0.024773431905459702,0.3904270725511707,0.012748677845195268,0.03453777949491126,0.8324405703618838
Djibouti,DJI,0.6964285714285713,0.003921190506879554,0.7,0.0036660678988013817,0.6714285714285713,0.0061277667888201
Dominica,DMA,0.8088235294117647,8.459695101481672e-05,0.8112745098039217,7.738036180608982e-05,0.5857843137254902,0.013478995289806905
Denmark,DNK,0.4906329742839937,0.0015187954299745916,0.5732658962686663,0.00013641314305525942,0.18339242857137517,0.2637662983203169
Dominican Republic,DOM,0.7042793208011232,8.047767505643227e-07,0.7796147434763723,8.034267577559844e-09,0.5676918161609054,0.00020144107103433088
Algeria,DZA,0.313382269904009,0.155560751936561,0.7752682100508189,2.2569555621554774e-05,0.22868435911914178,0.30599593936021585
Ecuador,ECU,0.7435427521441011,4.69913848493335e-07,0.7880736248099615,3.155309700853244e-08,0.6234143650556604,8.196269574808782e-05
Egypt,EGY,0.5942327694380859,0.00013280601455547918,0.6150875590067535,6.554166361575819e-05,0.45726057128337977,0.005050744815624368
Eritrea,ERI,0.374140656558896,0.2078784368558637,0.4071530674317398,0.167337113419211,0.25859721850394285,0.39361026948777245
Spain,ESP,0.544626995676549,0.00027981183068159516,0.5765369006446734,9.875707878603008e-05,0.4061004670502202,0.009320364394952776
Estonia,EST,0.5639706822203866,0.00022648988507511668,0.7115026984503654,5.513202238869721e-07,0.1708438259161699,0.30511050201548073
