,total_vs_impval,direct_vs_impval,indirect_vs_impval
ABW,"{'correlation': np.float64(0.47794117647058826), 'p_value': np.float64(0.05232854189081124)}","{'correlation': np.float64(0.5245098039215687), 'p_value': np.float64(0.03065401608794889)}","{'correlation': np.float64(0.16176470588235298), 'p_value': np.float64(0.5350755062766513)}"
AFG,"{'correlation': np.float64(0.7153804050355775), 'p_value': np.float64(1.8797105694398532e-05)}","{'correlation': np.float64(0.8719211822660098), 'p_value': np.float64(1.5204570016753973e-09)}","{'correlation': np.float64(0.5238095238095238), 'p_value': np.float64(0.004225433840817226)}"
AGO,"{'correlation': np.float64(0.2582417582417582), 'p_value': np.float64(0.39428401739736163)}","{'correlation': np.float64(0.8351648351648352), 'p_value': np.float64(0.0003802080801851202)}","{'correlation': np.float64(0.12087912087912088), 'p_value': np.float64(0.6940473279966857)}"
AIA,"{'correlation': np.float64(0.7939393939393938), 'p_value': np.float64(0.0060999233136969115)}","{'correlation': np.float64(0.7696969696969697), 'p_value': np.float64(0.009221952722215994)}","{'correlation': np.float64(0.33333333333333326), 'p_value': np.float64(0.34659350708733405)}"
ALB,"{'correlation': np.float64(0.867224523007896), 'p_value': np.float64(2.7664067668492637e-10)}","{'correlation': np.float64(0.8720637205322367), 'p_value': np.float64(1.667996790977318e-10)}","{'correlation': np.float64(0.698255876116332), 'p_value': np.float64(1.2562692842423544e-05)}"
AND,"{'correlation': np.float64(0.590686274509804), 'p_value': np.float64(0.012536389668570057)}","{'correlation': np.float64(0.7205882352941178), 'p_value': np.float64(0.0011017357540910224)}","{'correlation': np.float64(0.11274509803921569), 'p_value': np.float64(0.666592049963725)}"
ARE,"{'correlation': np.float64(0.5672540356973149), 'p_value': np.float64(0.0002042527225181292)}","{'correlation': np.float64(0.6638932459543212), 'p_value': np.float64(5.521028373122901e-06)}","{'correlation': np.float64(0.4621867244356089), 'p_value': np.float64(0.0034851884075105823)}"
ARG,"{'correlation': np.float64(0.6315950176696117), 'p_value': np.float64(1.6193867637638407e-05)}","{'correlation': np.float64(0.6899699589958909), 'p_value': np.float64(1.178357781076608e-06)}","{'correlation': np.float64(0.5161519648969073), 'p_value': np.float64(0.0007696311527334456)}"
ARM,"{'correlation': np.float64(0.6137931034482758), 'p_value': np.float64(0.00039821108721194517)}","{'correlation': np.float64(0.7492610837438421), 'p_value': np.float64(2.9146737121201005e-06)}","{'correlation': np.float64(0.4635467980295565), 'p_value': np.float64(0.011320666761279213)}"
ATG,"{'correlation': np.float64(0.28586171310629516), 'p_value': np.float64(0.25016959354548063)}","{'correlation': np.float64(0.3869969040247678), 'p_value': np.float64(0.11261128878276397)}","{'correlation': np.float64(0.26109391124871), 'p_value': np.float64(0.2953326016338095)}"
AUS,"{'correlation': np.float64(0.5398481704660414), 'p_value': np.float64(0.000389706603794312)}","{'correlation': np.float64(0.571848174567949), 'p_value': np.float64(0.00014295508320230624)}","{'correlation': np.float64(0.3561519443873697), 'p_value': np.float64(0.026058435678690227)}"
AUT,"{'correlation': np.float64(0.34349371491667835), 'p_value': np.float64(0.03227849488069496)}","{'correlation': np.float64(0.5450127280900834), 'p_value': np.float64(0.000333725348867523)}","{'correlation': np.float64(0.11463292608658017), 'p_value': np.float64(0.48712624688635375)}"
