ISO,country_name,Direct,Indirect,Total
CHN,China,0.11375019052128606,0.0377543953849748,0.15150458590626087
MEX,Mexico,0.059418558769735966,0.03904454229119333,0.09846310106092929
CAN,Canada,0.027616678068121337,0.05833323290373823,0.08594991097185957
VNM,Vietnam,0.03185699975191727,0.009081928697276581,0.04093892844919385
IRL,Ireland,0.01918162359859847,0.009976711061852836,0.02915833466045131
DEU,Germany,0.016835703931630596,0.011904933573519764,0.028740637505150362
JPN,Japan,0.015013679272924753,0.011427901975723928,0.026441581248648677
IND,India,0.01720259388978393,0.009038358272822396,0.026240952162606326
KOR,South Korea,0.012639942646314791,0.011028953016576365,0.023668895662891154
ITA,Italy,0.0143094749027334,0.00585331831506125,0.02016279321779465
TWN,Taiwan,0.008535895198370098,0.009544148724666288,0.018080043923036384
THA,Thailand,0.007892236358941825,0.005955360331914691,0.013847596690856515
ISR,Israel,0.007259228777990566,0.005892009715575746,0.013151238493566312
CHE,Switzerland,0.007628942740370291,0.00511413413255328,0.012743076872923573
FRA,France,0.008561261027919598,0.004085567458909135,0.012646828486828734
SGP,Singapore,0.008106226257352203,0.0036896652219448947,0.011795891479297098
IDN,Indonesia,0.008519183711848679,0.002819332493311547,0.011338516205160225
GBR,United Kingdom,0.0064957080052569045,0.004495356980817082,0.010991064986073986
BRA,Brazil,0.0035472706104152756,0.006750833083166547,0.010298103693581822
ESP,Spain,0.0059274536455157035,0.002415078583877362,0.008342532229393065
NLD,Netherlands,0.0047608104286005325,0.0032906493259582336,0.008051459754558767
MYS,Malaysia,0.0036688254172124266,0.004271998735994971,0.007940824153207396
BEL,Belgium,0.004473163389481968,0.002352775480523993,0.0068259388700059615
KHM,Cambodia,0.00562422575384715,0.0004727084516389133,0.006096934205486062
BGD,Bangladesh,0.005397743324893598,5.8260216751651364e-05,0.0054560035416452496
COL,Colombia,0.001810224752658144,0.00315256003300709,0.004962784785665234
ARG,Argentina,0.002263177885160794,0.0026534664268699137,0.004916644312030707
TUR,Türkiye,0.0027882810829469346,0.0018732682302389815,0.004661549313185916
AUS,Australia,0.0026307921389489035,0.001998232210104869,0.004629024349053772
CHL,Chile,0.0014588803710283516,0.0028827915860390775,0.004341671957067429
CRI,Costa Rica,0.0012796157026742725,0.002167045330123075,0.0034466610327973475
PER,Peru,0.0019924466942343824,0.0014120360530895859,0.0034044827473239682
SAU,Saudi Arabia,0.00025198733986538227,0.002994332932381958,0.00324632027224734
AUT,Austria,0.001726430167320236,0.0014770685106116226,0.003203498677931859
PHL,Philippines,0.0018794991042632551,0.001208560652022865,0.0030880597562861203
SWE,Sweden,0.0016585790059155062,0.0013995570938993233,0.0030581360998148295
DOM,Dominican Republic,0.0019414475978947621,0.000962314844942195,0.0029037624428369575
PAK,Pakistan,0.002233633596035111,0.00040872749015097927,0.00264236108618609
ECU,Ecuador,0.000797114451470265,0.0018136892748763563,0.0026108037263466214
HUN,Hungary,0.0016529187398988431,0.0009425726791880438,0.002595491419086887
HND,Honduras,0.0020859681521553635,0.0005081043002560869,0.0025940724524114505
GTM,Guatemala,0.0019329784977609448,0.0005602024685301413,0.0024931809662910864
POL,Poland,0.0012831173985021708,0.0011589991214564592,0.00244211651995863
DNK,Denmark,0.0013875429240392664,0.0009176633833513054,0.002305206307390572
ZAF,South Africa,0.0009035264675065648,0.001400965421881561,0.0023044918893881257
