BEA_Code,BEA_Description,Direct,Indirect,Total
315AL,Apparel and leather and allied products,0.08442127921073,0.0010013462637756116,0.08542262547450562
3254,Pharmaceutical and medicine manufacturing,0.06997385286225,0.015105500077909999,0.08507935294016
311,Food manufacturing,0.03515070242601,0.02819616041863,0.06334686284464
336112,Light truck and utility vehicle manufacturing,0.03217450097644,0.0206889203237,0.05286342130014
3399,Other miscellaneous manufacturing,0.03936845175255,0.0017622231400281148,0.041130674892578115
324,Petroleum and coal products,0.0067030685991277305,0.03348366087405,0.040186729473177724
622,Hospitals,0.0,0.03086273505835,0.03086273505835
335,"Electrical equipment, appliances, and components",0.02567711569453,0.001653965303349343,0.027331080997879342
3341,Computer and peripheral equipment manufacturing,0.02402109740068,0.0001372353929241776,0.02415833279360418
722,Food services and drinking places,0.0,0.02415404428912,0.02415404428912
3121,Beverage manufacturing,0.014400671657059999,0.007459486572014842,0.02186015822907484
111,Crop production,0.017223313515750002,0.00297598111773982,0.02019929463348982
337,Furniture and related products,0.01651793799901,0.0023695487629413177,0.01888748676195132
326,Plastics and rubber products,0.01413267941209,0.002294079267826104,0.016426758679916106
334X,Other computer and electronic product manufacturing,0.014919764774309998,0.00015300174622628413,0.015072766520536282
325X,Other chemical manufacturing,0.009617092395603166,0.004352148407970806,0.01396924080357397
336111,Automobile manufacturing,0.01346952120965,0.0003928138094458555,0.013862335019095855
3362BP,"Motor vehicle body, trailer, and parts manufacturing",0.006061015588696901,0.004620129100115584,0.010681144688812485
6211,Offices of physicians,0.0,0.010585861131560001,0.010585861131560001
313TT,Textile mills and textile product mills,0.008849963855056523,0.0013494441415522673,0.01019940799660879
332,Fabricated metal products,0.0068800779803331194,0.0013149996251374662,0.008195077605470585
3342,Communications equipment manufacturing,0.00804024186062745,0.00012536077570539839,0.008165602636332848
811,Repair and maintenance,0.0,0.007574352007962595,0.007574352007962595
624,Social assistance,0.0,0.007408371625578487,0.007408371625578487
3365AO,All other transportation equipment manufacturing,0.005297935646595877,0.0016518109295593185,0.006949746576155195
3391,Medical equipment and supplies manufacturing,0.005745311350389657,0.0006353176902561798,0.006380629040645837
61,Educational services,0.0,0.0061369509522684424,0.0061369509522684424
481,Air transportation,0.0,0.006062448684061364,0.006062448684061364
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",0.00557464122647995,8.034590877216192e-05,0.005654987135252112
713,"Amusements, gambling, and recreation industries",0.0,0.005461478481532418,0.005461478481532418
6213,Offices of other health practitioners,0.0,0.005193275331933992,0.005193275331933992
5171,Wired telecommunications carriers,0.0,0.005155429523036393,0.005155429523036393
Used,,0.0,0.00501487190265696,0.00501487190265696
3332OM,Other machinery,0.004321338625079975,0.0005782640581708928,0.004899602683250867
