ISO,country_name,total_effect_rank,direct_effect_rank,indirect_effect_rank,import_rank
CHN,China,1,1,3,2
MEX,Mexico,2,2,2,1
CAN,Canada,3,4,1,3
VNM,Vietnam,4,3,9,6
IRL,Ireland,5,5,7,9
DEU,Germany,6,7,4,4
JPN,Japan,7,8,5,5
IND,India,8,6,10,10
KOR,South Korea,9,10,6,7
ITA,Italy,10,9,14,11
TWN,Taiwan,11,12,8,8
THA,Thailand,12,15,12,14
ISR,Israel,13,17,13,22
CHE,Switzerland,14,16,15,13
FRA,France,15,11,18,15
SGP,Singapore,16,14,19,17
IDN,Indonesia,17,13,24,20
GBR,United Kingdom,18,18,16,12
BRA,Brazil,19,25,11,18
ESP,Spain,20,19,26,23
NLD,Netherlands,21,22,20,19
MYS,Malaysia,22,24,17,16
BEL,Belgium,23,23,27,21
KHM,Cambodia,24,20,56,35
BGD,Bangladesh,25,21,95,40
COL,Colombia,26,36,21,25
ARG,Argentina,27,28,25,47
TUR,Türkiye,28,26,30,27
AUS,Australia,29,27,29,28
CHL,Chile,30,42,23,29
CRI,Costa Rica,31,47,28,36
PER,Peru,32,31,35,38
SAU,Saudi Arabia,33,69,22,33
AUT,Austria,34,37,33,26
PHL,Philippines,35,34,40,31
SWE,Sweden,36,38,37,24
DOM,Dominican Republic,37,32,44,44
PAK,Pakistan,38,29,60,57
ECU,Ecuador,39,54,32,39
HUN,Hungary,40,39,45,34
HND,Honduras,41,30,55,55
GTM,Guatemala,42,33,54,58
POL,Poland,43,46,41,32
DNK,Denmark,44,44,47,37
ZAF,South Africa,45,51,36,30
NIC,Nicaragua,46,35,58,59
PRT,Portugal,47,41,51,48
NZL,New Zealand,48,48,48,54
IRQ,Iraq,49,82,31,46
SVN,Slovenia,50,45,53,50
JOR,Jordan,51,40,69,61
FIN,Finland,52,52,46,43
NOR,Norway,53,53,42,49
LKA,Sri Lanka,54,43,81,63
VEN,Venezuela,55,97,34,51
NGA,Nigeria,56,87,38,53
ARE,United Arab Emirates,57,63,43,45
CZE,Czechia,58,55,49,42
GUY,Guyana,59,124,39,56
SLV,El Salvador,60,49,82,68
EGY,Egypt,61,50,76,65
ROU,Romania,62,58,62,60
HKG,Hong Kong,63,57,67,52
TTO,Trinidad and Tobago,64,92,50,62
DZA,Algeria,65,76,52,66
SVK,Slovakia,66,56,77,41
RUS,Russia,67,66,63,64
GRC,Greece,68,59,66,69
LTU,Lithuania,69,62,71,70
MAR,Morocco,70,64,75,71
CIV,Cote d'Ivoire,71,68,72,86
KWT,Kuwait,72,95,59,75
URY,Uruguay,73,71,73,79
AGO,Angola,74,115,57,72
KAZ,Kazakhstan,75,101,61,67
QAT,Qatar,76,86,65,73
KEN,Kenya,77,60,109,90
ISL,Iceland,78,73,74,84
HTI,Haiti,79,61,145,95
BGR,Bulgaria,80,70,83,76
TUN,Tunisia,81,72,84,83
MMR,Myanmar,82,65,110,93
GHA,Ghana,83,81,68,82
LBY,Libya,84,208,64,77
MDG,Madagascar,85,67,99,91
UKR,Ukraine,86,78,78,81
BHS,Bahamas,87,96,70,74
OMN,Oman,88,77,80,78
HRV,Croatia,89,75,86,87
BHR,Bahrain,90,102,79,80
ETH,Ethiopia,91,74,101,98
SRB,Serbia,92,84,85,88
LAO,Laos,93,79,92,89
EST,Estonia,94,88,89,85
LVA,Latvia,95,89,91,94
FJI,Fiji,96,83,104,104
PRY,Paraguay,97,91,97,101
FRO,Faroe Islands,98,103,87,106
JAM,Jamaica,99,93,96,100
PAN,Panama,100,98,90,96
LSO,Lesotho,101,80,165,110
LUX,Luxembourg,102,105,88,92
MUS,Mauritius,103,94,100,112
BWA,Botswana,104,85,155,99
BOL,Bolivia,105,108,93,97
TZA,Tanzania,106,90,123,115
LBN,Lebanon,107,99,112,105
CMR,Cameroon,108,120,98,107
BRN,Brunei Darussalam,109,131,94,109
NAM,Namibia,110,104,114,103
SEN,Senegal,111,114,102,111
MDA,Moldova,112,100,127,122
UGA,Uganda,113,111,115,123
MOZ,Mozambique,114,107,120,114
LIE,Liechtenstein,115,117,105,108
NPL,Nepal,116,109,121,127
BIH,Bosnia and Herzegovina,117,110,124,116
LBR,Liberia,118,127,107,135
MAC,Macau,119,106,159,128
ALB,Albania,120,118,116,124
GEO,Georgia,121,123,111,120
ZMB,Zambia,122,113,138,119
ARM,Armenia,123,112,143,126
COD,DR Congo,124,141,106,102
GAB,Gabon,125,158,103,118
TGO,Togo,126,116,125,131
BLZ,Belize,127,121,122,132
MKD,North Macedonia,128,119,126,117
SUR,Suriname,129,133,113,130
MLT,Malta,130,129,119,113
GNQ,Equatorial Guinea,131,219,108,125
ZWE,Zimbabwe,132,122,130,136
REU,Reunion,133,134,117,143
PNG,Papua New Guinea,134,126,129,134
TCD,Chad,135,171,118,133
BEN,Benin,136,128,134,140
BRB,Barbados,137,125,146,141
MWI,Malawi,138,130,135,145
GRL,Greenland,139,144,128,151
PYF,French Polynesia,140,139,133,146
FLK,Falkland Islands,141,146,131,159
AZE,Azerbaijan,142,145,132,121
MCO,Monaco,143,132,150,142
RWA,Rwanda,144,135,142,153
CYP,Cyprus,145,137,141,138
MNG,Mongolia,146,140,136,155
SWZ,Eswatini,147,136,151,160
MHL,Marshall Islands,148,147,140,163
AFG,Afghanistan,149,138,152,161
SDN,Sudan,150,153,139,171
UZB,Uzbekistan,151,143,154,144
SLE,Sierra Leone,152,148,149,154
NCL,New Caledonia,153,190,137,150
BLR,Belarus,154,142,158,164
GRD,Grenada,155,154,148,169
SHN,St. Helena,156,157,147,174
COG,Congo Republic,157,185,144,147
VUT,Vanuatu,158,151,157,170
SYR,Syria,159,149,161,162
CUW,Curacao,160,169,153,152
CYM,Cayman Islands,161,167,156,139
TKM,Turkmenistan,162,152,171,168
KGZ,Kyrgyz Republic,163,156,163,166
MNE,Montenegro,164,150,173,167
YEM,Yemen,165,155,170,175
SMR,San Marino,166,161,160,156
SYC,Seychelles,167,164,162,178
GIN,Guinea,168,160,167,181
WSM,Samoa,169,159,175,183
TCA,Turks and Caicos Islands,170,172,164,172
MLI,Mali,171,170,166,185
KNA,St. Kitts and Nevis,172,168,169,165
TLS,Timor-Leste,173,163,174,182
MDV,Maldives,174,175,168,187
BDI,Burundi,175,162,181,192
BFA,Burkina Faso,176,165,178,189
CPV,Cabo Verde,177,166,182,190
VCT,St. Vincent and the Grenadines,178,182,172,177
LCA,St. Lucia,179,174,177,179
GUF,French Guiana,180,186,176,208
NER,Niger,181,180,183,176
COM,Comoros,182,178,186,207
NIU,Niue,183,179,188,191
BMU,Bermuda,184,173,193,158
ATG,Antigua and Barbuda,185,197,180,157
TON,Tonga,186,189,185,198
SOM,Somalia,187,194,184,200
MSR,Montserrat,188,187,189,184
MTQ,Martinique,189,177,203,199
IRN,Iran,190,176,204,180
BTN,Bhutan,191,212,179,196
MRT,Mauritania,192,188,191,197
GMB,Gambia,193,201,187,205
NRU,Nauru,194,181,201,203
DJI,Djibouti,195,184,197,148
VGB,British Virgin Islands,196,183,207,137
TJK,Tajikistan,197,203,190,188
AND,Andorra,198,193,196,195
MYT,Mayotte,199,195,194,206
FSM,"Micronesia, Fed. Sts.",200,199,195,201
SLB,Solomon Islands,201,196,200,211
SSD,South Sudan,202,205,192,217
ABW,Aruba,203,202,199,173
DMA,Dominica,204,204,198,202
CXR,Christmas Island,205,192,205,209
AIA,Anguilla,206,191,212,212
GLP,Guadeloupe,207,198,211,194
PLW,Palau,208,200,210,204
SXM,Sint Maarten,209,207,206,129
CAF,Central African Republic,210,211,202,210
CCK,Cocos (Keeling) Islands,211,209,208,213
ERI,Eritrea,212,206,214,215
KIR,Kiribati,213,214,209,216
STP,Sao Tome and Principe,214,215,213,218
GIB,Gibraltar,215,210,219,220
TUV,Tuvalu,216,213,216,221
VAT,Vatican,217,216,218,224
COK,Cook Islands,218,217,215,214
GNB,Guinea-Bissau,219,218,217,225
NFK,Norfolk Island,220,221,220,222
SJM,Svalbard and Jan Mayen Islands,221,220,221,227
PCN,Pitcairn,222,222,222,231
TKL,Tokelau,223,223,223,223
