BEA_Code,BEA_Description,Direct,Indirect,Total
315AL,Apparel and leather and allied products,0.11407044189803,0.0010979748254093963,0.11516841672343942
3399,Other miscellaneous manufacturing,0.08311680703164,0.0020757172961414255,0.08519252432778142
3254,Pharmaceutical and medicine manufacturing,0.0695486203298,0.0139329018943,0.08348152222409999
336112,Light truck and utility vehicle manufacturing,0.049986812556389995,0.025703437917179998,0.07569025047356999
311,Food manufacturing,0.03322167241039,0.03086431018862,0.06408598259901001
335,"Electrical equipment, appliances, and components",0.04380063643935,0.0019897904950990494,0.04579042693444905
622,Hospitals,0.0,0.03567936810959,0.03567936810959
3341,Computer and peripheral equipment manufacturing,0.03469062686767,0.00013381492041883712,0.034824441788088835
337,Furniture and related products,0.027716877801939998,0.0029448619478355644,0.030661739749775565
722,Food services and drinking places,0.0,0.026991175830680003,0.026991175830680003
326,Plastics and rubber products,0.02404124373226,0.002634848262117966,0.026676091994377968
336111,Automobile manufacturing,0.0235924626235,0.0004895590048294954,0.024082021628329498
324,Petroleum and coal products,0.005516700708830986,0.01794664369346,0.023463344402290986
3121,Beverage manufacturing,0.01105209302574,0.008169743778521919,0.01922183680426192
332,Fabricated metal products,0.01495676937996,0.0017329148307295805,0.01668968421068958
111,Crop production,0.012891437517169998,0.0036061950091460094,0.016497632526316006
334X,Other computer and electronic product manufacturing,0.0159761080622,0.0002141979075377644,0.016190305969737764
313TT,Textile mills and textile product mills,0.01438164389525,0.0015964734150790488,0.01597811731032905
3342,Communications equipment manufacturing,0.01486505158272,0.00016542078892532402,0.015030472371645325
325X,Other chemical manufacturing,0.009904147538605865,0.0046842525967847794,0.014588400135390645
3362BP,"Motor vehicle body, trailer, and parts manufacturing",0.0078065938075214955,0.005766937547136501,0.013573531354657997
3365AO,All other transportation equipment manufacturing,0.00958038082070108,0.0022034438035789905,0.01178382462428007
6211,Offices of physicians,0.0,0.011708991361199999,0.011708991361199999
624,Social assistance,0.0,0.009668805463933871,0.009668805463933871
811,Repair and maintenance,0.0,0.00901446551402556,0.00901446551402556
3391,Medical equipment and supplies manufacturing,0.0075808757940834925,0.0007596458757522255,0.008340521669835718
3332OM,Other machinery,0.006654552575292459,0.00073198117124901,0.007386533746541469
61,Educational services,0.0,0.006693770046398508,0.006693770046398508
3345,"Navigational, measuring, electromedical, and control instruments manufacturing",0.006373641537486165,9.431524643489156e-05,0.006467956783921057
327,Nonmetallic mineral products,0.005919214436882678,0.0004182225640924419,0.0063374370009751215
713,"Amusements, gambling, and recreation industries",0.0,0.00607221648891186,0.00607221648891186
Used,,0.0,0.005926181210594515,0.005926181210594515
5171,Wired telecommunications carriers,0.0,0.005813505928269052,0.005813505928269052
HSO,Owner-occupied housing,0.0,0.0053808269066856415,0.0053808269066856415
623,Nursing and residential care facilities,0.0,0.005319053767980223,0.005319053767980223
6215OH,Other ambulatory health care services,0.0,0.004982492443185266,0.004982492443185266
6213,Offices of other health practitioners,0.0,0.004912351872693632,0.004912351872693632
5172,Wireless telecommunications carriers (except satellite),0.0,0.004605388044341409,0.004605388044341409
812,Personal and laundry services,0.0,0.004441326647751467,0.004441326647751467
481,Air transportation,0.0,0.004398929696193431,0.004398929696193431
721,Accommodation,0.0,0.004169956610908513,0.004169956610908513
813,"Religious, grantmaking, civic, professional, and similar organizations",0.0,0.004018146698236561,0.004018146698236561
2211,"Electric power generation, transmission, and distribution",0.0,0.003911849287502882,0.003911849287502882
322,Paper products,0.0019389014717741196,0.0018013492151988466,0.0037402506869729664
GSLE,State and local government enterprises,0.0,0.0037163055250677016,0.0037163055250677016
6214,Outpatient care centers,0.0,0.003554268334030165,0.003554268334030165
3122,Tobacco manufacturing,0.001380969069877283,0.0020464576261838134,0.0034274266960610963
2212NW,"Natural gas distribution and water, sewage and other systems",0.0,0.003040944290435637,0.003040944290435637
113FF,"Forestry, fishing, and related activities",0.002643555022602228,6.591997774287323e-05,0.0027094750003451014
525,"Funds, trusts, and other financial vehicles",0.0,0.002648082779950437,0.002648082779950437
523,"Securities, commodity contracts, and investments",0.0,0.00208992913397946,0.00208992913397946
6212,Offices of dentists,0.0,0.0020643125480414495,0.0020643125480414495
521CI,"Federal reserve banks, credit intermediation, and related activities",0.0,0.0020516310884554517,0.0020516310884554517
321,Wood products,0.0018619577468215712,0.00012488996333120492,0.001986847710152776
562,Waste management and remediation services,0.0,0.0017001286277594316,0.0017001286277594316
518,"Data processing, hosting, and related services",0.0,0.0016375677490088432,0.0016375677490088432
5241X,"Insurance carriers, except direct life",0.0,0.0015318019404961705,0.0015318019404961705
112,Animal production and aquaculture,0.000853021377452449,0.0006567328329966761,0.0015097542104491252
5617,Services to buildings and dwellings,0.0,0.0014897597659473505,0.0014897597659473505
541X,"Specialized design services and other professional, scientific, and technical services",0.0,0.0014299651045204232,0.0014299651045204232
532RL,Rental and leasing services and lessors of intangible assets,0.0,0.0013776227391226565,0.0013776227391226565
485,Transit and ground passenger transportation,0.0,0.001264365787509438,0.001264365787509438
5111,"Newspaper, periodical, book, and directory publishers",0.0,0.0011663417609166092,0.0011663417609166092
561X,Other administrative and support services,0.0,0.0009767036475639103,0.0009767036475639103
711AS,"Performing arts, spectator sports, museums, and related activities",0.0,0.0008563720618017361,0.0008563720618017361
HST,Tenant-occupied housing,0.0,0.0008497082787323892,0.0008497082787323892
519,Other information services,0.0,0.0007879022421972955,0.0007879022421972955
3311IS,Iron and steel mills and manufacturing from purchased steel,0.0005727357006680199,0.00010527477305201534,0.0006780104737200353
483,Water transportation,0.0,0.0006703407638491635,0.0006703407638491635
5411,Legal services,0.0,0.0006018571319371172,0.0006018571319371172
323,Printing and related support activities,0.0003889540973092976,0.0001888509821379576,0.0005778050794472552
524113,Direct life insurance carriers,0.0,0.00048577027426209107,0.00048577027426209107
5112,Software publishers,0.0,0.0004689459580690189,0.0004689459580690189
5174OT,"Other telecommunications, including satellite",0.0,0.00046582243859618006,0.00046582243859618006
3251,Basic chemical manufacturing,0.0004049673872961361,4.280708048081523e-05,0.0004477744677769513
48A,Scenic and sightseeing transportation and support activities,0.0,0.00038406811048592764,0.00038406811048592764
3364,Aerospace product and parts manufacturing,0.00022215200102759225,0.00013989379336838,0.00036204579439597226
515,Broadcasting (except internet),0.0,0.0003542045495816383,0.0003542045495816383
484,Truck transportation,0.0,0.0002726372239795626,0.0002726372239795626
5417,Scientific research and development services,0.0,0.0002275525203762009,0.0002275525203762009
33311,Agricultural implement manufacturing,3.380875293937001e-05,0.00018172974674540352,0.00021553849968477352
5412,"Accounting, tax preparation, bookkeeping, and payroll services",0.0,0.00017613877732774294,0.00017613877732774294
454,Nonstore retailers,0.0,0.00016908227221718763,0.00016908227221718763
492,Couriers and messengers,0.0,0.0001690585286538435,0.0001690585286538435
512,Motion picture and sound recording industries,0.0,0.0001491405439951027,0.0001491405439951027
GFE,Federal government enterprises,0.0,0.00014723371673782778,0.00014723371673782778
ORE,Other real estate,0.0,0.0001368975200767738,0.0001368975200767738
3344,Semiconductor and other electronic component manufacturing,6.16034432755019e-05,6.552478204449103e-06,6.815592147995099e-05
482,Rail transportation,0.0,3.188394010781151e-05,3.188394010781151e-05
212,"Mining, except oil and gas",1.810458236766017e-05,4.338953323626479e-06,2.2443535691286646e-05
