NIPA_Line,Description,Direct,Indirect,Total
122,Pharmaceutical products,0.06998119687393,0.01521062750414,0.08519182437806999
9,New light trucks,0.03217450097644,0.0206889203237,0.05286342130014
115,Gasoline and other motor fuel,0.006064539908567163,0.03029403543356,0.036358575342127164
106,Women's and girls' clothing,0.033071178283,0.0004043330708821513,0.03347551135388215
107,Men's and boys' clothing,0.02378232736996,0.0002629222676322107,0.02404524963759221
49,Personal computers/tablets and peripheral equipment,0.02194606973294,0.00012757349069975177,0.022073643223639753
184,Nonprofit hospitals' services to households,0.0,0.02025021369977,0.02025021369977
112,Shoes and other footwear,0.01818297241327,0.0002138854270598315,0.018396857840329833
30,Major household appliances,0.01693602775285,0.0012558084439736562,0.018191836196823657
25,Furniture,0.01565560369753,0.002299494984320721,0.01795509868185072
95,"Food products, not elsewhere classified",0.008055625774288042,0.005921239186193751,0.013976864960481793
52,"Sporting equipment, supplies, guns, and ammunition",0.01218297362028,0.001284733443353587,0.013467707063633587
174,Physician services,0.0,0.01184168426801,0.01184168426801
127,"Games, toys, and hobbies",0.0118164221917,-0.00016439740299424303,0.011652024788705756
138,"Hair, dental, shaving, and miscellaneous personal care products except electrical products",0.009507917867650581,0.0019744868620188783,0.011482404729669458
242,Meals at limited service eating places,0.0,0.01046833672167,0.01046833672167
7,New domestic autos,0.009978536760251115,0.00030168051316948317,0.0102802172734206
243,Meals at other eating places,0.0,0.009397107885618301,0.009397107885618301
98,"Mineral waters, soft drinks, and vegetable juices",0.005995028815631672,0.003208641662869666,0.009203670478501338
64,Jewelry,0.008192639541092726,0.0007068675343322503,0.008899507075424976
342,Final consumption expenditures of nonprofit institutions serving households (NPISHs),0.0,0.008129238236570534,0.008129238236570534
41,Televisions,0.00784648864305882,8.046550882622838e-05,0.00792695415188505
71,Telephone and related communication equipment,0.007618079496784166,0.00011877856060261909,0.0077368580573867855
92,Vegetables (fresh),0.006526514077863021,0.001127703019666892,0.0076542170975299135
70,Luggage and similar personal items,0.00732338024273226,0.00011305191155401417,0.007436432154286274
78,Bakery products,0.00399450262312392,0.003204193059621565,0.007198695682745485
91,Fruit (fresh),0.005805949899906202,0.0010031982090357684,0.006809148108941971
22,Accessories and parts,0.004529108127922778,0.0022556161367014434,0.006784724264624222
192,Motor vehicle maintenance and repair,0.0,0.006757987489995104,0.006757987489995104
34,Nonelectric cookware and tableware,0.005468483988242805,0.0009453529413121209,0.006413836929554926
21,Tires,0.005404562026026739,0.0008771075069913394,0.006281669533018078
186,Government hospitals,0.0,0.006210288076602823,0.006210288076602823
180,Specialty outpatient care facilities and health and allied services,0.0,0.0060312469622061295,0.0060312469622061295
102,Beer,0.003731631284029238,0.0019329691085117945,0.005664600392541033
43,Audio equipment,0.005361065553478811,9.158871219506112e-05,0.005452654265673872
129,"Flowers, seeds, and potted plants",0.00468596951447967,0.0006173389262039761,0.0053033084406836455
59,Other recreational vehicles,0.0029999867752959625,0.002256040227529635,0.005256027002825598
139,Cosmetic / perfumes / bath / nail preparations and implements,0.003621623580222182,0.0016263944759055727,0.0052480180561277545
134,Household linens,0.004528912858835759,0.0007020970313070965,0.005231009890142855
67,Therapeutic medical equipment,0.004912891417242618,0.0002670405392312234,0.005179931956473842
26,"Clocks, lamps, lighting fixtures, and other household decorative items",0.004392095544510495,0.000778356074886251,0.005170451619396746
128,Pets and related products,0.00331257410254045,0.0018217150469953007,0.005134289149535751
83,Poultry,0.0027914827875594314,0.002239189861128677,0.005030672648688108
33,Dishes and flatware,0.00432928230395414,0.0005332275557872729,0.004862509859741413
170,Electricity,0.0,0.004669965383925532,0.004669965383925532
87,Processed dairy products,0.002534931717740748,0.00203339724189424,0.004568328959634988
162,Owner-occupied stationary homes,0.0,0.004456319725709046,0.004456319725709046
207,Air transportation,0.0,0.004425899574416963,0.004425899574416963
94,Sugar and sweets,0.0024541275839273253,0.0019685801497098766,0.004422707733637202
101,Wine,0.0027920315673525386,0.0014462604579343363,0.004238292025286875
77,Cereals,0.0024305087008587526,0.0017973963353082973,0.00422790503616705
42,Other video equipment,0.004094738930319992,3.9908969274366706e-05,0.004134647899594358
80,Beef and veal,0.0022657216076298133,0.0018174501646776974,0.0040831717723075105
57,Pleasure boats,0.0030173421954603472,0.0009942304439295162,0.004011572639389864
133,Household paper products,0.0026706633913474265,0.0013380090330149727,0.004008672424362399
68,Corrective eyeglasses and contact lenses,0.003116111285175524,0.000875797797577155,0.003991909082752679
285,Cellular telephone services,0.0,0.003916549253987213,0.003916549253987213
185,Proprietary hospitals,0.0,0.0039120270986678285,0.0039120270986678285
132,Household cleaning products,0.002831019583283213,0.0010798594815260628,0.003910879064809277
17,Used light trucks,0.0,0.003682160629721276,0.003682160629721276
36,"Tools, hardware, and supplies",0.003061896978376304,0.0005877147208809409,0.0036496116992572455
8,New foreign autos,0.0035055455557827207,0.00010223278782663019,0.0036077783436093513
27,Carpets and other floor coverings,0.0028467601735376203,0.0004918890690202612,0.0033386492425578817
246,Food furnished to employees (including military),0.001968570450368568,0.0013516261332537042,0.003320196583622272
245,Alcohol in purchased meals,0.0,0.0032784575998173735,0.0032784575998173735
167,Water supply and sewage maintenance,0.0,0.0032151350572527035,0.0032151350572527035
82,Other meats,0.001817270667868719,0.0013232322482598319,0.003140502916128551
141,Tobacco,0.0013956922381702385,0.0017359554856792216,0.0031316477238494604
81,Pork,0.0016840633666695133,0.0013508726018122788,0.003034935968481792
227,Casino gambling,0.0,0.002906175509308514,0.002906175509308514
100,Spirits,0.0018922359670435125,0.0010071019218929592,0.0028993378889364714
177,Home health care,0.0,0.0027262896436454657,0.0027262896436454657
93,Processed fruits and vegetables,0.001611259534019183,0.0011063667675784985,0.0027176263015976816
140,Electric appliances for personal care,0.0025353896545709546,0.00016331454704716336,0.0026987042016181177
31,Small electric household appliances,0.002421074415949929,0.00015458188818422123,0.0025756563041341505
108,Children's and infants' clothing,0.0021718347409973937,0.0002901265121785214,0.0024619612531759155
219,"Cable, satellite, and other live television services",0.0,0.002455832459793213,0.002455832459793213
65,Watches,0.002409992092578754,3.4734612855836016e-05,0.0024447267054345896
212,"Amusement parks, campgrounds, and related recreational services",0.0010552859475142053,0.0013766227822869638,0.002431908729801169
54,Motorcycles,0.0018728196094197251,0.0005252109589161071,0.002398030568335832
335,Passenger fares for foreign travel,0.0,0.002348062581499521,0.002348062581499521
144,Stationery and miscellaneous printed materials,0.0018218182983242488,0.00038488203511478355,0.0022067003334390323
320,Individual and family services,0.0,0.0021898333468599904,0.0021898333468599904
189,Proprietary and government nursing homes,0.0,0.0021864733438699247,0.0021864733438699247
28,Window coverings,0.0018797842834245748,0.00027838647339282395,0.0021581707568173987
250,Hotels and motels,0.0,0.002145205108786165,0.002145205108786165
118,Fuel oil,0.0003404016370135214,0.0017003992732844415,0.002040800910297963
