Country,naics_2024,naics_2022_mapped,impVal,continent,hs_code_count,manual_bea_2024,manual_bea_2022,bea_2024,bea_2024_match_level,bea_2022,bea_2022_match_level,mapping_discrepancy
Ireland,325411,325412,15976324299.0,Europe,8,,,325411,exact,325412,exact,both_mapped_different
Vietnam,334413,335999,4467658012.0,Asia,1,,,334413,exact,335999,exact,both_mapped_different
Ireland,325998,325199,4024378551.0,Europe,7,,,3259A0,level_5,325190,level_5,both_mapped_different
Mexico,335999,335929,3536407460.0,North_America,10,,,335999,exact,335920,level_5,both_mapped_different
Thailand,334413,335999,2765205406.0,Asia,1,,,334413,exact,335999,exact,both_mapped_different
Mexico,336120,333120,2753136387.0,North_America,1,,,336120,level_5,333120,level_5,both_mapped_different
China,335999,335929,2733087741.0,Asia,10,,,335999,exact,335920,level_5,both_mapped_different
Canada,930000,336411,1509442559.0,North_America,6,,,S00300,noncomparable_imports,336411,exact,both_mapped_different
Singapore,334510,339113,1485230935.0,Asia,1,,,334510,exact,339113,exact,both_mapped_different
China,332439,332999,1305004642.0,Asia,1,,,332430,level_5,332999,exact,both_mapped_different
Cambodia,334413,335999,1276149764.0,Asia,1,,,334413,exact,335999,exact,both_mapped_different
France,930000,336411,1249683777.0,Europe,6,,,S00300,noncomparable_imports,336411,exact,both_mapped_different
Singapore,325411,325412,1176833572.0,Asia,8,,,325411,exact,325412,exact,both_mapped_different
Germany,930000,336411,1158474550.0,Europe,5,,,S00300,noncomparable_imports,336411,exact,both_mapped_different
China,337127,337124,1064154738.0,Asia,5,,,337127,exact,33712N,exact,both_mapped_different
Thailand,335312,334419,993264228.0,Asia,1,,,335312,exact,33441A,exact,both_mapped_different
Malaysia,334413,335999,950411090.0,Asia,1,,,334413,exact,335999,exact,both_mapped_different
Canada,336120,333120,876099963.0,North_America,2,,,336120,level_5,333120,level_5,both_mapped_different
Portugal,325411,325412,832843976.0,Europe,9,,,325411,exact,325412,exact,both_mapped_different
Germany,333120,333924,830639490.0,Europe,2,,,333120,level_5,333920,level_5,both_mapped_different
China,339930,339910,794855327.0,Asia,2,,,339930,level_5,339910,level_5,both_mapped_different
Vietnam,335999,335929,793014536.0,Asia,10,,,335999,exact,335920,level_5,both_mapped_different
India,334413,335999,790065562.0,Asia,1,,,334413,exact,335999,exact,both_mapped_different
Italy,325411,325412,730057369.0,Europe,48,,,325411,exact,325412,exact,both_mapped_different
Taiwan,334111,334118,709702623.0,Asia,1,,,334111,exact,334118,exact,both_mapped_different
China,326199,314120,692474612.0,Asia,2,,,326190,level_5,314120,level_5,both_mapped_different
Canada,331313,331314,681232471.0,North_America,2,,,331313,exact,331314,exact,both_mapped_different
China,334510,339113,660555542.0,Asia,1,,,334510,exact,339113,exact,both_mapped_different
Argentina,325411,325412,650403211.0,South_America,2,,,325411,exact,325412,exact,both_mapped_different
China,332996,332919,647197315.0,Asia,37,,,332996,exact,33291A,exact,both_mapped_different
China,337215,337127,634498105.0,Asia,1,,,337215,exact,337127,exact,both_mapped_different
Mexico,334111,334118,631699635.0,North_America,1,,,334111,exact,334118,exact,both_mapped_different
Japan,325998,334413,609364874.0,Asia,1,,,3259A0,level_5,334413,exact,both_mapped_different
China,325411,325412,586649019.0,Asia,60,,,325411,exact,325412,exact,both_mapped_different
Thailand,334111,334118,583813022.0,Asia,1,,,334111,exact,334118,exact,both_mapped_different
China,334511,339930,579500186.0,Asia,1,,,334511,exact,339930,level_5,both_mapped_different
Vietnam,337127,337124,578263918.0,Asia,5,,,337127,exact,33712N,exact,both_mapped_different
United Arab Emirates,331313,331314,555278849.0,Asia,2,,,331313,exact,331314,exact,both_mapped_different
Mexico,336612,336611,528852857.0,North_America,2,,,336612,exact,336611,exact,both_mapped_different
Mexico,334510,339113,528797363.0,North_America,1,,,334510,exact,339113,exact,both_mapped_different
China,333924,336999,526219163.0,Asia,1,,,333920,level_5,336999,exact,both_mapped_different
Japan,335312,334419,516849035.0,Asia,1,,,335312,exact,33441A,exact,both_mapped_different
China,339113,322291,513570314.0,Asia,2,,,339113,exact,322291,exact,both_mapped_different
Italy,335312,334419,490581850.0,Europe,1,,,335312,exact,33441A,exact,both_mapped_different
Vietnam,321911,337215,482353532.0,Asia,1,,,321910,level_5,337215,exact,both_mapped_different
China,335220,333414,454837790.0,Asia,7,,,335220,exact,333414,exact,both_mapped_different
China,333923,333999,448704672.0,Asia,2,,,333920,level_5,33399A,exact,both_mapped_different
"Korea, South",332996,332919,441374276.0,Asia,34,,,332996,exact,33291A,exact,both_mapped_different
Canada,335999,335929,439514560.0,North_America,10,,,335999,exact,335920,level_5,both_mapped_different
Australia,334510,339113,428261485.0,Oceana,1,,,334510,exact,339113,exact,both_mapped_different
Mexico,111335,115114,427524339.0,North_America,2,,,111300,level_4,115000,level_3,both_mapped_different
India,332996,332919,423060156.0,Asia,37,,,332996,exact,33291A,exact,both_mapped_different
Indonesia,334413,335999,403692795.0,Asia,1,,,334413,exact,335999,exact,both_mapped_different
Taiwan,335999,335929,399797119.0,Asia,10,,,335999,exact,335920,level_5,both_mapped_different
"Korea, South",335999,335929,393953824.0,Asia,10,,,335999,exact,335920,level_5,both_mapped_different
Mexico,333415,335312,385721271.0,North_America,1,,,333415,exact,335312,exact,both_mapped_different
China,990000,333111,377312106.0,Asia,1,,,S00300,noncomparable_imports,333111,exact,both_mapped_different
China,339113,337127,371802165.0,Asia,1,,,339113,exact,337127,exact,both_mapped_different
Germany,332996,332919,362636954.0,Europe,36,,,332996,exact,33291A,exact,both_mapped_different
India,335312,334419,360958110.0,Asia,1,,,335312,exact,33441A,exact,both_mapped_different
China,339940,326199,358809145.0,Asia,1,,,339940,level_5,326190,level_5,both_mapped_different
Germany,325998,325199,352085520.0,Europe,9,,,3259A0,level_5,325190,level_5,both_mapped_different
China,334111,334118,332692114.0,Asia,1,,,334111,exact,334118,exact,both_mapped_different
Canada,325180,325130,329453232.0,North_America,4,,,325180,level_5,325130,level_5,both_mapped_different
Japan,331210,331110,320176713.0,Asia,53,,,331200,level_4,331110,level_4,both_mapped_different
Poland,335999,335929,313964751.0,Europe,10,,,335999,exact,335920,level_5,both_mapped_different
Mexico,332996,332919,311569790.0,North_America,34,,,332996,exact,33291A,exact,both_mapped_different
China,339113,315280,306411505.0,Asia,6,,,339113,exact,315000,level_3,both_mapped_different
Brazil,930000,336411,301165677.0,South_America,2,,,S00300,noncomparable_imports,336411,exact,both_mapped_different
Italy,332996,332919,294665519.0,Europe,37,,,332996,exact,33291A,exact,both_mapped_different
China,336390,336214,291909232.0,Asia,3,,,336390,level_5,336214,exact,both_mapped_different
China,322230,323111,289018290.0,Asia,3,,,322230,level_5,323110,level_5,both_mapped_different
China,334419,333314,286585043.0,Asia,3,,,33441A,exact,333314,exact,both_mapped_different
Germany,335999,335929,279741248.0,Europe,10,,,335999,exact,335920,level_5,both_mapped_different
China,335312,334419,274799089.0,Asia,1,,,335312,exact,33441A,exact,both_mapped_different
Switzerland,325411,325412,273124563.0,Europe,19,,,325411,exact,325412,exact,both_mapped_different
Denmark,325411,325412,269023610.0,Europe,8,,,325411,exact,325412,exact,both_mapped_different
Taiwan,337127,337124,268165526.0,Asia,5,,,337127,exact,33712N,exact,both_mapped_different
Bahrain,331313,331314,253887244.0,Asia,1,,,331313,exact,331314,exact,both_mapped_different
Malaysia,339930,336411,248078358.0,Asia,3,,,339930,level_5,336411,exact,both_mapped_different
Germany,335312,334419,244106126.0,Europe,1,,,335312,exact,33441A,exact,both_mapped_different
Laos,334413,335999,241756592.0,Asia,1,,,334413,exact,335999,exact,both_mapped_different
Mexico,327991,327390,240501051.0,North_America,3,,,327991,exact,327390,level_5,both_mapped_different
Philippines,335999,335929,238353402.0,Asia,9,,,335999,exact,335920,level_5,both_mapped_different
China,339999,335999,236695092.0,Asia,2,,,339990,level_5,335999,exact,both_mapped_different
United Kingdom,325411,325412,234523525.0,Europe,33,,,325411,exact,325412,exact,both_mapped_different
Mexico,325620,325611,233475319.0,North_America,1,,,325620,level_5,325610,level_5,both_mapped_different
Japan,325998,325199,230637418.0,Asia,9,,,3259A0,level_5,325190,level_5,both_mapped_different
Japan,333996,333618,230591520.0,Asia,1,,,33399B,exact,333618,exact,both_mapped_different
Mexico,321911,337215,229805893.0,North_America,1,,,321910,level_5,337215,exact,both_mapped_different
Brazil,325199,325998,229317300.0,South_America,11,,,325190,level_5,3259A0,level_5,both_mapped_different
Mexico,334413,335999,221387673.0,North_America,1,,,334413,exact,335999,exact,both_mapped_different
Thailand,335999,335929,220071576.0,Asia,10,,,335999,exact,335920,level_5,both_mapped_different
Canada,321911,337215,219393508.0,North_America,1,,,321910,level_5,337215,exact,both_mapped_different
Taiwan,332996,332919,216150975.0,Asia,35,,,332996,exact,33291A,exact,both_mapped_different
Indonesia,325998,325411,213611979.0,Asia,3,,,3259A0,level_5,325411,exact,both_mapped_different
India,325411,325412,212793650.0,Asia,69,,,325411,exact,325412,exact,both_mapped_different
China,325320,325199,211485566.0,Asia,6,,,325320,level_5,325190,level_5,both_mapped_different
China,339113,326199,211010567.0,Asia,2,,,339113,exact,326190,level_5,both_mapped_different
