"Use Table, After Redefinitions"
"Use Table, After Redefinitions"
"March 15, 2024"
,Commodities/Industries,111,112,113FF,211,212,213,2211,2212NW,23EH,23MR,23OC,23OR,23OT,23PC,23SF,23TH,321,327,3311IS,3313NF,332,33311,33312,33313,3332OM,3341,3342,3344,3345,334X,335,336111,336112,33612,3362BP,3364,3365AO,337,3391,3399,311,3121,3122,313TT,315AL,322,323,324,3251,3252,3254,325X,326,4231,4234,4236,4238,423X,4242,4244,4247,424X,425,42ID,441,445,452,444,446,447,448,454,4A0X,481,482,483,484,485,486,48A,492,493,5111,5112,512,515,5171,5172,5174OT,518,519,521CI,523,524113,5241XX,5242,525,HSO,HST,ORE,532RL,5411,5415,5412,5413,5416,5417,5418,541X,55,5613,5617,561X,562,61,6211,6212,6213,6214,6215OH,622,623,624,711AS,713,721,722,811,812,813,814,GFGD,GFGN,GFE,GSLGE,GSLGH,GSLGO,GSLE,,F010,F02E,F02N,F02R,F02S,F030,F040,F050,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,TOTFU,
,Name,Crop production,Animal production and aquaculture,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,"Electric power generation, transmission, and distribution","Natural gas distribution and water, sewage and other systems","Education, hospital, and health structures",Maintenance and repair construction,Office and commercial structures,Other residential construction,Other nonresidential structures,Power and communication structures,Single-family residential structures,Transportation structures and highways and streets,Wood products,Nonmetallic mineral products,Iron and steel mills and manufacturing from purchased steel,Nonferrous metal production and processing and foundries,Fabricated metal products,Agricultural implement manufacturing,Construction machinery manufacturing,Mining and oil and gas field machinery manufacturing,Other machinery,Computer and peripheral equipment manufacturing,Communications equipment manufacturing,Semiconductor and other electronic component manufacturing,"Navigational, measuring, electromedical, and control instruments manufacturing",Other computer and electronic product manufacturing,"Electrical equipment, appliances, and components",Automobile manufacturing,Light truck and utility vehicle manufacturing,Heavy duty truck manufacturing,"Motor vehicle body, trailer, and parts manufacturing",Aerospace product and parts manufacturing,All other transportation equipment manufacturing,Furniture and related products,Medical equipment and supplies manufacturing,Other miscellaneous manufacturing,Food manufacturing,Beverage manufacturing,Tobacco product manufacturing,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Basic chemical manufacturing,"Resin, rubber, and artificial fibers manufacturing",Pharmaceutical and medicine manufacturing,Other chemical manufacturing,Plastics and rubber products,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,Professional and commercial equipment and supplies merchant wholesalers,Household appliances and electrical and electronic goods merchant wholesalers,"Machinery, equipment, and supplies merchant wholesalers",Other durable goods merchant wholesalers,Drugs and druggists sundries merchant wholesalers,Grocery and related products merchant wholesalers,Petroleum and petroleum products merchant wholesalers,Other nondurable goods merchant wholesalers,Wholesale electronic markets and agents and brokers,Customs duties,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Building material and garden equipment and supplies dealers,Health and personal care stores,Gasoline stations,Clothing and clothing accessories stores,Nonstore retailers,All other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Scenic and sightseeing transportation and support activities,Couriers and messengers,Warehousing and storage,"Newspaper, periodical, book, and directory publishers",Software publishers,Motion picture and sound recording industries,Broadcasting (except Internet),Wired telecommunications carriers,Wireless telecommunications carriers (except satellites),"Other telecommunications, including satellite","Data processing, hosting, and related services",Other information services,"Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Direct life insurance carriers,"Insurance Carriers, except Direct Life Insurance","Agencies, brokerages, and other insurance related activities","Funds, trusts, and other financial vehicles",Owner-occupied housing,Tenant-occupied housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Accounting, tax preparation, bookkeeping, and payroll services","Architectural, engineering, and related services","Management, scientific, and technical consulting services",Scientific research and development services,"Advertising, public relations, and related services","Specialized design services and other professional, scientific, and technical services",Management of companies and enterprises,Employment services,Services to buildings and dwellings,Other administrative and support services,Waste management and remediation services,Educational services,Offices of physicians,Offices of dentists,Offices of other health practitioners,Outpatient care centers,Other ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,Repair and maintenance,Personal and laundry services,"Religious, grantmaking, civic, professional, and similar organizations",Private households,Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local government educational services,State and local government hospitals and health services,State and local government other services,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,Imports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total Final Uses,Total Commodity Output
111,Crop production,22718,8602,68,0,22,21,0,0,30,559,53,524,54,25,202,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,65404,4828,1128,1324,0,0,0,0,13066,0,26,0,0,0,1,0,0,0,0,2,2,45,1,0,602,296,3,0,0,354,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,11,15,10,194,24,0,4,0,1778,2,0,102,0,0,0,0,0,0,0,0,0,58,21,387,0,0,14,0,0,-345,0,370,150,1765,0,124836,66783,0,0,0,0,-13686,35868,-36051,0,0,0,0,0,0,0,0,0,0,0,0,52914,177750
112,Animal production and aquaculture,776,50483,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,140255,2,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0,0,18,0,0,10,0,50,0,0,0,0,0,0,0,0,0,401,23,3875,0,0,1,0,13,0,0,30,163,374,0,197754,11006,0,0,0,0,-160,2249,-7139,0,0,0,0,0,0,0,0,0,0,0,0,5956,203710
113FF,"Forestry, fishing, and related activities",21180,3228,5666,0,84,0,0,0,0,0,0,0,0,0,0,0,11109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,217,7720,103,0,0,153,2627,18,0,164,6,0,122,1605,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,23,0,2,0,0,50,0,0,0,0,0,0,0,0,0,211,376,4807,0,0,85,0,0,0,15,64,305,3118,0,64131,6487,0,0,0,0,1941,5391,-17952,0,0,0,0,0,0,0,0,0,0,0,0,-4133,59998
211,Oil and gas extraction,0,0,0,15745,0,0,6570,5382,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279086,3534,6,1,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,27,0,19,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,1,0,0,0,1,60,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1029,0,0,0,12915,324450,0,0,0,0,0,5644,76148,-136971,0,0,0,0,0,0,0,0,0,0,0,0,-55179,269271
212,"Mining, except oil and gas",864,353,0,80,6388,148,4530,87,224,3187,1827,2898,1091,412,2723,2742,9,8999,4622,2820,486,47,0,25,32,0,6,0,0,0,78,0,6,0,63,100,3,13,55,29,994,108,31,38,0,1240,0,3244,3021,55,6,1838,119,0,2,0,0,11,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,111,0,5,1,0,1,0,1,17,0,27,85,147,11,31,32,760,0,0,0,0,0,0,2,3,0,0,0,0,0,574,0,697,0,0,34,0,540,296,50,329,0,0,0,0,0,20,27,99,260,657,145,692,146,822,185,0,0,2189,0,237,288,1442,4552,71176,174,57,0,0,0,536,19638,-5758,0,0,0,0,0,0,0,0,0,0,0,0,14647,85823
213,Support activities for mining,0,0,0,21121,1253,3888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26295,0,3041,0,0,117450,-130,2495,-751,0,0,0,0,0,0,0,0,0,0,0,0,122105,148400
2211,"Electric power generation, transmission, and distribution",1682,1722,44,4511,4096,733,24482,1428,623,1308,884,2057,761,369,1568,737,1673,3317,2439,2421,4014,147,118,113,1687,12,74,956,318,0,647,62,317,36,2311,2263,403,505,417,426,6222,997,232,873,18,4842,1157,6158,5698,2433,863,1931,4861,1046,979,1049,1360,2649,1197,2219,409,3052,513,0,3915,9600,8122,2030,1801,5227,1789,3014,2825,271,27,123,3798,323,1148,672,262,2058,221,496,491,438,2538,2052,157,2728,2094,2487,1217,53,296,231,5,0,353,37757,849,570,797,368,881,391,2122,472,710,5317,259,799,1536,555,668,1435,402,307,1217,350,8279,3312,1242,930,3230,6590,21343,2216,2672,1445,0,2011,404,2065,1839,762,2144,1468,305015,187309,0,0,0,0,0,3046,-2078,0,0,0,0,0,0,0,0,0,0,0,0,188277,493292
2212NW,"Natural gas distribution and water, sewage and other systems",5540,646,10,2592,189,83,2622,254,18,190,79,308,91,51,176,126,210,566,264,167,757,27,19,17,238,2,3,50,50,0,114,5,106,10,420,293,82,101,48,80,1612,239,53,110,2,1000,89,1996,2118,380,101,1473,428,20,60,394,70,239,33,196,40,202,33,0,521,264,151,130,83,218,79,93,164,1253,47,108,686,91,814,309,145,530,24,57,61,59,58,425,42,40,47,380,122,15,64,34,2271,1,0,7186,453,87,36,52,96,86,83,16,74,186,23,313,361,920,3321,140,31,5,76,47,815,394,62,120,287,662,1504,297,382,484,0,2301,1115,895,6502,3307,8567,2110,80274,97186,0,0,0,0,0,1310,0,0,0,0,0,0,0,0,0,0,0,0,0,98496,178770
23EH,"Education, hospital, and health structures",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62351,0,0,0,0,0,0,2794,0,0,0,2671,0,0,0,97201,165017,165017
