U.Summary,PCE_M_star
111,0.0057682637033239
112,0.000851160415366283
113FF,0.0397424511545293
211,0
212,0.0126582278481013
213,0
2211,1.2531328320802E-05
2212NW,0
23EH,0
23MR,0
23OC,0
23OR,0
23OT,0
23PC,0
23SF,0
23TH,0
321,0.263659614043246
327,0.186191141007742
3311IS,0.102159468438538
3313NF,0
332,0.160767941297403
33311,0.0121757543673902
33312,0
33313,0
3332OM,0.230127883650953
3341,0.475196775422115
3342,0.641760189013585
3344,0.100286532951289
3345,0.0601556264964086
334X,0.239488696387069
335,0.388425894144299
336111,0.00918325883787079
336112,0.00230290828357489
33612,0
3362BP,0.0334010129632522
3364,0.00482703137570394
3365AO,0.0661350582724586
337,0.14712289285834
3391,0.0718139311833114
3399,0.412048268362055
311,0.00472291391939222
3121,0.000556194148837554
3122,9.59508731529457E-05
313TT,0.217929831945405
315AL,0.244907216993685
322,0.0205499276410999
323,0.0576164167324388
324,0.000176848632621424
3251,0.0374208405296488
3252,0
3254,0.0230128548368815
325X,0.0276261042320043
326,0.184486818234454
4231,0
4234,0
4236,0
4238,0
423X,0
4242,0
4244,0
4247,0
424X,0
425,0
42ID,0
441,0
445,0
452,0
444,0
446,0
447,0
448,0
454,0
4A0X,0
481,0.000438659131250893
482,0
483,0
484,0
485,0
486,0
48A,0
492,0
493,0
5111,0.0178053028836849
5112,0
512,0.0058712033655402
515,0
5171,4.30043816686656E-05
5172,0
5174OT,0
518,3.39758544927405E-05
519,0.000131717597471022
521CI,0.000312098173601488
523,3.35606508081405E-06
524113,0
5241X,7.87875127044864E-06
5242,0
525,0
HSO,0
HST,0
ORE,0
532RL,0
5411,0.000633094842183948
5415,0
5412,0.000585865983156353
5413,0
5416,0
5417,0
5418,0.00240384615384615
541X,1.27565664425763E-05
55,0
5613,0.000585823081429408
5617,0
561X,0.00010267818944126
562,0
61,0.000213313830354558
6211,1.53275027512867E-06
6212,5.790455013955E-06
6213,6.90932205731974E-06
6214,4.19028942329047E-06
6215OH,1.21045347622064E-05
622,0.000421327117535593
623,6.42161773393953E-06
624,0
711AS,5.65474928255368E-05
713,0
721,0
722,0
811,7.38456344922409E-05
812,0
813,0
814,0
GFGD,0
GFGN,0
GFE,0
GSLGE,0
GSLGH,0
GSLGO,0
GSLE,0
Used,0.00317828458531976
Other,0.00913699857743575
