U.Summary,PCE_M_star
111,0.00894327381011073
112,0.0445440617375021
113FF,0.0516207815275311
211,0
212,0.0632911392405063
213,0
2211,2.08855472013367E-05
2212NW,0
23EH,0
23MR,0
23OC,0
23OR,0
23OT,0
23PC,0
23SF,0
23TH,0
321,0.0253429435015113
327,0.0972204594491687
3311IS,0.0697674418604651
3313NF,0
332,0.107473827371351
33311,0.000529380624669137
33312,0
33313,0
3332OM,0.0498370110330993
3341,0.0171702424781008
3342,0.00214116952155936
3344,0.0802292263610315
3345,0.568435754189944
334X,0.0358123811536024
335,0.0520628818562504
336111,0.215522145469321
336112,0.0682920326727986
33612,0
3362BP,0.0260603761797452
3364,0.082864038616251
3365AO,0.0731890927340657
337,0.048242233318811
3391,0.16943412060904
3399,0.0569265517818304
311,0.0230170109541132
3121,0.0903852571470948
3122,0.00149683362118595
313TT,0.0640351140907314
315AL,0.0827426027629255
322,0.0136034732272069
323,0.00420941857405946
324,0.0281452717448563
3251,0.39838802533103
3252,0
3254,0.28614030493596
325X,0.100058725775618
326,0.0556413324584089
4231,0
4234,0
4236,0
4238,0
423X,0
4242,0
4244,0
4247,0
424X,0
425,0
42ID,0
441,0
445,0
452,0
444,0
446,0
447,0
448,0
454,0
4A0X,0
481,0.106288127639606
482,0
483,0
484,0
485,0
486,0
48A,0
492,0
493,0
5111,0.015231275401587
5112,-7.80868716447047E-05
512,0.0128056955295641
515,0
5171,6.68957048179242E-05
5172,0
5174OT,6.27667587245795E-05
518,4.5301139323654E-05
519,0.00521225349992473
521CI,0.00505599041234411
523,3.35606508081405E-06
524113,0
5241X,0.00305432924251059
5242,0
525,0
HSO,0
HST,0
ORE,0
532RL,0
5411,0.00780308462113469
5415,0
5412,0.0130355181252289
5413,0
5416,0
5417,0
5418,0.0324519230769231
541X,0.000255131328851526
55,0
5613,0.00351493848857645
5617,0
561X,0.00140326858903055
562,0
61,0.00117540273868838
6211,1.68602530264154E-05
6212,6.3695005153505E-05
6213,7.60025426305171E-05
6214,4.60931836561951E-05
6215OH,0.0001250801925428
622,0.00265093712094534
623,6.74269862063651E-05
624,0
711AS,0.0056406124093473
713,7.1354413805652E-06
721,0
722,0
811,0.000583732158367238
812,0
813,0
814,0
GFGD,0
GFGN,0
GFE,0
GSLGE,0
GSLGH,0
GSLGO,0
GSLE,0
Used,0.0812502684361981
Other,0.338444955537034
