NIPA Line,Description,leading_spaces,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Index
7,New domestic autos,14,Goods,Durable goods,Motor vehicles and parts,New motor vehicles,New autos,New domestic autos,,,,,0
8,New foreign autos,14,Goods,Durable goods,Motor vehicles and parts,New motor vehicles,New autos,New foreign autos,,,,,1
9,New light trucks,12,Goods,Durable goods,Motor vehicles and parts,New motor vehicles,New light trucks,,,,,,2
13,Used autos,12,Goods,Durable goods,Motor vehicles and parts,Net purchases of used motor vehicles,Used autos,,,,,,3
17,Used light trucks,12,Goods,Durable goods,Motor vehicles and parts,Net purchases of used motor vehicles,Used light trucks,,,,,,4
21,Tires,12,Goods,Durable goods,Motor vehicles and parts,Motor vehicle parts and accessories,Tires,,,,,,5
22,Accessories and parts,12,Goods,Durable goods,Motor vehicles and parts,Motor vehicle parts and accessories,Accessories and parts,,,,,,6
25,Furniture,12,Goods,Durable goods,Furnishings and durable household equipment,Furniture and furnishings,Furniture,,,,,,7
26,"Clocks, lamps, lighting fixtures, and other household decorative items",12,Goods,Durable goods,Furnishings and durable household equipment,Furniture and furnishings,"Clocks, lamps, lighting fixtures, and other household decorative items",,,,,,8
27,Carpets and other floor coverings,12,Goods,Durable goods,Furnishings and durable household equipment,Furniture and furnishings,Carpets and other floor coverings,,,,,,9
28,Window coverings,12,Goods,Durable goods,Furnishings and durable household equipment,Furniture and furnishings,Window coverings,,,,,,10
30,Major household appliances,12,Goods,Durable goods,Furnishings and durable household equipment,Household appliances,Major household appliances,,,,,,11
31,Small electric household appliances,12,Goods,Durable goods,Furnishings and durable household equipment,Household appliances,Small electric household appliances,,,,,,12
33,Dishes and flatware,12,Goods,Durable goods,Furnishings and durable household equipment,"Glassware, tableware, and household utensils",Dishes and flatware,,,,,,13
34,Nonelectric cookware and tableware,12,Goods,Durable goods,Furnishings and durable household equipment,"Glassware, tableware, and household utensils",Nonelectric cookware and tableware,,,,,,14
36,"Tools, hardware, and supplies",12,Goods,Durable goods,Furnishings and durable household equipment,Tools and equipment for house and garden,"Tools, hardware, and supplies",,,,,,15
37,Outdoor equipment and supplies,12,Goods,Durable goods,Furnishings and durable household equipment,Tools and equipment for house and garden,Outdoor equipment and supplies,,,,,,16
41,Televisions,14,Goods,Durable goods,Recreational goods and vehicles,"Video, audio, photographic, and information processing equipment and media",Video and audio equipment,Televisions,,,,,17
