U.Summary,Summary,Sector,TiVA USum PCE,TiVA Summary PCE,TiVA Sector PCE
111,111CA,11,97447.0,113435.0,122566.0
112,111CA,11,15988.0,113435.0,122566.0
113FF,113FF,11,9131.0,9131.0,122566.0
211,211,21,0.0,0.0,154.0
212,212,21,154.0,154.0,154.0
213,213,21,0.0,0.0,154.0
2211,22,22,234797.0,358883.0,358883.0
2212NW,22,22,124086.0,358883.0,358883.0
23EH,23,23,0.0,0.0,0.0
23MR,23,23,0.0,0.0,0.0
23OC,23,23,0.0,0.0,0.0
23OR,23,23,0.0,0.0,0.0
23OT,23,23,0.0,0.0,0.0
23PC,23,23,0.0,0.0,0.0
23SF,23,23,0.0,0.0,0.0
23TH,23,23,0.0,0.0,0.0
321,321,33DG,4754.0,4754.0,763165.0
327,327,33DG,15735.0,15735.0,763165.0
3311IS,331,33DG,855.0,917.0,763165.0
3313NF,331,33DG,62.0,917.0,763165.0
332,332,33DG,26188.0,26188.0,763165.0
33311,333,33DG,1563.0,16182.0,763165.0
33312,333,33DG,0.0,16182.0,763165.0
33313,333,33DG,0.0,16182.0,763165.0
3332OM,333,33DG,14619.0,16182.0,763165.0
3341,334,33DG,60160.0,111886.0,763165.0
3342,334,33DG,12083.0,111886.0,763165.0
3344,334,33DG,283.0,111886.0,763165.0
3345,334,33DG,10364.0,111886.0,763165.0
334X,334,33DG,28996.0,111886.0,763165.0
335,335,33DG,64943.0,64943.0,763165.0
336111,3361MV,33DG,1445.0,279883.0,763165.0
336112,3361MV,33DG,225312.0,279883.0,763165.0
33612,3361MV,33DG,0.0,279883.0,763165.0
3362BP,3361MV,33DG,53126.0,279883.0,763165.0
3364,3364OT,33DG,1241.0,36216.0,763165.0
3365AO,3364OT,33DG,34975.0,36216.0,763165.0
337,337,33DG,66469.0,66469.0,763165.0
3391,339,33DG,29082.0,139992.0,763165.0
3399,339,33DG,110910.0,139992.0,763165.0
311,311FT,31ND,568290.0,749733.0,1644100.0
3121,311FT,31ND,130882.0,749733.0,1644100.0
3122,311FT,31ND,50561.0,749733.0,1644100.0
313TT,313TT,31ND,30375.0,30375.0,1644100.0
315AL,315AL,31ND,178330.0,178330.0,1644100.0
322,322,31ND,21180.0,21180.0,1644100.0
323,323,31ND,3008.0,3008.0,1644100.0
324,324,31ND,291458.0,291458.0,1644100.0
3251,325,31ND,1246.0,319802.0,1644100.0
3252,325,31ND,0.0,319802.0,1644100.0
3254,325,31ND,244520.0,319802.0,1644100.0
325X,325,31ND,74036.0,319802.0,1644100.0
326,326,31ND,50214.0,50214.0,1644100.0
4231,42,42,22685.0,705568.0,705568.0
4234,42,42,53563.0,705568.0,705568.0
4236,42,42,40965.0,705568.0,705568.0
4238,42,42,6812.0,705568.0,705568.0
423X,42,42,93638.0,705568.0,705568.0
4242,42,42,94701.0,705568.0,705568.0
4244,42,42,125286.0,705568.0,705568.0
4247,42,42,83262.0,705568.0,705568.0
424X,42,42,185447.0,705568.0,705568.0
425,42,42,-791.0,705568.0,705568.0
42ID,42,42,0.0,705568.0,705568.0
441,441,44RT,348015.0,348015.0,2258452.0
445,445,44RT,314901.0,314901.0,2258452.0
452,452,44RT,289209.0,289209.0,2258452.0
444,4A0,44RT,75161.0,1306327.0,2258452.0
446,4A0,44RT,135721.0,1306327.0,2258452.0
447,4A0,44RT,135712.0,1306327.0,2258452.0
448,4A0,44RT,174986.0,1306327.0,2258452.0
454,4A0,44RT,520925.0,1306327.0,2258452.0
4A0X,4A0,44RT,263822.0,1306327.0,2258452.0
481,481,48TW,191507.0,191507.0,426681.0
482,482,48TW,9414.0,9414.0,426681.0
483,483,48TW,12848.0,12848.0,426681.0
484,484,48TW,138574.0,138574.0,426681.0
485,485,48TW,47714.0,47714.0,426681.0
486,486,48TW,3947.0,3947.0,426681.0
48A,487OS,48TW,11755.0,22363.0,426681.0
492,487OS,48TW,10608.0,22363.0,426681.0
493,493,48TW,314.0,314.0,426681.0
5111,511,51,51628.0,157790.0,702071.0
5112,511,51,106162.0,157790.0,702071.0
512,512,51,17450.0,17450.0,702071.0
515,513,51,15212.0,388726.0,702071.0
5171,513,51,208306.0,388726.0,702071.0
5172,513,51,149236.0,388726.0,702071.0
5174OT,513,51,15972.0,388726.0,702071.0
518,514,51,89665.0,138105.0,702071.0
519,514,51,48440.0,138105.0,702071.0
521CI,521CI,52,358215.0,358215.0,901926.0
523,523,52,288208.0,288208.0,901926.0
524113,524,52,95041.0,95041.0,901926.0
,,,,,
5242,524,52,0.0,95041.0,901926.0
525,525,52,160462.0,160462.0,901926.0
HSO,HS,53,2021107.0,2611291.0,2722229.0
HST,HS,53,590184.0,2611291.0,2722229.0
ORE,ORE,53,6468.0,6468.0,2722229.0
532RL,532RL,53,104470.0,104470.0,2722229.0
5411,5411,54,123013.0,123013.0,230553.0
