Summary,purchPrice_from,purchPrice_to,growth_ratio
111CA,153164,153165,1.0000065289493614
113FF,8820,8820,1.0
212,335,335,1.0
22,265417,265417,1.0
311FT,1083131,1083133,1.0000018464987153
313TT,67218,67220,1.0000297539349579
315AL,413130,413130,1.0
321,6759,6759,1.0
322,59713,59714,1.0000167467720598
323,8499,8500,1.0001176609012825
324,324184,324185,1.0000030846679664
325,554973,554972,0.9999981981105387
326,72247,72246,0.9999861585948205
327,21298,21298,1.0
331,1416,1416,1.0
332,44258,44258,1.0
333,28857,28856,0.9999653463631009
334,152824,152827,1.0000196304245406
335,83751,83749,0.9999761196881232
3361MV,350152,350153,1.0000028559025795
3364OT,37020,37019,0.9999729875742842
337,110214,110214,1.0
339,245077,245081,1.0000163214010291
481,129784,129784,1.0
482,1458,1459,1.0006858710562414
483,22027,22027,1.0
484,11700,11700,1.0
485,47460,47460,1.0
487OS,17855,17855,1.0
493,251,251,1.0
4A0,5974,5974,1.0
511,149041,149042,1.0000067095631404
512,29446,29446,1.0
513,349014,349014,1.0
514,46716,46716,1.0
521CI,278750,278749,0.9999964125560538
523,225226,225226,1.0
524,398566,398565,0.9999974910052538
525,170526,170526,1.0
532RL,97092,97091,0.9999897004902567
5411,104093,104093,1.0
5412OP,72409,72410,1.000013810437929
561,64488,64490,1.0000310135218955
562,28334,28334,1.0
61,360205,360205,1.0
621,1050872,1050872,1.0
622,1039196,1039196,1.0
623,241619,241619,1.0
624,225279,225279,1.0
711AS,86974,86972,0.999977004622071
713,210211,210212,1.000004757124984
721,163294,163294,1.0
722,731850,731851,1.0000013664002185
81,613310,613310,1.0
GFE,6914,6914,1.0
GSLE,72509,72509,1.0
HS,2020853,2020853,1.0
ORE,5861,5861,1.0
Other,-90776,-90776,1.0
Used,209783,209786,1.0000143004914601
