Summary,detail_to_summary_prodPrice,pce_bridge_prodPrice,difference,pct_difference
111CA,75522,75520,2,0.0026482349514048886
113FF,6572,6572,0,0.0
212,173,173,0,0.0
22,265417,265417,0,0.0
311FT,584356,584356,0,0.0
313TT,21049,21049,0,0.0
315AL,143632,143632,0,0.0
321,3143,3143,0,0.0
322,22679,22678,1,0.004409365492305657
323,2803,2803,0,0.0
324,176319,176321,-2,-0.0011343077036507694
325,255659,255660,-1,-0.0003911460187202484
326,35009,35009,0,0.0
327,11572,11570,2,0.017283097131005877
331,749,749,0,0.0
332,16629,16629,0,0.0
333,8871,8872,-1,-0.011272686281140797
334,73169,73168,1,0.0013666990118766144
335,40277,40276,1,0.002482806564540557
3361MV,190226,190228,-2,-0.0010513809889289582
3364OT,22024,22023,1,0.004540501271340356
337,46867,46867,0,0.0
339,85968,85969,-1,-0.0011632235250325703
481,129784,129784,0,0.0
482,1458,1459,-1,-0.06858710562414265
483,22027,22027,0,0.0
484,11700,11700,0,0.0
485,47460,47460,0,0.0
487OS,17855,17855,0,0.0
493,251,251,0,0.0
4A0,5974,5974,0,0.0
511,94831,94831,0,0.0
512,23742,23742,0,0.0
513,349014,349014,0,0.0
514,46716,46716,0,0.0
521CI,278750,278749,1,0.00035874439461883406
523,225226,225226,0,0.0
524,398566,398565,1,0.00025089947461650014
525,170526,170526,0,0.0
532RL,97092,97091,1,0.0010299509743336218
5411,104093,104093,0,0.0
5412OP,72409,72410,-1,-0.0013810437928986727
561,64488,64490,-2,-0.0031013521895546453
562,28334,28334,0,0.0
61,360205,360205,0,0.0
621,1050872,1050872,0,0.0
622,1039196,1039196,0,0.0
623,241619,241619,0,0.0
624,225279,225279,0,0.0
711AS,86974,86972,2,0.0022995377929036264
713,210211,210212,-1,-0.00047571249839447027
721,163294,163294,0,0.0
722,731850,731851,-1,-0.00013664002186240348
81,613310,613310,0,0.0
GFE,6914,6914,0,0.0
GSLE,72509,72509,0,0.0
HS,2020853,2020853,0,0.0
ORE,5861,5861,0,0.0
Other,-90776,-90776,0,-0.0
Used,81324,81328,-4,-0.004918597216073976
