country_name,country_iso,total_vs_impval_correlation,total_vs_impval_p_value,direct_vs_impval_correlation,direct_vs_impval_p_value,indirect_vs_impval_correlation,indirect_vs_impval_p_value
Aruba,ABW,0.47794117647058826,0.05232854189081124,0.5245098039215687,0.03065401608794889,0.16176470588235298,0.5350755062766513
Afghanistan,AFG,0.673399014778325,6.2406033159449e-05,0.819805400971406,5.300732272557102e-08,0.49458128078817726,0.006384567892651842
Angola,AGO,0.15604395604395604,0.594234700580851,0.6710675127878506,0.008603560029350976,0.03736263736263736,0.899093096973967
Anguilla,AIA,0.7939393939393938,0.0060999233136969115,0.7696969696969697,0.009221952722215994,0.33333333333333326,0.34659350708733405
Albania,ALB,0.857299976105402,3.727758927038598e-10,0.8551522393815896,4.5943863948965046e-10,0.6985610880773331,8.739352954737049e-06
Andorra,AND,0.6119711042311662,0.006950274712161289,0.7299949346589729,0.0005832843658791692,0.19091847265221878,0.4479306707266415
United Arab Emirates,ARE,0.4972666633611712,0.0012791961454127051,0.5550154824345801,0.0002453584845482806,0.4106094435246153,0.009419160991329643
Argentina,ARG,0.5802910071115116,8.674461482000396e-05,0.5855774888732602,7.20685416271658e-05,0.47480061539335877,0.0019637540722513185
Armenia,ARM,0.5065628476084539,0.004283498574079843,0.628921023359288,0.00019726831516437448,0.38064516129032255,0.037973775727935886
Antigua and Barbuda,ATG,0.16842105263157894,0.4906723619708301,0.1842105263157895,0.45028518879802637,0.1736842105263158,0.4770171488822207
Australia,AUS,0.46147353743608327,0.0027243745943946332,0.4754931673580075,0.001929936244196652,0.31543879587607815,0.04740187444148358
Austria,AUT,0.30830599358908556,0.052928032108224526,0.49126782219926846,0.0012864590345495355,0.0883153546323682,0.587884407064192
Azerbaijan,AZE,0.39133089133089133,0.04353823357455357,0.507098158861834,0.006941520949606572,0.3137973137973138,0.11094841624171202
Burundi,BDI,0.642857142857143,0.11939237342741094,0.642857142857143,0.11939237342741094,0.642857142857143,0.11939237342741094
Belgium,BEL,0.4854998188238477,0.0014954564297285761,0.5220659578417303,0.0005499176557629017,0.2671985277772075,0.095557257321735
Benin,BEN,0.7622377622377624,0.003950448972542651,0.8881118881118882,0.00011413359814618011,0.6013986013986015,0.03858845292201944
Burkina Faso,BFA,0.6147058823529412,0.011279474063305006,0.6,0.014007122329599993,0.5294117647058824,0.0349520067895181
Bangladesh,BGD,0.8633934916344596,4.0726156998061783e-10,0.9117854668778669,9.89703254239191e-13,0.70249017395013,1.055469659893225e-05
Bulgaria,BGR,0.6405027450659094,1.956602834898129e-05,0.6388329910033193,2.0892365897019473e-05,0.48589045710479395,0.0022977955279796917
Bahrain,BHR,0.6074481074481074,0.0007784615078762696,0.6969928336433273,5.356214179885031e-05,0.3473748473748474,0.07583852238929682
Bahamas,BHS,0.11169206877435847,0.5567931381544002,0.5290387182910549,0.0026481160227712903,-0.08966514684475392,0.63749861724819
Bosnia and Herzegovina,BIH,0.7304483302514321,4.594198006572824e-06,0.8166036865124493,3.737763543213387e-08,0.573812440974244,0.0009154315921386298
Belarus,BLR,0.4871794871794871,0.01159498555874061,0.647179487179487,0.0003523567508048693,0.09538461538461539,0.6430008687613966
