ISO,country_name,Direct,Indirect,Total
CHN,China,0.2933186270229965,0.09507798922805823,0.38839661625105476
CAN,Canada,0.027234678550529565,0.03709573183909549,0.06433041038962505
MEX,Mexico,0.033970759460326135,0.022398284667018816,0.05636904412734495
JPN,Japan,0.027043191218690126,0.015342136797032072,0.0423853280157222
DEU,Germany,0.024348000370394987,0.014848961148661199,0.03919696151905618
VNM,Vietnam,0.02815624607264396,0.0074226354656498576,0.03557888153829381
KOR,South Korea,0.02096816543843739,0.013136859104901899,0.03410502454333929
IRL,Ireland,0.017866795086738035,0.009255183707042206,0.02712197879378024
IND,India,0.016517795910030636,0.00939841947570359,0.025916215385734225
ITA,Italy,0.01430339842000273,0.006484936889493208,0.02078833530949594
THA,Thailand,0.008129192454560829,0.006140296247310675,0.014269488701871506
TWN,Taiwan,0.006702046631694558,0.006380179998410043,0.0130822266301046
CHE,Switzerland,0.0076039723925086745,0.0052479545046438736,0.012851926897152548
FRA,France,0.00825951474619828,0.0041564093267921895,0.01241592407299047
ISR,Israel,0.006894667181044012,0.005124046196045415,0.012018713377089428
GBR,United Kingdom,0.007204516565595254,0.004643167822467095,0.01184768438806235
SGP,Singapore,0.007806431826033744,0.0035486292672640704,0.011355061093297814
IDN,Indonesia,0.008076784757835314,0.0031088099875018747,0.011185594745337188
ESP,Spain,0.007488763267586179,0.002675321380752526,0.010164084648338706
BRA,Brazil,0.0035013761501790017,0.006372455167533669,0.009873831317712672
NLD,Netherlands,0.004847460367618736,0.00345573761934425,0.008303197986962987
MYS,Malaysia,0.003139083265074364,0.003117134005770895,0.006256217270845259
BEL,Belgium,0.003986822265586779,0.002138865552773277,0.006125687818360055
KHM,Cambodia,0.005449828613828338,0.0005912249324904887,0.006041053546318826
TUR,Türkiye,0.0028215940552407215,0.002228539405045173,0.0050501334602858945
ARG,Argentina,0.0022750790690281523,0.0025086803114395067,0.0047837593804676585
AUS,Australia,0.0027389684645017106,0.0020224721430276405,0.004761440607529352
BGD,Bangladesh,0.004678792439983436,5.4419634517875276e-05,0.004733212074501311
COL,Colombia,0.0020068289638846114,0.00206148044826794,0.004068309412152552
CHL,Chile,0.0015566476891298569,0.0023296231161810585,0.0038862708053109154
AUT,Austria,0.0021032994452799764,0.001740744838319537,0.0038440442835995133
SWE,Sweden,0.002047119479797197,0.00152611083438059,0.0035732303141777864
