"hs4-exports-africa"
"Current date: 05/08/2025 8:37 AM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","Domestic/Foreign","Value ($US)",
"0101 Horses, Asses, Mules And Hinnies, Live","Africa","1997","Total Exports","1,107,033"
"0101 Horses, Asses, Mules And Hinnies, Live","Africa","1998","Total Exports","2,302,861"
"0101 Horses, Asses, Mules And Hinnies, Live","Africa","1999","Total Exports","657,009"
"0101 Horses, Asses, Mules And Hinnies, Live","Africa","2000","Total Exports","275,000"
"0101 Horses, Asses, Mules And Hinnies, Live","Egypt","1997","Total Exports","6,000"
"0101 Horses, Asses, Mules And Hinnies, Live","Egypt","1998","Total Exports","15,000"
"0101 Horses, Asses, Mules And Hinnies, Live","Egypt","1999","Total Exports","7,000"
"0101 Horses, Asses, Mules And Hinnies, Live","Kenya","2000","Total Exports","20,000"
"0101 Horses, Asses, Mules And Hinnies, Live","South Africa","1997","Total Exports","1,101,033"
"0101 Horses, Asses, Mules And Hinnies, Live","South Africa","1998","Total Exports","2,287,861"
"0101 Horses, Asses, Mules And Hinnies, Live","South Africa","1999","Total Exports","650,009"
"0101 Horses, Asses, Mules And Hinnies, Live","South Africa","2000","Total Exports","255,000"
"0102 Bovine Animals, Live","Africa","1997","Total Exports","22,200"
"0102 Bovine Animals, Live","Africa","1998","Total Exports","3,266,619"
"0102 Bovine Animals, Live","Africa","1999","Total Exports","29,700"
"0102 Bovine Animals, Live","Africa","2000","Total Exports","33,200"
"0102 Bovine Animals, Live","Egypt","1998","Total Exports","3,199,380"
"0102 Bovine Animals, Live","South Africa","1998","Total Exports","67,239"
"0102 Bovine Animals, Live","South Africa","2000","Total Exports","33,200"
"0102 Bovine Animals, Live","Tunisia","1999","Total Exports","29,700"
"0102 Bovine Animals, Live","Zimbabwe","1997","Total Exports","22,200"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Africa","1997","Total Exports","2,986,935"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Africa","1998","Total Exports","3,086,807"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Africa","1999","Total Exports","4,875,824"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Africa","2000","Total Exports","3,129,161"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Cameroon","1999","Total Exports","11,759"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Comoros","1998","Total Exports","17,500"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Comoros","1999","Total Exports","41,000"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Cote d'Ivoire","1997","Total Exports","40,571"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Egypt","1997","Total Exports","2,255,072"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Egypt","1998","Total Exports","2,396,983"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Egypt","1999","Total Exports","4,108,005"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Egypt","2000","Total Exports","2,569,643"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Eritrea","1997","Total Exports","208,073"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Ghana","1998","Total Exports","14,451"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Guinea","2000","Total Exports","9,990"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Kenya","1997","Total Exports","106,675"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Kenya","1998","Total Exports","116,690"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Kenya","1999","Total Exports","233,420"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Kenya","2000","Total Exports","69,933"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Mauritius","1997","Total Exports","11,000"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Mauritius","1998","Total Exports","14,300"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Morocco","1997","Total Exports","115,294"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Morocco","1998","Total Exports","98,247"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Morocco","1999","Total Exports","233,900"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Morocco","2000","Total Exports","251,660"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Nigeria","1998","Total Exports","10,000"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Nigeria","1999","Total Exports","6,790"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Senegal","2000","Total Exports","18,370"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","South Africa","1997","Total Exports","236,143"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","South Africa","1998","Total Exports","244,903"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","South Africa","1999","Total Exports","205,250"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","South Africa","2000","Total Exports","140,660"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Tunisia","1997","Total Exports","14,107"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Tunisia","1998","Total Exports","58,851"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Tunisia","2000","Total Exports","63,280"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Western Sahara (through Dec 2020)","1998","Total Exports","22,092"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Zambia","1998","Total Exports","92,790"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Zambia","1999","Total Exports","35,700"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","Zambia","2000","Total Exports","5,625"
"0106 Animals, Live, Nesoi","Africa","1997","Total Exports","82,880"
"0106 Animals, Live, Nesoi","Africa","1998","Total Exports","32,513"
"0106 Animals, Live, Nesoi","Africa","1999","Total Exports","6,772"
"0106 Animals, Live, Nesoi","Africa","2000","Total Exports","24,000"
"0106 Animals, Live, Nesoi","Egypt","1998","Total Exports","2,885"
"0106 Animals, Live, Nesoi","Morocco","1997","Total Exports","38,200"
"0106 Animals, Live, Nesoi","Morocco","1998","Total Exports","3,615"
"0106 Animals, Live, Nesoi","Morocco","1999","Total Exports","3,133"
"0106 Animals, Live, Nesoi","South Africa","1997","Total Exports","44,680"
"0106 Animals, Live, Nesoi","South Africa","1998","Total Exports","18,923"
"0106 Animals, Live, Nesoi","South Africa","1999","Total Exports","3,639"
"0106 Animals, Live, Nesoi","South Africa","2000","Total Exports","24,000"
"0106 Animals, Live, Nesoi","Zimbabwe","1998","Total Exports","7,090"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Africa","1997","Total Exports","317,166"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Africa","1998","Total Exports","519,353"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Africa","1999","Total Exports","310,853"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Africa","2000","Total Exports","138,385"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Angola","1997","Total Exports","3,000"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Angola","1998","Total Exports","16,000"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Cabo Verde","2000","Total Exports","34,673"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Cote d'Ivoire","1998","Total Exports","107,524"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Egypt","1997","Total Exports","217,311"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Egypt","1998","Total Exports","395,829"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Egypt","1999","Total Exports","291,823"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Egypt","2000","Total Exports","6,311"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Guinea","1997","Total Exports","31,649"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Guinea","2000","Total Exports","7,664"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","Kenya","2000","Total Exports","9,210"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","South Africa","1997","Total Exports","65,206"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","South Africa","1999","Total Exports","19,030"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","South Africa","2000","Total Exports","80,527"
"0202 Meat Of Bovine Animals, Frozen","Africa","1997","Total Exports","3,620,256"
"0202 Meat Of Bovine Animals, Frozen","Africa","1998","Total Exports","8,691,441"
"0202 Meat Of Bovine Animals, Frozen","Africa","1999","Total Exports","22,327,380"
"0202 Meat Of Bovine Animals, Frozen","Africa","2000","Total Exports","5,752,718"
"0202 Meat Of Bovine Animals, Frozen","Angola","1997","Total Exports","6,351"
"0202 Meat Of Bovine Animals, Frozen","Angola","1998","Total Exports","69,855"
"0202 Meat Of Bovine Animals, Frozen","Angola","1999","Total Exports","87,369"
"0202 Meat Of Bovine Animals, Frozen","Angola","2000","Total Exports","95,095"
"0202 Meat Of Bovine Animals, Frozen","Congo (Brazzaville)","2000","Total Exports","31,184"
"0202 Meat Of Bovine Animals, Frozen","Cote d'Ivoire","1997","Total Exports","1,025,979"
"0202 Meat Of Bovine Animals, Frozen","Cote d'Ivoire","1998","Total Exports","1,224,996"
"0202 Meat Of Bovine Animals, Frozen","Cote d'Ivoire","1999","Total Exports","834,208"
"0202 Meat Of Bovine Animals, Frozen","Cote d'Ivoire","2000","Total Exports","301,932"
"0202 Meat Of Bovine Animals, Frozen","Egypt","1997","Total Exports","1,447,304"
"0202 Meat Of Bovine Animals, Frozen","Egypt","1998","Total Exports","6,727,714"
"0202 Meat Of Bovine Animals, Frozen","Egypt","1999","Total Exports","21,310,892"
"0202 Meat Of Bovine Animals, Frozen","Egypt","2000","Total Exports","5,182,453"
"0202 Meat Of Bovine Animals, Frozen","Equatorial Guinea","1997","Total Exports","55,990"
"0202 Meat Of Bovine Animals, Frozen","Gabon","1997","Total Exports","75,462"
"0202 Meat Of Bovine Animals, Frozen","Gabon","1998","Total Exports","55,108"
