"standardImports"
"Current date: 05/08/2025 12:11 PM (Eastern Daylight Time)"
"Commodity","Time","Country","Customs Value (Gen) ($US)",
"0101 Horses, Asses, Mules And Hinnies, Live","2019","Australia and Oceania","8,820,098"
"0101 Horses, Asses, Mules And Hinnies, Live","2019","Australia","4,380,149"
"0101 Horses, Asses, Mules And Hinnies, Live","2019","New Zealand","4,439,949"
"0101 Horses, Asses, Mules And Hinnies, Live","2020","Australia and Oceania","19,056,862"
"0101 Horses, Asses, Mules And Hinnies, Live","2020","Australia","16,258,522"
"0101 Horses, Asses, Mules And Hinnies, Live","2020","New Zealand","2,798,340"
"0101 Horses, Asses, Mules And Hinnies, Live","2021","Australia and Oceania","18,501,381"
"0101 Horses, Asses, Mules And Hinnies, Live","2021","Australia","11,545,086"
"0101 Horses, Asses, Mules And Hinnies, Live","2021","New Zealand","6,956,295"
"0101 Horses, Asses, Mules And Hinnies, Live","2022","Australia and Oceania","17,541,894"
"0101 Horses, Asses, Mules And Hinnies, Live","2022","Australia","17,355,195"
"0101 Horses, Asses, Mules And Hinnies, Live","2022","New Zealand","186,699"
"0101 Horses, Asses, Mules And Hinnies, Live","2023","Australia and Oceania","7,544,701"
"0101 Horses, Asses, Mules And Hinnies, Live","2023","Australia","5,505,732"
"0101 Horses, Asses, Mules And Hinnies, Live","2023","New Zealand","2,038,969"
"0101 Horses, Asses, Mules And Hinnies, Live","2024","Australia and Oceania","19,818,527"
"0101 Horses, Asses, Mules And Hinnies, Live","2024","Australia","17,177,724"
"0101 Horses, Asses, Mules And Hinnies, Live","2024","Christmas Island","19,835"
"0101 Horses, Asses, Mules And Hinnies, Live","2024","New Zealand","2,620,968"
"0102 Bovine Animals, Live","2024","Australia and Oceania","9,744"
"0102 Bovine Animals, Live","2024","Australia","9,744"
"0106 Animals, Live, Nesoi","2019","Australia and Oceania","589,840"
"0106 Animals, Live, Nesoi","2019","Australia","419,559"
"0106 Animals, Live, Nesoi","2019","New Zealand","4,410"
"0106 Animals, Live, Nesoi","2019","Solomon Islands","165,871"
"0106 Animals, Live, Nesoi","2020","Australia and Oceania","374,932"
"0106 Animals, Live, Nesoi","2020","Australia","158,804"
"0106 Animals, Live, Nesoi","2020","Christmas Island","4,500"
"0106 Animals, Live, Nesoi","2020","Cook Islands","8,000"
"0106 Animals, Live, Nesoi","2020","New Zealand","4,800"
"0106 Animals, Live, Nesoi","2020","Solomon Islands","187,628"
"0106 Animals, Live, Nesoi","2020","Tokelau","11,200"
"0106 Animals, Live, Nesoi","2021","Australia and Oceania","700,492"
"0106 Animals, Live, Nesoi","2021","Australia","192,745"
"0106 Animals, Live, Nesoi","2021","Fiji","9,395"
"0106 Animals, Live, Nesoi","2021","New Zealand","12,400"
"0106 Animals, Live, Nesoi","2021","Solomon Islands","449,248"
"0106 Animals, Live, Nesoi","2021","Tonga","36,704"
"0106 Animals, Live, Nesoi","2022","Australia and Oceania","463,464"
"0106 Animals, Live, Nesoi","2022","Australia","294,939"
"0106 Animals, Live, Nesoi","2022","New Zealand","13,500"
"0106 Animals, Live, Nesoi","2022","Solomon Islands","155,025"
"0106 Animals, Live, Nesoi","2023","Australia and Oceania","474,396"
"0106 Animals, Live, Nesoi","2023","Australia","336,999"
"0106 Animals, Live, Nesoi","2023","New Zealand","11,012"
"0106 Animals, Live, Nesoi","2023","Solomon Islands","122,670"
"0106 Animals, Live, Nesoi","2023","Tonga","3,715"
"0106 Animals, Live, Nesoi","2024","Australia and Oceania","655,602"
"0106 Animals, Live, Nesoi","2024","Australia","477,746"
"0106 Animals, Live, Nesoi","2024","New Zealand","59,500"
"0106 Animals, Live, Nesoi","2024","Solomon Islands","118,356"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2019","Australia and Oceania","608,052,511"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2019","Australia","572,415,101"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2019","New Zealand","35,637,410"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2020","Australia and Oceania","662,656,813"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2020","Australia","619,332,615"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2020","New Zealand","43,324,198"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2021","Australia and Oceania","710,606,875"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2021","Australia","625,197,101"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2021","New Zealand","85,409,774"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2022","Australia and Oceania","633,640,686"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2022","Australia","548,745,106"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2022","New Zealand","84,895,580"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2023","Australia and Oceania","814,045,372"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2023","Australia","733,973,746"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2023","New Zealand","80,071,626"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2024","Australia and Oceania","1,214,888,395"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2024","Australia","1,112,257,265"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2024","New Zealand","102,631,130"
"0202 Meat Of Bovine Animals, Frozen","2019","Australia and Oceania","1,485,383,455"
"0202 Meat Of Bovine Animals, Frozen","2019","Australia","881,878,263"
"0202 Meat Of Bovine Animals, Frozen","2019","New Zealand","603,505,192"
"0202 Meat Of Bovine Animals, Frozen","2020","Australia and Oceania","1,708,645,335"
"0202 Meat Of Bovine Animals, Frozen","2020","Australia","865,977,136"
"0202 Meat Of Bovine Animals, Frozen","2020","New Zealand","842,668,199"
"0202 Meat Of Bovine Animals, Frozen","2021","Australia and Oceania","1,390,116,037"
"0202 Meat Of Bovine Animals, Frozen","2021","Australia","529,071,362"
"0202 Meat Of Bovine Animals, Frozen","2021","New Zealand","861,044,675"
"0202 Meat Of Bovine Animals, Frozen","2022","Australia and Oceania","1,418,643,233"
"0202 Meat Of Bovine Animals, Frozen","2022","Australia","649,131,386"
"0202 Meat Of Bovine Animals, Frozen","2022","New Zealand","769,511,847"
"0202 Meat Of Bovine Animals, Frozen","2023","Australia and Oceania","1,814,420,107"
"0202 Meat Of Bovine Animals, Frozen","2023","Australia","914,778,716"
"0202 Meat Of Bovine Animals, Frozen","2023","New Zealand","899,641,391"
"0202 Meat Of Bovine Animals, Frozen","2024","Australia and Oceania","2,680,057,779"
"0202 Meat Of Bovine Animals, Frozen","2024","Australia","1,656,195,879"
"0202 Meat Of Bovine Animals, Frozen","2024","New Zealand","1,023,861,900"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","2021","Australia and Oceania","65,040"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","2021","Australia","65,040"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2019","Australia and Oceania","1,110,190,134"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2019","Australia","821,475,576"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2019","New Zealand","288,714,558"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2020","Australia and Oceania","971,007,600"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2020","Australia","743,736,961"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2020","New Zealand","227,270,639"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2021","Australia and Oceania","1,369,681,768"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2021","Australia","1,046,414,292"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2021","New Zealand","323,267,476"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2022","Australia and Oceania","1,585,534,650"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2022","Australia","1,182,345,398"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2022","New Zealand","403,189,252"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2023","Australia and Oceania","1,168,385,765"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2023","Australia","826,635,005"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2023","New Zealand","341,750,760"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2024","Australia and Oceania","1,478,396,367"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2024","Australia","1,096,366,315"
"0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen","2024","New Zealand","382,030,052"
"0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.","2019","Australia and Oceania","107,464,780"
"0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.","2019","Australia","85,405,136"
"0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.","2019","New Zealand","22,059,644"
"0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.","2020","Australia and Oceania","102,394,100"
"0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.","2020","Australia","79,745,227"
"0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.","2020","New Zealand","22,648,873"
"0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.","2021","Australia and Oceania","140,238,588"
"0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.","2021","Australia","103,611,692"
