Sector,sector title,Summary,summary title,U.Summary,undersum title,Detail,detail title
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,1111A0,Oilseed farming
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,1111B0,Grain farming
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,111200,Vegetable and melon farming
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,111300,Fruit and tree nut farming
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,111400,"Greenhouse, nursery, and floriculture production"
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,111,Crop production,111900,Other crop farming
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,112120,Dairy cattle and milk production
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,112A00,"Animal production, except cattle and poultry and eggs"
11,"Agriculture, forestry, fishing, and hunting",111CA,Farms,112,Animal production and aquaculture,112300,Poultry and egg production
11,"Agriculture, forestry, fishing, and hunting",113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities",113000,Forestry and logging
11,"Agriculture, forestry, fishing, and hunting",113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities",114000,"Fishing, hunting and trapping"
11,"Agriculture, forestry, fishing, and hunting",113FF,"Forestry, fishing, and related activities",113FF,"Forestry, fishing, and related activities",115000,Support activities for agriculture and forestry
21,Mining,211,Oil and gas extraction,211,Oil and gas extraction,211000,Oil and gas extraction
21,Mining,212,"Mining, except oil and gas",212,"Mining, except oil and gas",212100,Coal mining
21,Mining,212,"Mining, except oil and gas",212,"Mining, except oil and gas",2122A0,"Iron, gold, silver, and other metal ore mining"
