hs10,description
101210010,"Horses, Live, Purebred Breeding Male (no)"
101210020,"Horses, Live, Purebred Breeding Female (no)"
101290090,"Horses, Live, Nesoi (no)"
101300000,"Asses, Live (no)"
102210010,"Cattle, Live, Purebred Breeding Male, Dairy (no)"
102210020,"Cattle, Live, Purebred Breeding Female, Dairy (no)"
102210030,"Cattle, Purebred Breeding, Male, Live, Exc Dairy (no)"
102210050,"Cattle, Live, Purebred Breeding Female, Exc Dairy (no)"
102292011,"Cattle, Live, Dairy, Lt 90 Kg Ea, Nesoi (no)"
102292012,"Cattle, Live, Dairy, Gt=90 Kg Ea, Nesoi (no)"
102294024,"Cattle, Live, Male, Weighing Lt 90 Kg Ea, Nesoi (no)"
102294028,"Cattle, Live, Female, Weighing Lt 90 Kg Ea, Nesoi (no)"
102294034,"Cattle, Live, Male, 90 Kg To Lt 200 Kg Ea, Nesoi (no)"
102294038,"Cattle, Live, Female, 90 Kg To Lt 200 Kg, Nesoi (no)"
102294054,"Cattle, Live, Male, 200 Kg To Lt 320 Kg Ea, Nesoi (no)"
102294058,"Cattle, Live, Female, 200 Kg To Lt 320 Kg, Nesoi (no)"
102294062,"Steers, Live, Immediate Slaughter Gt=320 Kg, Nesoi (no)"
102294064,"Bulls, Live, Immediate Slaughter, Gt=320 Kg Nesoi (no)"
102294066,"Cows, Live, Immediate Slaughter Gt=320 Kg Ea Nesoi (no)"
102294068,"Heifers, Live, Immediate Slaughter Gt=320 Kg Nesoi (no)"
102294072,"Cattle, Live, Breeding Male, Gt=320 Kg Ea Nesoi (no)"
102294074,"Cattle, Live, Breeding, Female, Gt=320 Kg Ea Nesoi (no)"
102294082,"Cattle, Live, Male, Weighing Gt=320 Kg Each, Nesoi (no)"
102294084,"Cattle, Live, Female, Weighing Gt=320 Kg Ea, Nesoi (no)"
102390010,"Bison, Live (no)"
102390054,"Buffalo, Live, Male, 200 Kg To Lt 320 Kg Ea, Nesoi (no)"
102390058,"Buffalo, Live, Female, 200 Kg To Lt 320 Kg, Nesoi (no)"
102900000,"Bovines, Live, Other Than Cattle Or Buffalo (no)"
103100000,"Swine, Purebred Breeding, Live (no)"
103910010,"Swine, Lt 7 Kg Each, Live, Exc Purebred Breeding (no)"
103910020,"Swine, 7 Kg To Lt 23 Kg Ea, Live, Nesoi (no)"
103910030,"Swine, 23 Kg To Lt 50 Kg Each, Live, Nesoi (no)"
103920010,"Swine, Live, Immediate Slaughter, Gt=50 Kg, Nesoi (no)"
103920020,"Swine, Gt=50 Kg Each, Live, Breeding, Nesoi (no)"
103920091,"Swine, Gt=50 Kg Each, Live, Nesoi (no)"
104100000,"Sheep, Live (no)"
105110010,"Chickens, Live, Lt=185 G, Breeding Stock, Egg-type (no)"
105110040,"Chickens, Live, Lt=185 G Each, Exc Breeding Stock (no)"
105120000,"Turkeys, Live, Weighing Not More Than 185 G Each (no)"
105130000,"Ducks, Live, Weighing Not More Than 185 G Each (no)"
105140000,"Geese, Live, Weighing Not More Than 185 G Each (no)"
105940000,"Chickens, Live, Weighing 185 G Or More Each (no)"
105990000,"Poultry, Live, Weighing 185 G Or More Each, Nesoi (no)"
106110000,"Primates, Live (no)"
106130000,"Camels And Other Camelids (camelidae), Live (no)"
106140000,"Rabbits And Hares, Live (no)"
106193000,"Foxes, Live (no)"
106199120,"Dogs, Live (no)"
106199195,"Mammals, Live, Nesoi (no)"
106200000,"Reptiles (including Snakes And Turtles), Live (no)"
106310000,"Birds Of Prey, Live (no)"
106320000,"Psittaciforme-parrot,parakeet,macaw,cockatoo, Live (no)"
106330000,"Ostriches; Emus (dromaius Novaehollandiae), Live (no)"
106390100,"Birds, Live, Nesoi (no)"
106410000,"Bees, Live (kg)"
106490010,"Larvae Of Leaf Cutter Bee, Live (kg)"
106490090,"Insects, Live, Nesoi (kg)"
106900110,"Worms, Live (kg)"
106900120,"Bait, Live, Except Worms (kg)"
106900180,"Animals, Live, Nesoi (kg)"
201101010,"Carcasses/half-carcasses Of Veal, Fr/ch, Us Note 3 (kg)"
201101090,"Carcass/half-carcass Bov, Fr/ch, Us Note 3, Nesoi (kg)"
201105010,"Carcasses/half-carcasses Of Veal, Fr/ch, Nesoi (kg)"
201105090,"Carcasses/half-carcasses Of Bovines, Fr/ch, Nesoi (kg)"
201201000,Beef W/bone Hi-qlty Cuts Processed Fr/ch Us Note 3 (kg)
201203000,"Meat, Bovine  W/bone Procesd Fr/ch Us Note 3 Nesoi (kg)"
201205015,"Meat, Bvne Veal Cut W/bone Fr/ch Us Nt 3 Exc Prcsd (kg)"
201205025,"Meat, Bovine W/bone Fr/ch Us Nt 3 Exc Procsd, Rib (kg)"
201205035,"Meat, Bovine W/bone Fr/ch Us Nt 3 Exc Procsd,chuck (kg)"
201205045,"Meat, Bovine W/bone Fr/ch Us Nt 3 Exc Procsd,loin (kg)"
201205065,"Meat, Bovine W/bone Fr/ch Us Nt 3 Exc Procsd,hip (kg)"
201205075,"Meat,bov W/bne Fr/ch Us Nt 3 Exc Procsd,flnk/plate (kg)"
201205091,"Meat, Bovine W/bone Fr/ch Us Nt 3 Exc Procsd,neso (kg)"
201208010,"Meat Of Bison, With Bone, Fresh Or Chilled, Nesoi (kg)"
201208090,"Meat Of Bovines, With Bone, Fr/ch, Nesoi (kg)"
201301000,Beef Boneless Hi-qlty Cuts Procesd Fr/ch Us Note 3 (kg)
201303000,"Meat, Bovine Boneles Procesd Fr/ch Us Note 3 Nesoi (kg)"
201305015,"Meat,bvn Veal Cut Boneless Fr/ch Us Nt 3 Exc Prcsd (kg)"
201305025,"Meat,bvne Bneless Fr/ch Us Nt 3 Exc Prcsd,rib (kg)"
201305035,"Meat,bvne Bneless Fr/ch Us Nt 3 Exc Prcsd,chuck (kg)"
201305045,"Meat,bvne Bneless Fr/ch Us Nt 3 Exc Prcsd,loin (kg)"
201305055,"Meat,bvne Bneless Fr/ch Us Nt 3 Exc Prcsd,brisket (kg)"
201305065,"Meat,bvne Bneless Fr/ch Us Nt 3 Exc Prcsd,hip (kg)"
201305075,"Meat,bvne Bneless Fr/ch Us Nt 3 Exc Prcsd,flank (kg)"
201305085,"Meat,bvne Bneless Fr/ch Us Nt 3 Exc Prcsd,nesoi (kg)"
201308010,"Meat Of Bison, Boneless, Fresh Or Chilled, Nesoi (kg)"
