iso3,HS2,impVal
ABW,33,916704.0
ABW,34,204792.0
ABW,39,4952.0
ABW,40,16648.0
ABW,42,6097.0
ABW,44,4000.0
ABW,48,11236.0
ABW,49,6852.0
ABW,61,789.0
ABW,69,2500.0
ABW,70,44960.0
ABW,71,688944.0
ABW,73,4685.0
ABW,76,95639.0
ABW,83,3144.0
ABW,84,113513.0
ABW,85,61173.0
ABW,87,49292.0
ABW,90,255983.0
ABW,91,3100.0
ABW,94,3075.0
ABW,95,5684.0
ABW,97,39077.0
ABW,98,7836109.0
ABW,99,325720.0
AFG,4,36778.0
AFG,6,5427.0
AFG,7,192868.0
AFG,8,8716346.0
AFG,9,1830342.0
AFG,10,4469.0
AFG,11,4605.0
AFG,12,184730.0
AFG,13,54963.0
AFG,15,87419.0
AFG,17,325561.0
AFG,19,81701.0
AFG,20,1945382.0
AFG,21,207424.0
AFG,22,779974.0
AFG,24,393833.0
AFG,25,15399.0
AFG,28,2402.0
AFG,33,21615.0
AFG,39,12285.0
AFG,40,454.0
AFG,42,2039.0
AFG,43,26888.0
AFG,48,33552.0
AFG,51,1298.0
AFG,57,4047603.0
AFG,58,16008.0
AFG,61,17331.0
AFG,62,48167.0
AFG,63,29432.0
AFG,64,7508.0
AFG,68,4000.0
AFG,70,2750.0
AFG,71,1059772.0
AFG,73,76717.0
AFG,82,8245.0
AFG,83,28749.0
AFG,84,92630.0
AFG,85,110771.0
AFG,90,14093.0
AFG,94,83703.0
AFG,95,7622.0
AFG,97,998454.0
AFG,98,489937.0
AFG,99,477113.0
AGO,9,69550.0
AGO,16,60349.0
AGO,27,1748901332.0
AGO,28,4151880.0
AGO,44,203279.0
AGO,49,3619.0
AGO,62,900.0
AGO,68,38522.0
AGO,71,100679357.0
AGO,72,11612661.0
AGO,73,3435168.0
AGO,87,82549.0
AIA,22,235930.0
AIA,33,53405.0
AIA,39,68858.0
AIA,42,1154.0
AIA,61,535.0
AIA,63,2056.0
AIA,64,163483.0
AIA,68,28298.0
AIA,69,27030.0
AIA,71,86640.0
AIA,72,5598.0
AIA,74,46830.0
AIA,76,8734.0
AIA,84,111666.0
AIA,85,56044.0
AIA,94,15340.0
AIA,97,8077.0
AIA,98,207023.0
AIA,99,63897.0
ALB,3,1282133.0
ALB,4,1207711.0
ALB,7,866533.0
ALB,8,100766.0
ALB,9,939894.0
ALB,10,55953.0
ALB,11,188625.0
ALB,12,17541497.0
ALB,13,36420.0
ALB,15,1243575.0
ALB,17,24774.0
ALB,18,42169.0
ALB,19,216358.0
ALB,20,710575.0
ALB,21,107038.0
