iso3,HS_Section,impVal
ABW,6,1121496.0
ABW,7,21600.0
ABW,8,6097.0
ABW,9,4000.0
ABW,10,18088.0
ABW,11,789.0
ABW,13,47460.0
ABW,14,688944.0
ABW,15,103468.0
ABW,16,174686.0
ABW,17,49292.0
ABW,18,259083.0
ABW,20,8759.0
ABW,21,8200906.0
AFG,1,36778.0
AFG,2,10993750.0
AFG,3,87419.0
AFG,4,3733875.0
AFG,5,15399.0
AFG,6,24017.0
AFG,7,12739.0
AFG,8,28927.0
AFG,10,33552.0
AFG,11,4159839.0
AFG,12,7508.0
AFG,13,6750.0
AFG,14,1059772.0
AFG,15,113711.0
AFG,16,203401.0
AFG,18,14093.0
AFG,20,91325.0
AFG,21,1965504.0
AGO,2,69550.0
AGO,4,60349.0
AGO,5,1748901332.0
AGO,6,4151880.0
AGO,9,203279.0
AGO,10,3619.0
AGO,11,900.0
AGO,13,38522.0
AGO,14,100679357.0
AGO,15,15047829.0
AGO,17,82549.0
AIA,4,235930.0
AIA,6,53405.0
AIA,7,68858.0
AIA,8,1154.0
AIA,11,2591.0
AIA,12,163483.0
AIA,13,55328.0
AIA,14,86640.0
AIA,15,61162.0
AIA,16,167710.0
AIA,20,15340.0
AIA,21,278997.0
ALB,1,2489844.0
ALB,2,19729688.0
ALB,3,1243575.0
ALB,4,2947758.0
ALB,5,36615.0
ALB,6,4448440.0
ALB,7,1006236.0
ALB,8,769131.0
ALB,9,154854.0
ALB,10,2748941.0
ALB,11,11097054.0
ALB,12,2167188.0
ALB,13,107717.0
ALB,14,191252.0
ALB,15,71099858.0
ALB,16,1787694.0
ALB,17,1248711.0
ALB,18,44521.0
ALB,20,3215210.0
ALB,21,1746122.0
AND,4,2912.0
AND,7,19670.0
AND,8,1425.0
AND,10,225003.0
AND,11,511.0
AND,12,2925.0
AND,14,126665.0
AND,15,184945.0
AND,16,1565326.0
AND,17,20212.0
AND,18,442678.0
AND,20,441303.0
AND,21,335674.0
ARE,1,7723537.0
ARE,2,57285601.0
ARE,3,18032559.0
ARE,4,59553127.0
ARE,5,1817621380.0
ARE,6,745565078.0
ARE,7,95392406.0
ARE,8,569479.0
ARE,9,1942855.0
ARE,10,98179514.0
ARE,11,71567864.0
ARE,12,9082025.0
ARE,13,122305407.0
ARE,14,354173334.0
ARE,15,1962206486.0
ARE,16,579682755.0
ARE,17,99743157.0
ARE,18,22144012.0
ARE,19,229351.0
ARE,20,37503258.0
ARE,21,1313929439.0
ARG,1,781274927.0
ARG,2,493619072.0
ARG,3,343913062.0
ARG,4,649229568.0
ARG,5,1716822580.0
ARG,6,1005036484.0
ARG,7,44735946.0
ARG,8,13082898.0
ARG,9,101960211.0
ARG,10,18242304.0
ARG,11,2113304.0
ARG,12,1560061.0
ARG,13,2144067.0
ARG,14,801889158.0
ARG,15,641490302.0
ARG,16,158085058.0
ARG,17,9289736.0
ARG,18,8497136.0
ARG,19,2757852.0
ARG,20,7039041.0
ARG,21,289378402.0
ARM,1,2081240.0
ARM,2,1062217.0
ARM,3,23051.0
ARM,4,16396307.0
ARM,5,89580.0
ARM,6,1125047.0
ARM,7,291854.0
ARM,8,214576.0
ARM,9,387341.0
ARM,10,95860.0
ARM,11,8163658.0
ARM,12,76236.0
ARM,13,77984.0
ARM,14,82070120.0
ARM,15,2374142.0
ARM,16,939451.0
ARM,17,14647.0
ARM,18,2035851.0
ARM,20,1040035.0
ARM,21,3023919.0
ATF,7,1318.0
ATF,11,907.0
ATF,15,4339.0
ATF,16,6002.0
ATF,21,23846.0
ATG,4,234213.0
ATG,5,1448095.0
ATG,6,3581.0
ATG,7,5961.0
ATG,8,3920.0
ATG,10,215342.0
ATG,11,68523.0
ATG,13,13457.0
ATG,14,360866.0
ATG,15,2655299.0
ATG,16,146475.0
ATG,17,9049.0
ATG,18,230015.0
ATG,20,49292.0
ATG,21,18307462.0
AUS,1,4290276867.0
AUS,2,313755975.0
AUS,3,282610390.0
AUS,4,557641287.0
AUS,5,628509392.0
AUS,6,1896417107.0
AUS,7,111207031.0
AUS,8,2099361.0
AUS,9,9112173.0
AUS,10,82563203.0
AUS,11,51655255.0
AUS,12,9947585.0
AUS,13,45580234.0
AUS,14,3208416522.0
AUS,15,1149493413.0
AUS,16,1078458170.0
AUS,17,583497702.0
AUS,18,1008058746.0
AUS,19,40449743.0
AUS,20,82156941.0
AUS,21,1253602743.0
AUT,1,10494058.0
AUT,2,16300408.0
AUT,3,5549346.0
AUT,4,347739451.0
AUT,5,6934984.0
AUT,6,3924577537.0
AUT,7,401965467.0
AUT,8,6109971.0
AUT,9,169345810.0
AUT,10,119297282.0
AUT,11,111573831.0
AUT,12,22242496.0
AUT,13,155310194.0
AUT,14,123918459.0
AUT,15,1447966983.0
AUT,16,6263791606.0
AUT,17,2777159257.0
AUT,18,729956418.0
AUT,19,289016526.0
AUT,20,180043950.0
AUT,21,462718795.0
AZE,1,1842025.0
AZE,2,154193.0
AZE,3,395296.0
AZE,4,1288544.0
AZE,5,5015.0
AZE,6,2030893.0
AZE,7,110437.0
AZE,9,926509.0
AZE,10,471530.0
AZE,11,91961.0
AZE,13,215055.0
AZE,14,2278691.0
AZE,15,84554002.0
AZE,16,5603032.0
AZE,17,570425.0
AZE,18,10050.0
AZE,19,8054766.0
AZE,20,535413.0
AZE,21,48638635.0
BDI,2,3356667.0
BDI,6,3750.0
BDI,8,1104.0
BDI,10,16232.0
BDI,11,337408.0
BDI,16,2477.0
BDI,21,19046.0
BEL,1,102367448.0
BEL,2,134114035.0
BEL,3,37744163.0
BEL,4,966873654.0
BEL,5,909262265.0
BEL,6,14598551820.0
BEL,7,613283497.0
BEL,8,4506915.0
BEL,9,67450224.0
BEL,10,77486702.0
BEL,11,189550942.0
BEL,12,5383365.0
BEL,13,127624001.0
BEL,14,2270731499.0
BEL,15,792419187.0
BEL,16,2174410002.0
BEL,17,1490385589.0
BEL,18,198304093.0
BEL,19,38670114.0
BEL,20,101116725.0
BEL,21,2949614235.0
BEN,1,63248.0
BEN,2,12840665.0
BEN,3,3530.0
BEN,4,29379460.0
BEN,9,133525.0
BEN,10,4466.0
BEN,11,2793861.0
BEN,16,18230.0
BEN,19,3864.0
BEN,20,199429.0
BEN,21,3183126.0
BFA,2,3728112.0
BFA,3,100866.0
BFA,6,17867.0
BFA,8,260.0
BFA,10,5507.0
BFA,11,15141.0
BFA,12,1150.0
BFA,13,3520.0
BFA,14,2020.0
BFA,15,11556.0
BFA,16,193754.0
BFA,17,160301.0
BFA,20,5534.0
BFA,21,275078.0
BGD,1,20734374.0
BGD,2,5048943.0
BGD,3,231836.0
BGD,4,26185148.0
BGD,6,21777559.0
BGD,7,22740833.0
BGD,8,101322116.0
BGD,9,3282545.0
BGD,10,4790545.0
BGD,11,7259155659.0
BGD,12,693677396.0
BGD,13,6757747.0
BGD,14,661868.0
BGD,15,3892155.0
BGD,16,12674420.0
BGD,17,4341646.0
BGD,18,35843866.0
BGD,20,46786890.0
BGD,21,95860781.0
BGR,1,17732838.0
BGR,2,71480427.0
BGR,3,806950.0
