Country,iso3,HS2,usummary_code,impVal,bea_total,weight
Afghanistan,AFG,12,111,184730.0,3594853.0,0.051387358537331014
Afghanistan,AFG,6,111,5427.0,3594853.0,0.0015096583921512228
Afghanistan,AFG,7,111,125641.0,3594853.0,0.034950246922474996
Afghanistan,AFG,8,111,3279055.0,3594853.0,0.9121527361480428
Afghanistan,AFG,4,112,2250.0,2250.0,1.0
Afghanistan,AFG,13,113FF,54963.0,83490.0,0.6583183614804168
Afghanistan,AFG,8,113FF,28527.0,83490.0,0.34168163851958316
Afghanistan,AFG,25,212,15399.0,15399.0,1.0
Afghanistan,AFG,10,311,4469.0,9997422.0,0.0004470152405290084
Afghanistan,AFG,11,311,4605.0,9997422.0,0.00046061874751310885
Afghanistan,AFG,15,311,87419.0,9997422.0,0.008744154242963835
Afghanistan,AFG,17,311,325561.0,9997422.0,0.0325644951268437
Afghanistan,AFG,19,311,81701.0,9997422.0,0.008172206794911728
Afghanistan,AFG,20,311,1945382.0,9997422.0,0.19458836488046619
Afghanistan,AFG,21,311,207424.0,9997422.0,0.020747748769632812
Afghanistan,AFG,4,311,34528.0,9997422.0,0.0034536903613751626
Afghanistan,AFG,7,311,67227.0,9997422.0,0.006724433558971503
Afghanistan,AFG,8,311,5408764.0,9997422.0,0.5410158738922894
Afghanistan,AFG,9,311,1830342.0,9997422.0,0.18308139838450352
Afghanistan,AFG,22,3121,779974.0,779974.0,1.0
Afghanistan,AFG,24,3122,387833.0,387833.0,1.0
Afghanistan,AFG,39,313TT,581.0,4089098.0,0.00014208512488573274
Afghanistan,AFG,51,313TT,1298.0,4089098.0,0.0003174294184194167
Afghanistan,AFG,57,313TT,4047603.0,4089098.0,0.9898522852717152
Afghanistan,AFG,58,313TT,16008.0,4089098.0,0.003914799792032375
Afghanistan,AFG,63,313TT,23063.0,4089098.0,0.005640119165644844
Afghanistan,AFG,94,313TT,545.0,4089098.0,0.00013328122730245153
Afghanistan,AFG,40,315AL,454.0,102387.0,0.004434156680047272
Afghanistan,AFG,42,315AL,2039.0,102387.0,0.019914637600476622
Afghanistan,AFG,43,315AL,26888.0,102387.0,0.26261146434605953
Afghanistan,AFG,61,315AL,17331.0,102387.0,0.16926953617158427
Afghanistan,AFG,62,315AL,48167.0,102387.0,0.47044058327717386
Afghanistan,AFG,64,315AL,7508.0,102387.0,0.0733296219246584
Afghanistan,AFG,39,322,979.0,18531.0,0.0528303923155793
Afghanistan,AFG,48,322,17552.0,18531.0,0.9471696076844207
Afghanistan,AFG,48,323,16000.0,16000.0,1.0
Afghanistan,AFG,28,3251,2402.0,2402.0,1.0
Afghanistan,AFG,24,3254,6000.0,6000.0,1.0
Afghanistan,AFG,33,325X,21615.0,21615.0,1.0
Afghanistan,AFG,39,326,10725.0,10725.0,1.0
Afghanistan,AFG,68,327,4000.0,6750.0,0.5925925925925926
Afghanistan,AFG,70,327,2750.0,6750.0,0.4074074074074074
Afghanistan,AFG,73,3313NF,23075.0,23075.0,1.0
Afghanistan,AFG,73,332,53642.0,83154.0,0.6450922384972461
