Country,iso3,sector_code,impVal,continent,region,alt_region,world_weight,regional_weight,world_denominator,regional_denominator
Afghanistan,AFG,11,3680593.0,Asia,RoAsia,RoAsia,4.4715215391032146e-05,0.0003237153334187775,82311870083.0,11369844490.0
Afghanistan,AFG,21,15399.0,Asia,RoAsia,RoAsia,8.442183403532423e-08,1.868735197677689e-05,182405418882.0,824033283.0
Afghanistan,AFG,31ND,15431987.0,Asia,RoAsia,RoAsia,1.7660712111882913e-05,7.67921124873751e-05,873803213723.0,200957969512.0
Afghanistan,AFG,33DG,1488507.0,Asia,RoAsia,RoAsia,7.512241875483781e-07,2.985061407538221e-06,1981441791508.0,498652053268.0
Afghanistan,AFG,Other,1971873.0,Asia,RoAsia,RoAsia,1.3374337201241402e-05,9.291240663714001e-05,147437063260.0,21222924595.0
Albania,ALB,11,19281125.0,Europe,Europe,Europe,0.0002342447690783563,0.00326889897685758,82311870083.0,5898354503.0
Albania,ALB,21,36615.0,Europe,Europe,Europe,2.0073416801113036e-07,1.0023265712008354e-05,182405418882.0,3653001033.0
Albania,ALB,31ND,29320904.0,Europe,Europe,Europe,3.355550029974469e-05,9.116536149834642e-05,873803213723.0,321623295494.0
Albania,ALB,33DG,77770267.0,Europe,Europe,Europe,3.92493321445552e-05,0.00020383111247557434,1981441791508.0,381542670574.0
Albania,ALB,Other,1871498.0,Europe,Europe,Europe,1.2693538236716503e-05,3.220817490839269e-05,147437063260.0,58106303922.0
Algeria,DZA,11,14480827.0,Africa,RoWorld,RoWorld,0.00017592635163553096,0.0005216461763024796,82311870083.0,27759864172.0
Algeria,DZA,21,334188539.0,Africa,RoWorld,RoWorld,0.0018321195776326695,0.005816057234684462,182405418882.0,57459637262.0
Algeria,DZA,31ND,1917425600.0,Africa,RoWorld,RoWorld,0.002194344870660814,0.027670411655490276,873803213723.0,69295159894.0
Algeria,DZA,33DG,163082712.0,Africa,RoWorld,RoWorld,8.230507335564168e-05,0.0018064048093409059,1981441791508.0,90280268939.0
Algeria,DZA,Other,32433464.0,Africa,RoWorld,RoWorld,0.00021998175548847403,0.002484998188880726,147437063260.0,13051705287.0
Andorra,AND,31ND,147589.0,Europe,Europe,Europe,1.68904162495775e-07,4.588877797962658e-07,873803213723.0,321623295494.0
Andorra,AND,33DG,2784886.0,Europe,Europe,Europe,1.4054846384765758e-06,7.299015850076126e-06,1981441791508.0,381542670574.0
Andorra,AND,Other,436774.0,Europe,Europe,Europe,2.9624437054186615e-06,7.516809201740161e-06,147437063260.0,58106303922.0
Angola,AGO,11,125399.0,Africa,RoWorld,RoWorld,1.5234619244290362e-06,4.517277145991361e-06,82311870083.0,27759864172.0
Angola,AGO,21,1689780168.0,Africa,RoWorld,RoWorld,0.009263870439579082,0.029408124529138106,182405418882.0,57459637262.0
Angola,AGO,31ND,59130183.0,Africa,RoWorld,RoWorld,6.766990790531078e-05,0.000853308991428128,873803213723.0,69295159894.0
Angola,AGO,33DG,120203416.0,Africa,RoWorld,RoWorld,6.0664621345509096e-05,0.0013314472521256918,1981441791508.0,90280268939.0
Anguilla,AIA,31ND,525421.0,North America,RoWorld,RoWorld,6.013035792822812e-07,7.582362185233866e-06,873803213723.0,69295159894.0
Anguilla,AIA,33DG,204663.0,North America,RoWorld,RoWorld,1.0328993810322268e-07,2.266973751909018e-06,1981441791508.0,90280268939.0
Anguilla,AIA,Other,460514.0,North America,RoWorld,RoWorld,3.123461562632321e-06,3.528381846460245e-05,147437063260.0,13051705287.0
Antigua and Barbuda,ATG,21,54800.0,North America,RoWorld,RoWorld,3.004296710913545e-07,9.53712947231588e-07,182405418882.0,57459637262.0
Antigua and Barbuda,ATG,31ND,1908863.0,North America,RoWorld,RoWorld,2.1845456391341667e-06,2.7546844583661624e-05,873803213723.0,69295159894.0
Antigua and Barbuda,ATG,33DG,1832262.0,North America,RoWorld,RoWorld,9.247114943535813e-07,2.0295265195078352e-05,1981441791508.0,90280268939.0
Antigua and Barbuda,ATG,Other,19955625.0,North America,RoWorld,RoWorld,0.00013535012539424342,0.0015289668714690155,147437063260.0,13051705287.0
Argentina,ARG,11,885586566.0,South America,RoWorld,RoWorld,0.010758916850109344,0.03190168945038453,82311870083.0,27759864172.0
Argentina,ARG,21,1416055954.0,South America,RoWorld,RoWorld,0.007763234023853543,0.02464435944040471,182405418882.0,57459637262.0
Argentina,ARG,31ND,2768535060.0,South America,RoWorld,RoWorld,0.0031683736298063554,0.03995279128058866,873803213723.0,69295159894.0
Argentina,ARG,33DG,1731973699.0,South America,RoWorld,RoWorld,0.0008740976931156079,0.019184410052768552,1981441791508.0,90280268939.0
Argentina,ARG,Other,290009890.0,South America,RoWorld,RoWorld,0.001967008047959948,0.022220076505164502,147437063260.0,13051705287.0
Armenia,ARM,11,627522.0,Asia,Europe,RoAsia,7.623712100906368e-06,0.00010638933276744081,82311870083.0,5898354503.0
Armenia,ARM,21,89580.0,Asia,Europe,RoAsia,4.91103830955539e-07,2.4522303495335475e-05,182405418882.0,3653001033.0
Armenia,ARM,31ND,28818809.0,Asia,Europe,RoAsia,3.2980891518139585e-05,8.960423390891356e-05,873803213723.0,321623295494.0
Armenia,ARM,33DG,89025294.0,Asia,Europe,RoAsia,4.49295530060695e-05,0.00023332984975459932,1981441791508.0,381542670574.0
Armenia,ARM,Other,3021911.0,Asia,Europe,RoAsia,2.0496277755281708e-05,5.2006594741536384e-05,147437063260.0,58106303922.0
Aruba,ABW,31ND,1151722.0,North America,RoWorld,RoWorld,1.3180564936272958e-06,1.6620525903422054e-05,873803213723.0,69295159894.0
Aruba,ABW,33DG,631161.0,North America,RoWorld,RoWorld,3.1853623089258016e-07,6.991128930137092e-06,1981441791508.0,90280268939.0
Aruba,ABW,Other,8921785.0,North America,RoWorld,RoWorld,6.0512498029527015e-05,0.0006835723611447494,147437063260.0,13051705287.0
Australia,AUS,11,248343333.0,Oceania,RoAsia,RoAsia,0.0030171023055311527,0.02184228053588796,82311870083.0,11369844490.0
Australia,AUS,21,613702879.0,Oceania,RoAsia,RoAsia,0.0033644991621494037,0.7447549651947736,182405418882.0,824033283.0
Australia,AUS,31ND,7254530146.0,Oceania,RoAsia,RoAsia,0.008302247041517202,0.03609973848569764,873803213723.0,200957969512.0
Australia,AUS,33DG,7304724653.0,Oceania,RoAsia,RoAsia,0.0036865703975288884,0.014648941291081146,1981441791508.0,498652053268.0
Australia,AUS,Other,1264208829.0,Oceania,RoAsia,RoAsia,0.008574565994783909,0.05956807806299422,147437063260.0,21222924595.0
Austria,AUT,11,4653163.0,Europe,Europe,Europe,5.653088667901648e-05,0.0007888917150763531,82311870083.0,5898354503.0
