hs_code,naics_schott,naics_census,naics_match,hs_in_schott,hs_in_census,source
0101210010,112920,112920,True,True,True,both
0101210020,112920,112920,True,True,True,both
0101290010,112920,112920,True,True,True,both
0101290090,112920,112920,True,True,True,both
0101300000,112920,112920,True,True,True,both
0101903000,112920,112920,True,True,True,both
0101904000,112920,112920,True,True,True,both
0102210010,1121XX,11211X,False,True,True,both
0102210020,1121XX,11211X,False,True,True,both
0102210030,1121XX,11211X,False,True,True,both
0102210050,1121XX,11211X,False,True,True,both
0102292011,1121XX,11211X,False,True,True,both
0102292012,1121XX,11211X,False,True,True,both
0102294024,1121XX,11211X,False,True,True,both
0102294028,1121XX,11211X,False,True,True,both
0102294034,1121XX,11211X,False,True,True,both
0102294038,1121XX,11211X,False,True,True,both
0102294054,1121XX,11211X,False,True,True,both
0102294058,1121XX,11211X,False,True,True,both
0102294062,1121XX,11211X,False,True,True,both
0102294064,1121XX,11211X,False,True,True,both
0102294066,1121XX,11211X,False,True,True,both
0102294068,1121XX,11211X,False,True,True,both
0102294072,1121XX,11211X,False,True,True,both
0102294074,1121XX,11211X,False,True,True,both
0102294082,1121XX,11211X,False,True,True,both
0102294084,1121XX,11211X,False,True,True,both
0102310010,1121XX,11211X,False,True,True,both
0102310020,1121XX,11211X,False,True,True,both
0102390010,112990,112990,True,True,True,both
0102390024,1121XX,11211X,False,True,True,both
0102390028,1121XX,11211X,False,True,True,both
0102390034,1121XX,11211X,False,True,True,both
0102390038,1121XX,11211X,False,True,True,both
0102390054,1121XX,11211X,False,True,True,both
0102390058,1121XX,11211X,False,True,True,both
0102390061,1121XX,11211X,False,True,True,both
0102390072,1121XX,11211X,False,True,True,both
0102390074,1121XX,11211X,False,True,True,both
0102390082,1121XX,11211X,False,True,True,both
0102390084,1121XX,11211X,False,True,True,both
0102900000,1121XX,11211X,False,True,True,both
0103100000,112210,112210,True,True,True,both
0103910010,112210,112210,True,True,True,both
0103910020,112210,112210,True,True,True,both
0103910030,112210,112210,True,True,True,both
0103920010,112210,112210,True,True,True,both
0103920020,112210,112210,True,True,True,both
0103920091,112210,112210,True,True,True,both
0104100000,112410,112410,True,True,True,both
0104200000,112420,112420,True,True,True,both
0105110010,1123XX,1123XX,True,True,True,both
0105110020,1123XX,1123XX,True,True,True,both
0105110040,1123XX,1123XX,True,True,True,both
0105120000,1123XX,1123XX,True,True,True,both
0105130000,1123XX,1123XX,True,True,True,both
0105140000,1123XX,1123XX,True,True,True,both
0105150000,1123XX,1123XX,True,True,True,both
0105940000,1123XX,1123XX,True,True,True,both
0105990000,1123XX,1123XX,True,True,True,both
0106110000,112990,112990,True,True,True,both
0106120100,112990,112990,True,True,True,both
0106130000,112990,112990,True,True,True,both
0106140000,112930,112930,True,True,True,both
0106193000,112930,112930,True,True,True,both
0106199120,112990,112990,True,True,True,both
0106199195,112990,112990,True,True,True,both
0106200000,112990,112990,True,True,True,both
0106310000,112990,112990,True,True,True,both
0106320000,112990,112990,True,True,True,both
0106330000,112990,112990,True,True,True,both
0106390100,112990,112990,True,True,True,both
0106410000,112910,112910,True,True,True,both
0106490010,112910,112910,True,True,True,both
0106490090,112990,112990,True,True,True,both
0106900110,112990,112990,True,True,True,both
0106900120,112990,112990,True,True,True,both
0106900180,112990,112990,True,True,True,both
0201100510,311611,311611,True,True,True,both
0201100590,311611,311611,True,True,True,both
0201101010,311611,311611,True,True,True,both
0201101090,311611,311611,True,True,True,both
0201105010,311611,311611,True,True,True,both
0201105090,311611,311611,True,True,True,both
0201200200,311611,311611,True,True,True,both
0201200400,311611,311611,True,True,True,both
0201200600,311611,311611,True,True,True,both
0201201000,311611,311611,True,True,True,both
0201203000,311611,311611,True,True,True,both
0201205015,311611,311611,True,True,True,both
0201205025,311611,311611,True,True,True,both
0201205035,311611,311611,True,True,True,both
0201205045,311611,311611,True,True,True,both
0201205065,311611,311611,True,True,True,both
0201205075,311611,311611,True,True,True,both
0201205091,311611,311611,True,True,True,both
0201208010,311611,311611,True,True,True,both
0201208090,311611,311611,True,True,True,both
0201300200,311611,311611,True,True,True,both
0201300400,311611,311611,True,True,True,both
0201300600,311611,311611,True,True,True,both
0201301000,311611,311611,True,True,True,both
0201303000,311611,311611,True,True,True,both
0201305015,311611,311611,True,True,True,both
0201305025,311611,311611,True,True,True,both
0201305035,311611,311611,True,True,True,both
0201305045,311611,311611,True,True,True,both
0201305055,311611,311611,True,True,True,both
0201305065,311611,311611,True,True,True,both
0201305075,311611,311611,True,True,True,both
0201305085,311611,311611,True,True,True,both
0201308010,311611,311611,True,True,True,both
0201308090,311611,311611,True,True,True,both
0202100510,311611,311611,True,True,True,both
0202100590,311611,311611,True,True,True,both
0202101010,311611,311611,True,True,True,both
0202101090,311611,311611,True,True,True,both
0202105010,311611,311611,True,True,True,both
0202105090,311611,311611,True,True,True,both
0202200200,311611,311611,True,True,True,both
0202200400,311611,311611,True,True,True,both
0202200600,311611,311611,True,True,True,both
0202201000,311611,311611,True,True,True,both
0202203000,311611,311611,True,True,True,both
0202205025,311611,311611,True,True,True,both
0202205035,311611,311611,True,True,True,both
0202205045,311611,311611,True,True,True,both
0202205090,311611,311611,True,True,True,both
0202208000,311611,311611,True,True,True,both
0202300200,311611,311611,True,True,True,both
0202300400,311611,311611,True,True,True,both
0202300600,311611,311611,True,True,True,both
0202301000,311611,311611,True,True,True,both
0202303000,311611,311611,True,True,True,both
0202305015,311611,311611,True,True,True,both
0202305025,311611,311611,True,True,True,both
0202305035,311611,311611,True,True,True,both
0202305045,311611,311611,True,True,True,both
0202305055,311611,311611,True,True,True,both
0202305065,311611,311611,True,True,True,both
0202305075,311611,311611,True,True,True,both
0202305085,311611,311611,True,True,True,both
0202308000,311611,311611,True,True,True,both
0203110000,311611,311611,True,True,True,both
0203121010,311611,311611,True,True,True,both
0203121020,311611,311611,True,True,True,both
0203129010,311611,311611,True,True,True,both
0203129020,311611,311611,True,True,True,both
0203192010,311611,311611,True,True,True,both
0203192090,311611,311611,True,True,True,both
0203194010,311611,311611,True,True,True,both
0203194090,311611,311611,True,True,True,both
0203210000,311611,311611,True,True,True,both
0203221000,311611,311611,True,True,True,both
