Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
Australia,17177724.0,0101290090,1,0101290090,112920,112920,direct_2022
Christmas Island,19835.0,0101290090,1,0101290090,112920,112920,direct_2022
New Zealand,2620968.0,0101290090,1,0101290090,112920,112920,direct_2022
Australia,9744.0,0102294058,1,0102294058,1121XX,11211X,direct_2022
Australia,234358.0,0106110000,1,0106110000,112990,112990,direct_2022
Australia,145659.0,0106199120,1,0106199120,112990,112990,direct_2022
New Zealand,57000.0,0106199120,1,0106199120,112990,112990,direct_2022
Australia,2340.0,0106199195,1,0106199195,112990,112990,direct_2022
New Zealand,2500.0,0106199195,1,0106199195,112990,112990,direct_2022
Australia,95389.0,0106390100,1,0106390100,112990,112990,direct_2022
Australia,27293.0,0201201000,2,0201201000,311611,311611,direct_2022
Australia,18252809.0,0201205025,2,0201205025,311611,311611,direct_2022
New Zealand,1085352.0,0201205025,2,0201205025,311611,311611,direct_2022
Australia,407659.0,0201205035,2,0201205035,311611,311611,direct_2022
Australia,4801801.0,0201205045,2,0201205045,311611,311611,direct_2022
New Zealand,238449.0,0201205045,2,0201205045,311611,311611,direct_2022
Australia,34628.0,0201205065,2,0201205065,311611,311611,direct_2022
Australia,412102.0,0201205091,2,0201205091,311611,311611,direct_2022
Australia,379602.0,0201301000,2,0201301000,311611,311611,direct_2022
Australia,169356.0,0201303000,2,0201303000,311611,311611,direct_2022
Australia,84408477.0,0201305025,2,0201305025,311611,311611,direct_2022
New Zealand,21571283.0,0201305025,2,0201305025,311611,311611,direct_2022
Australia,24212370.0,0201305035,2,0201305035,311611,311611,direct_2022
New Zealand,6617251.0,0201305035,2,0201305035,311611,311611,direct_2022
Australia,182697906.0,0201305045,2,0201305045,311611,311611,direct_2022
New Zealand,29830754.0,0201305045,2,0201305045,311611,311611,direct_2022
Australia,21819211.0,0201305055,2,0201305055,311611,311611,direct_2022
New Zealand,707980.0,0201305055,2,0201305055,311611,311611,direct_2022
Australia,40200914.0,0201305065,2,0201305065,311611,311611,direct_2022
New Zealand,4635464.0,0201305065,2,0201305065,311611,311611,direct_2022
Australia,26379870.0,0201305075,2,0201305075,311611,311611,direct_2022
New Zealand,2343352.0,0201305075,2,0201305075,311611,311611,direct_2022
Australia,707636091.0,0201305085,2,0201305085,311611,311611,direct_2022
New Zealand,35601245.0,0201305085,2,0201305085,311611,311611,direct_2022
Australia,417176.0,0201308090,2,0201308090,311611,311611,direct_2022
Australia,1071990.0,0202101090,2,0202101090,311611,311611,direct_2022
Australia,185844.0,0202200200,2,0202200200,311611,311611,direct_2022
Australia,878117.0,0202205025,2,0202205025,311611,311611,direct_2022
New Zealand,404436.0,0202205025,2,0202205025,311611,311611,direct_2022
New Zealand,26532.0,0202205045,2,0202205045,311611,311611,direct_2022
Australia,1306935.0,0202205090,2,0202205090,311611,311611,direct_2022
New Zealand,49950.0,0202205090,2,0202205090,311611,311611,direct_2022
Australia,4548.0,0202208000,2,0202208000,311611,311611,direct_2022
New Zealand,5354.0,0202208000,2,0202208000,311611,311611,direct_2022
Australia,27104.0,0202301000,2,0202301000,311611,311611,direct_2022
