hs_commodity,hs_description,naics_2023,naics_2022,overlap_type
1206000061,No description available,,111120.0,only_2022
1206000069,No description available,,111120.0,only_2022
1207400000,No description available,,111120.0,only_2022
1204000090,No description available,,111120.0,only_2022
713202010,No description available,,111130.0,only_2022
713202090,No description available,,111130.0,only_2022
713402030,No description available,,111130.0,only_2022
713402080,No description available,,111130.0,only_2022
701901000,No description available,,111211.0,only_2022
701905015,No description available,,111211.0,only_2022
701905025,No description available,,111211.0,only_2022
701905035,No description available,,111211.0,only_2022
701905040,No description available,,111211.0,only_2022
701905045,No description available,,111211.0,only_2022
701905055,No description available,,111211.0,only_2022
701905065,No description available,,111211.0,only_2022
707004000,No description available,,111219.0,only_2022
707004010,No description available,,111219.0,only_2022
707004020,No description available,,111219.0,only_2022
707005010,No description available,,111219.0,only_2022
707005090,No description available,,111219.0,only_2022
707006010,No description available,,111219.0,only_2022
707006050,No description available,,111219.0,only_2022
703104020,No description available,,111219.0,only_2022
703104040,No description available,,111219.0,only_2022
709932010,No description available,,111219.0,only_2022
709932040,No description available,,111219.0,only_2022
709932050,No description available,,111219.0,only_2022
709602090,No description available,,111219.0,only_2022
709604015,No description available,,111219.0,only_2022
709604025,No description available,,111219.0,only_2022
709604065,No description available,,111219.0,only_2022
709604085,No description available,,111219.0,only_2022
702002035,No description available,,111219.0,only_2022
702002045,No description available,,111219.0,only_2022
702002065,No description available,,111219.0,only_2022
702002080,No description available,,111219.0,only_2022
702002091,No description available,,111219.0,only_2022
709999090,No description available,,111219.0,only_2022
702004035,No description available,,111219.0,only_2022
702004046,No description available,,111219.0,only_2022
702004065,No description available,,111219.0,only_2022
702004080,No description available,,111219.0,only_2022
702004091,No description available,,111219.0,only_2022
702006035,No description available,,111219.0,only_2022
702006045,No description available,,111219.0,only_2022
702006065,No description available,,111219.0,only_2022
702006080,No description available,,111219.0,only_2022
702006091,No description available,,111219.0,only_2022
704904040,No description available,,111219.0,only_2022
704904050,No description available,,111219.0,only_2022
707002000,No description available,,111219.0,only_2022
707002010,No description available,,111219.0,only_2022
707002020,No description available,,111219.0,only_2022
806102000,No description available,,111332.0,only_2022
806104000,No description available,,111332.0,only_2022
806106000,No description available,,111332.0,only_2022
810904690,No description available,,111339.0,only_2022
804102000,No description available,,111339.0,only_2022
707005040,No description available,,111419.0,only_2022
707006020,No description available,,111419.0,only_2022
702002015,No description available,,111419.0,only_2022
702002025,No description available,,111419.0,only_2022
702002031,No description available,,111419.0,only_2022
702004015,No description available,,111419.0,only_2022
702004025,No description available,,111419.0,only_2022
702004031,No description available,,111419.0,only_2022
702006015,No description available,,111419.0,only_2022
702006025,No description available,,111419.0,only_2022
702006031,No description available,,111419.0,only_2022
603190160,No description available,,111422.0,only_2022
1702204090,No description available,,111998.0,only_2022
1006202000,No description available,,311212.0,only_2022
1702304040,No description available,,311221.0,only_2022
1702304080,No description available,,311221.0,only_2022
1702604020,No description available,,311221.0,only_2022
1512190020,No description available,,311224.0,only_2022
2304000000,No description available,,311224.0,only_2022
1512110020,No description available,,311224.0,only_2022
1509104050,No description available,,311224.0,only_2022
710809750,No description available,,311411.0,only_2022
2004908580,No description available,,311411.0,only_2022
201205055,No description available,,311611.0,only_2022
201205085,No description available,,311611.0,only_2022
202205055,No description available,,311611.0,only_2022
202205065,No description available,,311611.0,only_2022
202205075,No description available,,311611.0,only_2022
202205085,No description available,,311611.0,only_2022
2202999100,No description available,,312111.0,only_2022
2202100040,No description available,,312111.0,only_2022
2202100060,No description available,,312111.0,only_2022
2202910000,No description available,,312120.0,only_2022
2206009000,No description available,,312130.0,only_2022
2206009010,No description available,,312130.0,only_2022
2206009020,No description available,,312130.0,only_2022
2208908000,No description available,,312140.0,only_2022
7019594010,No description available,,313210.0,only_2022
7019594021,No description available,,313210.0,only_2022
7019594096,No description available,,313210.0,only_2022
7019599010,No description available,,313210.0,only_2022
7019599021,No description available,,313210.0,only_2022
7019599096,No description available,,313210.0,only_2022
5603110090,No description available,,313230.0,only_2022
5603120090,No description available,,313230.0,only_2022
5603130090,No description available,,313230.0,only_2022
5603920090,No description available,,313230.0,only_2022
5703201000,No description available,,314110.0,only_2022
9404901000,No description available,,314120.0,only_2022
9404902000,No description available,,314120.0,only_2022
9404909600,No description available,,314120.0,only_2022
7019593000,No description available,,314994.0,only_2022
7019597000,No description available,,314994.0,only_2022
6307909845,No description available,,314999.0,only_2022
6201110010,No description available,,315220.0,only_2022
6201110020,No description available,,315220.0,only_2022
4412314865,No description available,,321211.0,only_2022
4412315265,No description available,,321211.0,only_2022
3824992990,No description available,,325194.0,only_2022
2923202000,No description available,,325199.0,only_2022
2931490000,No description available,,325199.0,only_2022
2903591000,No description available,,325199.0,only_2022
3824999380,No description available,,325411.0,only_2022
3402114000,No description available,,325613.0,only_2022
3824992940,No description available,,325998.0,only_2022
7007211010,No description available,,327211.0,only_2022
7007211090,No description available,,327211.0,only_2022
7007215000,No description available,,327211.0,only_2022
6810990010,No description available,,327991.0,only_2022
7019395000,No description available,,327993.0,only_2022
7419995010,No description available,,332913.0,only_2022
7419995050,No description available,,332999.0,only_2022
8479909540,No description available,,333120.0,only_2022
8479909440,No description available,,333999.0,only_2022
8703220100,No description available,,336111.0,only_2022
8703800010,No description available,,336111.0,only_2022
8703800090,No description available,,336111.0,only_2022
9403200081,No description available,,337215.0,only_2022
9403999041,No description available,,337215.0,only_2022
4015121000,No description available,,339113.0,only_2022
7419991500,No description available,,339910.0,only_2022
1206000065,"Sunflower Seeds For Human Use, In Shell, Cert Org (kg)",111120.0,,only_2023
1206000070,"Sunflower Seeds For Human Use, In Shell, Nesoi (kg)",111120.0,,only_2023
1206000075,"Sunflower Seeds For Human Use, Shelled, Cert Org (kg)",111120.0,,only_2023
1206000080,"Sunflower Seeds For Human Use, Shelled, Nesoi (kg)",111120.0,,only_2023
1207400010,"Sesame Seeds, Whether Or Not Broken, Cert Org (kg)",111120.0,,only_2023
1207400090,"Sesame Seeds, Whether Or Not Broken, Nesoi (kg)",111120.0,,only_2023
1204000055,"Flaxseed (linseed),cert Org, Whether Or Not Broken (kg)",111120.0,,only_2023
1204000075,"Flaxseed (linseed), Nesoi,  Whether Or Not Broken (kg)",111120.0,,only_2023
713202015,"Chickpeas (garbanzos),cert Org,dried, Shelled, Nes (kg)",111130.0,,only_2023
713202025,"Kabuli Chickpeas, Except Seed, Dried,shelled (kg)",111130.0,,only_2023
713202075,"Chickpeas (garbanzos), Dried, Shelled, Nesoi (kg)",111130.0,,only_2023
713402035,"Red Lentils,certified Organic,dried,shelled, Nesoi (kg)",111130.0,,only_2023
713402050,"Red Lentils, Dried, Nt Org, Shelled, Nesoi (kg)",111130.0,,only_2023
713402065,"Lentils, Certified Organic,dried, Shelled, Nesoi (kg)",111130.0,,only_2023
713402085,"Lentils, Dried, Nt Cert, Shelled, Nesoi (kg)",111130.0,,only_2023
701901010,"Yellow (solano) Potatoes, Exc Seed,cert Org, Fr/ch (kg)",111211.0,,only_2023
701901060,"Yellow (solano) Potatoes Except Seed,not Org,fr/ch (kg)",111211.0,,only_2023
701905043,"Potatoes,cert Organic, Fresh Or Chilled, Nesoi (kg)",111211.0,,only_2023
701905046,"Russet Or Netted Gem Potatoes, Fr/ch, Nesoi (kg)",111211.0,,only_2023
701905056,"Red Skin Variety Potatoes, Fresh Or Chilled, Nesoi (kg)",111211.0,,only_2023
701905066,"Potatoes, White Varieties, Fresh Or Chilled, Nesoi (kg)",111211.0,,only_2023
701905076,"Potatoes, Fresh Or Chilled, Nesoi (kg)",111211.0,,only_2023
707004015,"Gherkins, Entered 3/1-4/30,fresh/chill (kg)",111219.0,,only_2023
707004035,No description available,111219.0,,only_2023
707004055,No description available,111219.0,,only_2023
705192020,"Lettuce, Entry 6/1-10/31, Fresh, Chilled, Romaine (kg)",111219.0,,only_2023
705192040,"Lettuce, Entry 6/1-10/31,fresh,chilled,butterhead (kg)",111219.0,,only_2023
705192060,"Red And Green Lettuce,entry 6/1-10/31,fr/ch (kg)",111219.0,,only_2023
705192080,"Lettuce, Entry 6/1-10/31, Fresh, Chilled, Nesoi (kg)",111219.0,,only_2023
705194020,"Lettuce, Entry 11/1-5/31, Fresh, Chilled, Romaine (kg)",111219.0,,only_2023
705194040,"Lettuce, Entry 11/1-5/31, Fresh,chilled,butterhead (kg)",111219.0,,only_2023
705194060,"Red And Green Lettuce,entry 11/1-5/31,fr/ch (kg)",111219.0,,only_2023
705194080,"Lettuce, Entry 11/1-5/31, Fresh, Chilled, Nesoi (kg)",111219.0,,only_2023
706904020,"Celeriac, Fresh Or Chilled (kg)",111219.0,,only_2023
706904040,"Salsify & Similar Edible Roots, Fr/ch (kg)",111219.0,,only_2023
703104025,"Onions Oth Th Pearl Or Sets, Cert Org,fr/ch Nesoi (kg)",111219.0,,only_2023
703104045,"Shallots, Cert Organic, Fresh/chill Nesoi (kg)",111219.0,,only_2023
703104065,"Onions Oth Th Pearl Or Sets, Nt Cert Org,fr/ch Nes (kg)",111219.0,,only_2023
703104085,No description available,111219.0,,only_2023
709404020,"Celery Nt Celeriac,nt Redu,4/15-7/31,fr/ch,org (kg)",111219.0,,only_2023
709404040,"Celery Nt Celeriac,nt Redu,4/15-7/31,fr/ch,nt Org (kg)",111219.0,,only_2023
709406020,"Celery Nt Celeriac,nt Redu, Ent 8/1-4/14,fr/ch,org (kg)",111219.0,,only_2023
709406040,"Celery Nt Celeriac,nt Redu,8/1-4/14,fr/ch,nt Org (kg)",111219.0,,only_2023
709932022,"Butternut Squash, Cert Org, Fresh/chilled, Nesoi (kg)",111219.0,,only_2023
709932025,"Grey Squash, Cert Organic, Fresh/chilled, Nesoi (kg)",111219.0,,only_2023
709932028,"Spaghetti Squash, Cert Org, Fresh/chilled, Nesoi (kg)",111219.0,,only_2023
